bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,24645.0,24805.0,24489.0,24200.0,24644.0
0.1,25009.0,26855.0,25639.0,26517.0,25546.0
0.15000000000000002,24935.0,31116.0,33415.0,35260.0,36094.0
0.2,25212.0,28787.0,28445.0,26182.0,24579.0
0.25,25009.0,29150.0,28384.0,28485.0,29454.0
0.30000000000000004,25156.0,27153.0,26451.0,26474.0,26016.0
0.35000000000000003,24818.0,29640.0,29343.0,28714.0,27774.0
0.4,24574.0,34108.0,38124.0,42865.0,42370.0
0.45,24973.0,26849.0,24504.0,22368.0,22287.0
0.5,24975.0,26917.0,25463.0,23736.0,25200.0
0.55,25044.0,36087.0,40377.0,42460.0,42934.0
0.6000000000000001,25219.0,28804.0,29553.0,29092.0,30486.0
0.65,24899.0,28883.0,29901.0,30535.0,30251.0
0.7000000000000001,25259.0,24203.0,24645.0,24522.0,24595.0
0.75,25380.0,21731.0,20209.0,19344.0,19598.0
0.8,24943.0,19893.0,18733.0,18133.0,18179.0
0.8500000000000001,25019.0,17862.0,17543.0,16115.0,15605.0
0.9,25063.0,14339.0,12996.0,11857.0,11299.0
0.9500000000000001,24950.0,11381.0,10274.0,10312.0,10301.0
1.0,24918.0,11437.0,11512.0,12829.0,12788.0
