bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,25026.0,5863.0,1309.0,97.0,68.0
0.1,25144.0,7827.0,2181.0,294.0,250.0
0.15000000000000002,25129.0,11778.0,3892.0,635.0,579.0
0.2,24920.0,12441.0,4019.0,667.0,586.0
0.25,24790.0,15080.0,5677.0,960.0,804.0
0.30000000000000004,25049.0,16027.0,6284.0,1145.0,781.0
0.35000000000000003,24717.0,15667.0,5666.0,759.0,507.0
0.4,24990.0,17557.0,6332.0,445.0,358.0
0.45,24836.0,18544.0,7563.0,846.0,208.0
0.5,25179.0,19904.0,7490.0,307.0,113.0
0.55,24736.0,37589.0,49943.0,55782.0,55737.0
0.6000000000000001,24913.0,40902.0,55219.0,59654.0,57298.0
0.65,25030.0,36622.0,47477.0,52433.0,55812.0
0.7000000000000001,25220.0,46187.0,59941.0,67679.0,68789.0
0.75,25042.0,39759.0,51716.0,55852.0,54198.0
0.8,24958.0,38830.0,48205.0,54519.0,53808.0
0.8500000000000001,24956.0,32919.0,40341.0,46026.0,46526.0
0.9,25136.0,30483.0,33511.0,37189.0,38442.0
0.9500000000000001,25306.0,25234.0,26558.0,22494.0,22262.0
1.0,24923.0,30787.0,36676.0,42217.0,42874.0
