bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,25196.0,12964.0,3771.0,478.0,352.0
0.1,24904.0,17214.0,8732.0,3273.0,3122.0
0.15000000000000002,24948.0,15810.0,9186.0,5328.0,5145.0
0.2,24849.0,19223.0,12141.0,7975.0,7689.0
0.25,24704.0,20607.0,15808.0,12647.0,13157.0
0.30000000000000004,24968.0,24007.0,22678.0,21483.0,22236.0
0.35000000000000003,25085.0,20110.0,15282.0,12090.0,13019.0
0.4,25190.0,32125.0,32210.0,29339.0,28288.0
0.45,24871.0,28252.0,29619.0,30171.0,29306.0
0.5,25043.0,34869.0,37483.0,40014.0,40639.0
0.55,25088.0,31089.0,32405.0,36185.0,36387.0
0.6000000000000001,24985.0,26253.0,25833.0,26083.0,23162.0
0.65,25088.0,26895.0,28738.0,26465.0,27408.0
0.7000000000000001,24859.0,29287.0,35898.0,35533.0,36212.0
0.75,25102.0,32807.0,39759.0,46513.0,44792.0
0.8,24821.0,21512.0,22270.0,23750.0,23049.0
0.8500000000000001,25026.0,32651.0,39416.0,43587.0,45586.0
0.9,25182.0,26810.0,30894.0,33249.0,35674.0
0.9500000000000001,25116.0,25773.0,33013.0,38094.0,38011.0
1.0,24975.0,21742.0,24864.0,27743.0,26766.0
