bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,24997.0,205.0,0.0,0.0,0.0
0.1,24846.0,312.0,0.0,0.0,0.0
0.15000000000000002,24985.0,528.0,0.0,0.0,0.0
0.2,24888.0,856.0,0.0,0.0,0.0
0.25,24936.0,1351.0,0.0,0.0,0.0
0.30000000000000004,25041.0,2429.0,0.0,0.0,0.0
0.35000000000000003,25003.0,4417.0,0.0,0.0,0.0
0.4,25040.0,9311.0,0.0,0.0,0.0
0.45,24843.0,18059.0,63.0,0.0,0.0
0.5,25031.0,33484.0,14401.0,1402.0,86.0
0.55,24738.0,80588.0,279062.0,451350.0,479731.0
0.6000000000000001,25306.0,88713.0,143310.0,41194.0,16746.0
0.65,25101.0,77766.0,44889.0,4918.0,2709.0
0.7000000000000001,24810.0,61188.0,13483.0,1010.0,648.0
0.75,24955.0,41063.0,3500.0,119.0,80.0
0.8,24921.0,29109.0,1008.0,7.0,0.0
0.8500000000000001,25123.0,19423.0,206.0,0.0,0.0
0.9,25231.0,13416.0,68.0,0.0,0.0
0.9500000000000001,24982.0,10027.0,9.0,0.0,0.0
1.0,25223.0,7755.0,1.0,0.0,0.0
