bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,24958.0,3314.0,0.0,0.0,0.0
0.1,25110.0,5778.0,62.0,2153.0,4887.0
0.15000000000000002,25126.0,9292.0,1359.0,24450.0,68450.0
0.2,25022.0,15520.0,15410.0,107041.0,163861.0
0.25,24724.0,24902.0,74458.0,175024.0,127918.0
0.30000000000000004,24991.0,42025.0,157636.0,138701.0,102668.0
0.35000000000000003,25042.0,57046.0,137429.0,40444.0,23490.0
0.4,24980.0,65266.0,72484.0,9461.0,7256.0
0.45,25172.0,66282.0,29593.0,2064.0,977.0
0.5,24934.0,55878.0,8597.0,650.0,493.0
0.55,24674.0,44304.0,2237.0,9.0,0.0
0.6000000000000001,25067.0,32563.0,541.0,0.0,0.0
0.65,24940.0,24484.0,115.0,0.0,0.0
0.7000000000000001,25180.0,16716.0,21.0,3.0,0.0
0.75,24822.0,11486.0,58.0,0.0,0.0
0.8,25250.0,8551.0,0.0,0.0,0.0
0.8500000000000001,25020.0,6048.0,0.0,0.0,0.0
0.9,25155.0,4647.0,0.0,0.0,0.0
0.9500000000000001,24898.0,3421.0,0.0,0.0,0.0
1.0,24935.0,2477.0,0.0,0.0,0.0
