bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,25353.0,81488.0,114068.0,136896.0,149501.0
0.1,24921.0,76535.0,99090.0,122775.0,110437.0
0.15000000000000002,24935.0,66087.0,94910.0,81437.0,69718.0
0.2,24640.0,61538.0,85335.0,64997.0,71569.0
0.25,24702.0,50696.0,65792.0,55727.0,58898.0
0.30000000000000004,25193.0,41076.0,32686.0,30730.0,32635.0
0.35000000000000003,24979.0,30121.0,7035.0,6007.0,5613.0
0.4,25265.0,22705.0,913.0,1430.0,1629.0
0.45,24859.0,15786.0,89.0,0.0,0.0
0.5,25051.0,11724.0,26.0,0.0,0.0
0.55,25183.0,8908.0,14.0,0.0,0.0
0.6000000000000001,24949.0,6959.0,11.0,0.0,0.0
0.65,24782.0,5394.0,6.0,0.0,0.0
0.7000000000000001,25015.0,4420.0,6.0,1.0,0.0
0.75,24920.0,3862.0,6.0,0.0,0.0
0.8,24768.0,3301.0,3.0,0.0,0.0
0.8500000000000001,24779.0,2825.0,7.0,0.0,0.0
0.9,25275.0,2460.0,0.0,0.0,0.0
0.9500000000000001,25263.0,2239.0,2.0,0.0,0.0
1.0,25168.0,1876.0,1.0,0.0,0.0
