bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,24870.0,24075.0,20447.0,18924.0,18382.0
0.1,24690.0,26768.0,24140.0,23044.0,22088.0
0.15000000000000002,24416.0,29298.0,28458.0,26517.0,26337.0
0.2,24800.0,33206.0,34782.0,33844.0,33693.0
0.25,24721.0,36801.0,41235.0,42057.0,42207.0
0.30000000000000004,24855.0,37791.0,44030.0,45309.0,46211.0
0.35000000000000003,24744.0,38990.0,46317.0,49657.0,50672.0
0.4,24791.0,38376.0,45391.0,48788.0,49872.0
0.45,24434.0,36015.0,42847.0,46168.0,46988.0
0.5,24466.0,34121.0,39278.0,42674.0,43760.0
0.55,24644.0,31610.0,33353.0,32678.0,32260.0
0.6000000000000001,24478.0,27151.0,25576.0,24312.0,24290.0
0.65,24888.0,24512.0,21477.0,20583.0,20170.0
0.7000000000000001,24627.0,20527.0,16004.0,14339.0,13721.0
0.75,24924.0,17447.0,11822.0,10084.0,9493.0
0.8,24669.0,13699.0,7996.0,6701.0,6114.0
0.8500000000000001,24759.0,10037.0,5370.0,4173.0,3872.0
0.9,24893.0,7004.0,3214.0,2448.0,2254.0
0.9500000000000001,24684.0,4455.0,1728.0,1258.0,1187.0
1.0,24747.0,2217.0,635.0,542.0,529.0
