bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,24670.0,3217.0,189.0,24.0,18.0
0.1,24652.0,5667.0,572.0,166.0,143.0
0.15000000000000002,24760.0,8371.0,1138.0,365.0,268.0
0.2,24913.0,10717.0,2061.0,708.0,500.0
0.25,24624.0,11944.0,2835.0,1079.0,805.0
0.30000000000000004,24940.0,14601.0,4039.0,1411.0,851.0
0.35000000000000003,24816.0,15493.0,4630.0,1231.0,730.0
0.4,24715.0,16713.0,5499.0,1296.0,640.0
0.45,24593.0,18048.0,5564.0,1080.0,375.0
0.5,24678.0,18449.0,5726.0,999.0,372.0
0.55,24776.0,47995.0,76915.0,90244.0,93445.0
0.6000000000000001,25118.0,48437.0,74061.0,82560.0,83636.0
0.65,24645.0,45952.0,66042.0,70839.0,71467.0
0.7000000000000001,24663.0,42786.0,55424.0,58230.0,58487.0
0.75,24334.0,40943.0,50134.0,52272.0,52715.0
0.8,24394.0,38066.0,42083.0,41731.0,41584.0
0.8500000000000001,24845.0,33026.0,33885.0,32728.0,32678.0
0.9,24740.0,29021.0,26982.0,25119.0,24656.0
0.9500000000000001,24513.0,24286.0,20340.0,17910.0,17526.0
1.0,24711.0,20368.0,15981.0,14108.0,13204.0
