bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,24847.0,11175.0,2637.0,1619.0,1586.0
0.1,24818.0,13943.0,5889.0,4884.0,4977.0
0.15000000000000002,24756.0,17673.0,11411.0,10729.0,10598.0
0.2,24765.0,20287.0,15661.0,16058.0,16670.0
0.25,24676.0,23347.0,21777.0,23957.0,24947.0
0.30000000000000004,24502.0,25020.0,25959.0,28501.0,29675.0
0.35000000000000003,24980.0,29389.0,34261.0,39143.0,40992.0
0.4,24464.0,31261.0,37376.0,42073.0,43896.0
0.45,24672.0,31529.0,39023.0,43613.0,44793.0
0.5,24741.0,32548.0,39271.0,41452.0,41900.0
0.55,24618.0,33496.0,40772.0,42941.0,43137.0
0.6000000000000001,24816.0,32231.0,38654.0,38611.0,38639.0
0.65,24564.0,31419.0,35226.0,34771.0,34037.0
0.7000000000000001,24502.0,29698.0,31511.0,29963.0,29016.0
0.75,24486.0,27964.0,29269.0,26433.0,25295.0
0.8,24940.0,26248.0,24598.0,21658.0,20151.0
0.8500000000000001,24656.0,23141.0,20738.0,17032.0,15640.0
0.9,24787.0,20601.0,16751.0,12921.0,12007.0
0.9500000000000001,24992.0,18175.0,13663.0,10936.0,10151.0
1.0,24518.0,14955.0,9653.0,6805.0,5993.0
