bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,24752.0,40810.0,54215.0,58739.0,59829.0
0.1,24683.0,41560.0,55148.0,60141.0,60850.0
0.15000000000000002,24709.0,40459.0,52687.0,57075.0,57977.0
0.2,24775.0,39843.0,51818.0,55933.0,56783.0
0.25,24731.0,37156.0,47646.0,48682.0,49980.0
0.30000000000000004,24725.0,36480.0,44128.0,45821.0,46170.0
0.35000000000000003,24603.0,33206.0,38158.0,39024.0,38686.0
0.4,24759.0,31343.0,34483.0,34132.0,34465.0
0.45,24619.0,28494.0,27749.0,25535.0,24742.0
0.5,24762.0,26805.0,24119.0,21781.0,21095.0
0.55,24809.0,23362.0,18087.0,15779.0,15148.0
0.6000000000000001,24775.0,20568.0,13781.0,10751.0,10057.0
0.65,25041.0,18511.0,10753.0,8045.0,7431.0
0.7000000000000001,24775.0,16267.0,7462.0,5153.0,4452.0
0.75,24759.0,13811.0,5277.0,3410.0,2891.0
0.8,24548.0,12309.0,3788.0,2037.0,1849.0
0.8500000000000001,24681.0,10339.0,2254.0,1174.0,1055.0
0.9,24600.0,8878.0,1247.0,498.0,375.0
0.9500000000000001,24459.0,7673.0,813.0,261.0,205.0
1.0,24535.0,6226.0,487.0,129.0,60.0
