bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,24900.0,8815.0,0.0,0.0,0.0
0.1,24986.0,11135.0,96.0,96.0,96.0
0.15000000000000002,25120.0,15969.0,3.0,0.0,0.0
0.2,25025.0,23310.0,487.0,482.0,482.0
0.25,24869.0,35843.0,6321.0,6248.0,6212.0
0.30000000000000004,24926.0,59988.0,33599.0,33721.0,33233.0
0.35000000000000003,24700.0,81616.0,100679.0,99991.0,99434.0
0.4,24989.0,89346.0,180066.0,180533.0,180999.0
0.45,25108.0,64467.0,131198.0,131410.0,132071.0
0.5,25088.0,39771.0,43015.0,43151.0,43117.0
0.55,25047.0,20723.0,3275.0,3122.0,3114.0
0.6000000000000001,24941.0,14452.0,644.0,625.0,622.0
0.65,25151.0,10556.0,617.0,621.0,620.0
0.7000000000000001,25083.0,7743.0,0.0,0.0,0.0
0.75,25061.0,5539.0,0.0,0.0,0.0
0.8,25267.0,4092.0,0.0,0.0,0.0
0.8500000000000001,24922.0,2791.0,0.0,0.0,0.0
0.9,24953.0,1823.0,0.0,0.0,0.0
0.9500000000000001,25041.0,1220.0,0.0,0.0,0.0
1.0,24823.0,801.0,0.0,0.0,0.0
