bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,25177.0,3118.0,260.0,1300.0,3200.0
0.1,24830.0,5791.0,1051.0,6203.0,15504.0
0.15000000000000002,24876.0,9243.0,6337.0,44610.0,89599.0
0.2,24695.0,15817.0,37160.0,132842.0,180872.0
0.25,24852.0,31154.0,95623.0,148877.0,101543.0
0.30000000000000004,24852.0,48128.0,129886.0,108312.0,73533.0
0.35000000000000003,25460.0,60437.0,112157.0,44773.0,29889.0
0.4,25076.0,67421.0,75720.0,11528.0,4713.0
0.45,25043.0,59744.0,26757.0,1243.0,925.0
0.5,24871.0,53837.0,11626.0,218.0,124.0
0.55,24979.0,42028.0,2681.0,1.0,0.0
0.6000000000000001,24808.0,30036.0,613.0,93.0,98.0
0.65,25151.0,23023.0,113.0,0.0,0.0
0.7000000000000001,25217.0,15837.0,15.0,0.0,0.0
0.75,25076.0,10905.0,1.0,0.0,0.0
0.8,25082.0,7739.0,0.0,0.0,0.0
0.8500000000000001,24470.0,5752.0,0.0,0.0,0.0
0.9,25113.0,4316.0,0.0,0.0,0.0
0.9500000000000001,25050.0,3156.0,0.0,0.0,0.0
1.0,25322.0,2518.0,0.0,0.0,0.0
