bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,25132.0,11935.0,2172.0,1468.0,1731.0
0.1,24846.0,18226.0,6112.0,4338.0,5364.0
0.15000000000000002,24844.0,27074.0,12528.0,9006.0,11384.0
0.2,24897.0,37034.0,23677.0,15508.0,18230.0
0.25,25029.0,48938.0,42837.0,27700.0,31311.0
0.30000000000000004,25170.0,61030.0,70133.0,45332.0,45165.0
0.35000000000000003,24743.0,66356.0,94244.0,77927.0,68430.0
0.4,25049.0,64107.0,100077.0,120864.0,101512.0
0.45,25014.0,49611.0,74073.0,118325.0,122927.0
0.5,25065.0,36737.0,44391.0,63475.0,78772.0
0.55,24906.0,24410.0,18498.0,11460.0,9560.0
0.6000000000000001,25052.0,17515.0,7606.0,2838.0,3293.0
0.65,24847.0,12228.0,2588.0,1059.0,1394.0
0.7000000000000001,25020.0,8578.0,690.0,361.0,485.0
0.75,25051.0,6188.0,220.0,184.0,249.0
0.8,25229.0,4435.0,111.0,113.0,150.0
0.8500000000000001,24907.0,2764.0,34.0,33.0,34.0
0.9,25323.0,1561.0,9.0,9.0,9.0
0.9500000000000001,24878.0,967.0,0.0,0.0,0.0
1.0,24998.0,306.0,0.0,0.0,0.0
