bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,24740.0,1001.0,0.0,0.0,0.0
0.1,24792.0,2224.0,0.0,0.0,0.0
0.15000000000000002,25176.0,3708.0,12.0,0.0,0.0
0.2,25072.0,6561.0,55.0,0.0,0.0
0.25,25057.0,9681.0,406.0,0.0,0.0
0.30000000000000004,25116.0,13514.0,1327.0,0.0,0.0
0.35000000000000003,24985.0,17568.0,4158.0,0.0,0.0
0.4,25034.0,21271.0,8501.0,60.0,0.0
0.45,25034.0,24341.0,13097.0,1230.0,15.0
0.5,25053.0,25710.0,15262.0,2892.0,32.0
0.55,24747.0,74955.0,200302.0,436490.0,482693.0
0.6000000000000001,25056.0,66384.0,124040.0,52936.0,15140.0
0.65,25019.0,55975.0,72258.0,5978.0,1828.0
0.7000000000000001,25013.0,45707.0,36346.0,313.0,214.0
0.75,25186.0,38204.0,16272.0,90.0,67.0
0.8,25071.0,29746.0,5788.0,11.0,11.0
0.8500000000000001,24698.0,22647.0,1631.0,0.0,0.0
0.9,25172.0,17897.0,452.0,0.0,0.0
0.9500000000000001,24807.0,13211.0,71.0,0.0,0.0
1.0,25172.0,9695.0,22.0,0.0,0.0
