bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,24676.0,6920.0,1053.0,304.0,411.0
0.1,24811.0,11273.0,5378.0,2700.0,2361.0
0.15000000000000002,24964.0,17139.0,15938.0,14140.0,10152.0
0.2,24739.0,23534.0,30301.0,40220.0,25653.0
0.25,25032.0,30852.0,49936.0,78864.0,50501.0
0.30000000000000004,25114.0,36889.0,62600.0,94465.0,81889.0
0.35000000000000003,25016.0,41860.0,72461.0,97376.0,98608.0
0.4,25087.0,45283.0,70805.0,80850.0,112767.0
0.45,25248.0,46571.0,64855.0,56414.0,80336.0
0.5,25223.0,42322.0,46579.0,23375.0,28211.0
0.55,25250.0,40576.0,35101.0,7374.0,4436.0
0.6000000000000001,24947.0,34989.0,22000.0,2284.0,2390.0
0.65,25185.0,29994.0,12037.0,869.0,1138.0
0.7000000000000001,25212.0,24071.0,6542.0,482.0,695.0
0.75,24962.0,19714.0,3084.0,234.0,399.0
0.8,25004.0,15692.0,901.0,16.0,21.0
0.8500000000000001,24953.0,12307.0,281.0,20.0,20.0
0.9,24825.0,8699.0,121.0,13.0,12.0
0.9500000000000001,25077.0,6632.0,23.0,0.0,0.0
1.0,24675.0,4683.0,4.0,0.0,0.0
