bin_edges,t_0,t_1,t_2,t_3,t_4
0.0,1.0,10.0,100.0,1000.0,10000.0
0.05,24895.0,48908.0,61380.0,45100.0,26139.0
0.1,24892.0,50127.0,62733.0,47277.0,29198.0
0.15000000000000002,24873.0,50549.0,66656.0,51173.0,30154.0
0.2,25117.0,47917.0,63575.0,60790.0,35826.0
0.25,24842.0,44745.0,58915.0,73511.0,55908.0
0.30000000000000004,25212.0,42788.0,54314.0,75141.0,78507.0
0.35000000000000003,24693.0,37570.0,44838.0,65448.0,96866.0
0.4,25374.0,33464.0,34532.0,48126.0,87431.0
0.45,25090.0,29062.0,23654.0,22747.0,45952.0
0.5,25028.0,23522.0,14245.0,7919.0,10887.0
0.55,24804.0,19372.0,8151.0,1831.0,1812.0
0.6000000000000001,24953.0,15869.0,3942.0,533.0,745.0
0.65,25040.0,13259.0,1957.0,285.0,397.0
0.7000000000000001,25059.0,10570.0,662.0,101.0,138.0
0.75,25117.0,8372.0,225.0,16.0,39.0
0.8,24860.0,6913.0,91.0,0.0,0.0
0.8500000000000001,25041.0,5430.0,38.0,0.0,0.0
0.9,24998.0,4480.0,45.0,2.0,1.0
0.9500000000000001,25134.0,3914.0,37.0,0.0,0.0
1.0,24978.0,3169.0,10.0,0.0,0.0
