ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
2,3,2,2,9,8.89
2,3,2,2,9,8.89
2,3,2,2,9,8.89
2,3,2,2,9,8.89
2,3,2,2,9,8.89
2,3,2,2,9,8.89
2,3,2,2,9,8.89
2,3,2,2,9,8.89
3,2,2,2,8,8.89
3,2,2,2,8,8.89
3,2,2,2,8,8.89
3,2,2,2,8,8.89
3,2,2,2,8,8.89
3,2,2,2,8,8.89
3,2,2,2,8,8.89
3,2,2,2,8,8.89
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
219,304,4,4,2,0.462
223,957,4,4,10,0.28
223,957,4,4,10,0.28
223,957,4,4,10,0.28
223,957,4,4,10,0.28
223,957,4,4,10,0.28
223,957,4,4,10,0.28
223,957,4,4,10,0.28
223,957,4,4,10,0.28
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
303,223,4,4,5,0.396
