nodeid,lat,lon,layer
1,57.20086,-2.20273,0
1,57.20086,-2.20273,5
2,57.20564,-2.19233,2
2,57.20564,-2.19233,5
3,57.14369,-2.09869,4
3,57.14369,-2.09869,2
3,57.14369,-2.09869,5
3,57.14369,-2.09869,1
4,57.13323,-2.08079,5
5,57.09987,-2.27352,5
6,57.10019,-2.27415,5
7,57.14996,-2.09472,5
8,57.17999,-2.1095,5
9,57.15639,-2.0995,5
10,57.15595,-2.09932,5
11,57.14112,-2.11752,5
12,57.17526,-2.19136,5
13,57.2053,-2.17652,5
14,57.17991,-2.09907,5
15,57.18028,-2.09935,5
16,57.13596,-2.12347,5
17,57.10114,-2.24677,5
18,57.10118,-2.24693,5
19,57.16201,-2.15459,5
20,57.11589,-2.11498,5
21,57.16622,-2.12969,5
22,57.16592,-2.12932,5
23,57.12447,-2.12117,5
24,57.12313,-2.12524,5
25,57.17295,-2.18488,5
26,57.13677,-2.06764,5
27,57.13457,-2.09415,5
28,57.19558,-2.09987,5
29,57.20206,-2.21114,5
30,57.20226,-2.21088,5
31,57.16615,-2.10657,5
32,57.16599,-2.10634,5
33,57.15121,-2.16038,5
34,57.15392,-2.17647,5
35,57.12695,-2.13056,5
36,57.12669,-2.1306,5
37,57.14939,-2.12176,5
38,57.14951,-2.12087,5
39,57.13413,-2.09052,5
40,57.16703,-2.10055,5
41,57.16701,-2.09834,5
42,57.16714,-2.10085,5
43,57.19273,-2.12467,5
44,57.19236,-2.12437,5
45,57.15393,-2.10477,5
46,57.15408,-2.10435,5
47,57.16744,-2.12521,5
48,57.16741,-2.12498,5
49,57.09891,-2.07956,5
50,57.13669,-2.15326,5
51,57.15697,-2.15101,5
52,57.21303,-2.18717,5
53,57.21229,-2.1874,5
54,57.17966,-2.10939,5
55,57.1373,-2.07405,5
56,57.13726,-2.07366,5
57,57.21371,-2.07798,5
58,57.14524,-2.1038,5
59,57.14461,-2.10548,5
60,57.11916,-2.18991,5
61,57.11928,-2.18975,5
62,57.17278,-2.14383,5
63,57.2006,-2.08961,5
64,57.17574,-2.18721,5
65,57.17699,-2.18708,5
66,57.09723,-2.26378,5
67,57.10219,-2.27579,5
68,57.1023,-2.27542,5
69,57.17044,-2.14229,5
70,57.18229,-2.11212,5
71,57.18188,-2.11171,5
72,57.20065,-2.09872,5
73,57.1459,-2.14403,5
74,57.14004,-2.12269,5
75,57.1397,-2.12366,5
76,57.14989,-2.0893,5
77,57.12257,-2.13553,5
78,57.11306,-2.19381,5
79,57.11309,-2.19447,5
80,57.12152,-2.13549,5
81,57.13657,-2.11301,5
82,57.11534,-2.18456,5
83,57.11504,-2.1853,5
84,57.20777,-2.17516,5
85,57.20755,-2.17504,5
86,57.13638,-2.09208,5
87,57.19391,-2.09571,5
88,57.13731,-2.12027,5
89,57.09921,-2.25171,5
90,57.09915,-2.25205,5
91,57.12315,-2.11541,5
92,57.11985,-2.13775,5
93,57.11997,-2.13777,5
94,57.1361,-2.07066,5
95,57.14195,-2.14464,5
96,57.1111,-2.08574,5
97,57.11096,-2.08571,5
98,57.19904,-2.09275,5
99,57.14955,-2.08099,5
100,57.1697,-2.15634,5
101,57.16978,-2.15622,5
102,57.16127,-2.16219,5
103,57.15501,-2.11398,5
104,57.1548,-2.11351,5
105,57.11458,-2.08463,5
106,57.13526,-2.08907,5
107,57.14765,-2.12032,5
108,57.17062,-2.09516,5
109,57.17023,-2.09515,5
110,57.19426,-2.12518,5
111,57.1551,-2.1457,5
112,57.15519,-2.14495,5
113,57.12104,-2.11306,5
114,57.10121,-2.08011,5
115,57.09933,-2.2643,5
116,57.15241,-2.14775,5
117,57.15225,-2.14775,5
118,57.21278,-2.18367,5
119,57.15093,-2.1738,5
