ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
35,125,2,2,3,3.176
35,125,2,2,3,3.176
35,125,2,2,3,3.176
35,125,2,2,3,3.176
35,171,2,2,7,3.289
35,171,2,2,7,3.289
35,171,2,2,7,3.289
35,171,2,2,7,3.289
35,171,2,2,7,3.289
35,171,2,2,7,3.289
84,175,2,2,4,5.254
84,175,2,2,4,5.254
84,175,2,2,4,5.254
84,175,2,2,4,5.254
125,35,2,2,3,3.176
125,35,2,2,3,3.176
125,35,2,2,3,3.176
125,35,2,2,3,3.176
125,151,2,2,3,3.028
125,151,2,2,3,3.028
125,151,2,2,3,3.028
125,151,2,2,3,3.028
125,171,2,2,5,3.82
125,171,2,2,5,3.82
125,171,2,2,5,3.82
125,171,2,2,5,3.82
125,171,2,2,5,3.82
125,171,2,2,5,3.82
125,176,2,2,6,4.152
125,176,2,2,6,4.152
125,176,2,2,6,4.152
125,176,2,2,6,4.152
125,183,2,2,5,6.985
125,183,2,2,5,6.985
125,183,2,2,5,6.985
125,183,2,2,5,6.985
151,125,2,2,3,3.028
151,125,2,2,3,3.028
151,125,2,2,3,3.028
151,125,2,2,3,3.028
151,183,2,2,4,4.06
151,183,2,2,4,4.06
151,183,2,2,4,4.06
151,183,2,2,4,4.06
171,35,2,2,6,3.289
171,35,2,2,6,3.289
171,35,2,2,6,3.289
171,35,2,2,6,3.289
171,35,2,2,6,3.289
171,35,2,2,6,3.289
171,125,2,2,4,3.82
171,125,2,2,4,3.82
171,125,2,2,4,3.82
171,125,2,2,4,3.82
171,125,2,2,4,3.82
171,125,2,2,4,3.82
171,197,2,2,5,4.451
171,197,2,2,5,4.451
171,197,2,2,5,4.451
171,197,2,2,5,4.451
171,197,2,2,5,4.451
171,197,2,2,5,4.451
175,84,2,2,5,5.254
175,84,2,2,5,5.254
175,84,2,2,5,5.254
175,84,2,2,5,5.254
176,125,2,2,6,4.152
176,125,2,2,6,4.152
176,125,2,2,6,4.152
176,125,2,2,6,4.152
183,125,2,2,5,6.985
183,125,2,2,5,6.985
183,125,2,2,5,6.985
183,125,2,2,5,6.985
183,151,2,2,4,4.06
183,151,2,2,4,4.06
183,151,2,2,4,4.06
183,151,2,2,4,4.06
197,171,2,2,6,4.451
197,171,2,2,6,4.451
197,171,2,2,6,4.451
197,171,2,2,6,4.451
197,171,2,2,6,4.451
197,171,2,2,6,4.451
5,171,4,4,10,4.914
5,171,4,4,10,4.914
5,171,4,4,10,4.914
5,171,4,4,10,4.914
5,171,4,4,10,4.914
5,171,4,4,10,4.914
171,5,4,4,15,4.914
171,5,4,4,15,4.914
171,5,4,4,15,4.914
171,5,4,4,15,4.914
171,5,4,4,15,4.914
171,5,4,4,15,4.914
171,498,4,4,10,4.342
171,498,4,4,10,4.342
171,498,4,4,10,4.342
171,498,4,4,10,4.342
171,498,4,4,10,4.342
171,498,4,4,10,4.342
459,171,4,4,10,4.453
459,171,4,4,10,4.453
459,171,4,4,10,4.453
459,171,4,4,10,4.453
459,171,4,4,10,4.453
459,171,4,4,10,4.453
1,83,5,5,1,0.174
1,493,5,5,1,0.634
1,683,5,5,2,0.591
2,116,5,5,1,0.382
2,162,5,5,1,0.25
2,201,5,5,1,0.633
3,4,5,5,1,0.176
3,36,5,5,2,0.436
3,122,5,5,1,0.527
3,185,5,5,1,0.378
4,3,5,5,1,0.176
4,122,5,5,1,0.513
4,156,5,5,1,0.32
4,582,5,5,1,0.469
5,175,5,5,1,0.681
5,175,5,5,1,0.681
5,175,5,5,1,0.681
5,175,5,5,1,0.681
5,470,5,5,1,0.382
5,470,5,5,1,0.382
5,558,5,5,1,0.195
5,558,5,5,1,0.195
5,615,5,5,1,0.461
5,615,5,5,1,0.461
5,650,5,5,1,0.415
5,650,5,5,1,0.415
5,657,5,5,3,1.283
5,657,5,5,3,1.283
6,120,5,5,1,0.664
6,123,5,5,1,0.395
7,38,5,5,1,0.722
7,65,5,5,1,0.247
8,142,5,5,1,0.295
8,213,5,5,1,0.253
9,72,5,5,1,0.364
9,127,5,5,1,0.201
10,199,5,5,1,0.945
10,785,5,5,1,0.49
11,121,5,5,1,0.189
11,197,5,5,1,0.656
11,197,5,5,1,0.656
12,76,5,5,1,0.356
12,135,5,5,1,0.446
12,136,5,5,1,0.297
12,137,5,5,1,0.253
13,139,5,5,1,0.166
13,197,5,5,1,0.67
13,197,5,5,1,0.67
14,35,5,5,1,0.652
14,35,5,5,1,0.652
14,132,5,5,1,0.244
15,174,5,5,1,0.604
15,184,5,5,1,0.297
16,131,5,5,1,0.356
16,200,5,5,1,0.349
17,88,5,5,1,0.433
17,102,5,5,1,0.391
18,63,5,5,1,0.792
19,86,5,5,2,0.56
19,782,5,5,1,0.324
20,82,5,5,2,0.654
20,115,5,5,1,0.349
21,36,5,5,2,0.524
21,74,5,5,2,0.667
21,198,5,5,1,0.215
22,85,5,5,1,0.393
