nodeid,lat,lon,layer
1,51.24098,-0.73481,5
2,51.2376,-0.79199,5
3,51.22601,-0.78125,5
4,51.22634,-0.78374,5
5,51.29054,-0.75423,4
5,51.29054,-0.75423,5
6,51.30371,-0.72231,5
7,51.17371,-0.78846,5
8,51.23358,-0.79357,5
9,51.18984,-0.80619,5
10,51.22524,-0.72487,5
11,51.20746,-0.7862,5
12,51.24584,-0.72503,5
13,51.20772,-0.79938,5
14,51.25506,-0.71626,5
15,51.19012,-0.78995,5
16,51.25394,-0.72441,5
17,51.21022,-0.81106,5
18,51.2266,-0.68281,5
19,51.31309,-0.7008,5
20,51.25839,-0.6762,5
21,51.21946,-0.78143,5
22,51.32262,-0.72,5
23,51.19635,-0.8211,5
24,51.19542,-0.81663,5
25,51.22166,-0.69139,5
26,51.21718,-0.73394,5
27,51.2227,-0.72599,5
28,51.22189,-0.70464,5
29,51.21144,-0.73831,5
30,51.22312,-0.71787,5
31,51.23507,-0.80397,5
32,51.19224,-0.82511,5
33,51.18616,-0.82086,5
34,51.22977,-0.80823,5
35,51.2496,-0.7128,2
35,51.2496,-0.7128,5
36,51.22321,-0.77685,5
37,51.28869,-0.72678,5
38,51.17999,-0.79116,5
39,51.24281,-0.73447,5
40,51.31107,-0.73506,5
41,51.23518,-0.78043,5
42,51.29688,-0.68226,5
43,51.19942,-0.80572,5
44,51.25371,-0.69674,5
45,51.21839,-0.79167,5
46,51.33175,-0.72331,5
47,51.32092,-0.75213,5
48,51.22071,-0.75444,5
49,51.31992,-0.73353,5
50,51.26674,-0.7209,5
51,51.22082,-0.74839,5
52,51.20027,-0.81101,5
53,51.29921,-0.72879,5
54,51.26005,-0.72267,5
55,51.20369,-0.81264,5
56,51.23248,-0.77757,5
57,51.33026,-0.72608,5
58,51.3057,-0.72969,5
59,51.2318,-0.81047,5
60,51.19817,-0.79106,5
61,51.21941,-0.78787,5
62,51.21891,-0.78735,5
63,51.22687,-0.6942,5
64,51.23387,-0.77898,5
65,51.17162,-0.78722,5
66,51.32542,-0.70684,5
67,51.20088,-0.81787,5
68,51.24448,-0.67637,5
69,51.22441,-0.77152,5
70,51.22705,-0.7676,5
71,51.23294,-0.73082,5
72,51.18789,-0.8104,5
73,51.31932,-0.75026,5
74,51.22029,-0.77193,5
75,51.19967,-0.81313,5
76,51.24687,-0.72017,5
77,51.2932,-0.73654,5
78,51.21424,-0.80129,5
79,51.29575,-0.72721,5
80,51.19551,-0.78948,5
81,51.29892,-0.70517,5
82,51.25631,-0.68502,5
83,51.23948,-0.73405,5
84,51.29063,-0.83081,5
84,51.29063,-0.83081,2
85,51.32168,-0.72547,5
86,51.3084,-0.7038,5
87,51.32602,-0.75243,5
88,51.20747,-0.81548,5
89,51.2069,-0.79475,5
90,51.19789,-0.81163,5
91,51.19223,-0.81181,5
92,51.30186,-0.70991,5
93,51.23025,-0.76289,5
94,51.23671,-0.7976,5
95,51.18322,-0.8232,5
96,51.23683,-0.80712,5
97,51.23722,-0.80446,5
98,51.23477,-0.77597,5
99,51.24287,-0.71003,5
100,51.2923,-0.72623,5
101,51.33046,-0.71379,5
102,51.21244,-0.80669,5
103,51.20848,-0.77324,5
104,51.2339,-0.72566,5
105,51.19593,-0.81016,5
106,51.20244,-0.80759,5
107,51.20124,-0.8082,5
108,51.32432,-0.73381,5
109,51.20056,-0.80143,5
110,51.3099,-0.73415,5
111,51.2533,-0.70072,5
112,51.32276,-0.75367,5
113,51.24871,-0.72763,5
114,51.28571,-0.72555,5
115,51.25601,-0.6729,5
116,51.23872,-0.78678,5
117,51.28318,-0.72559,5
118,51.15803,-0.78669,5
119,51.14785,-0.78838,5
120,51.30316,-0.71278,5
121,51.2066,-0.78384,5
122,51.22175,-0.78462,5
123,51.30223,-0.7275,5
124,51.32113,-0.73701,5
125,51.27579,-0.7312,2
125,51.27579,-0.7312,5
126,51.32692,-0.75486,5
127,51.19118,-0.80814,5
128,51.22452,-0.73689,5
129,51.23287,-0.80542,5
130,51.2307,-0.80556,5
131,51.25646,-0.72123,5
132,51.25612,-0.71934,5
133,51.20346,-0.79358,5
134,51.20347,-0.79455,5
135,51.24293,-0.72947,5
136,51.24518,-0.72918,5
137,51.24474,-0.72823,5
138,51.2467,-0.72853,5
139,51.20626,-0.79995,5
140,51.20401,-0.80954,5
141,51.16652,-0.78848,5
142,51.23173,-0.79052,5
143,51.3234,-0.71552,5
144,51.22019,-0.75999,5
145,51.19771,-0.81956,5
146,51.24367,-0.71201,5
147,51.2387,-0.70865,5
148,51.23436,-0.71622,5
149,51.2447,-0.71363,5
150,51.20184,-0.79736,5
151,51.30204,-0.74303,5
151,51.30204,-0.74303,2
152,51.30534,-0.70687,5
