ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
8,27,2,2,4,3.595
8,27,2,2,4,3.595
8,27,2,2,4,3.595
8,27,2,2,4,3.595
26,27,2,2,4,3.836
26,27,2,2,4,3.836
26,27,2,2,4,3.836
26,27,2,2,4,3.836
27,8,2,2,4,3.595
27,8,2,2,4,3.595
27,8,2,2,4,3.595
27,8,2,2,4,3.595
27,26,2,2,4,3.836
27,26,2,2,4,3.836
27,26,2,2,4,3.836
27,26,2,2,4,3.836
1,166,5,5,1,0.203
2,3,5,5,2,0.832
2,16,5,5,2,0.902
2,16,5,5,2,0.902
2,31,5,5,3,1.107
2,32,5,5,3,1.044
2,36,5,5,1,0.523
3,2,5,5,2,0.832
3,13,5,5,2,0.473
3,14,5,5,1,0.304
3,36,5,5,1,0.411
4,5,5,5,1,0.464
4,35,5,5,1,0.818
4,215,5,5,1,0.854
5,4,5,5,1,0.464
5,6,5,5,1,0.798
5,215,5,5,2,1.317
6,5,5,5,1,0.798
6,40,5,5,3,3.482
7,32,5,5,1,0.757
7,33,5,5,1,0.272
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,69,5,5,2,1.421
8,69,5,5,2,1.421
8,147,5,5,6,1.754
8,147,5,5,6,1.754
8,165,5,5,4,1.67
8,165,5,5,4,1.67
8,178,5,5,1,0.472
8,178,5,5,1,0.472
8,242,5,5,10,1.161
8,242,5,5,10,1.161
8,256,5,5,1,0.528
8,256,5,5,1,0.528
8,300,5,5,1,0.394
8,300,5,5,1,0.394
8,301,5,5,1,0.435
8,301,5,5,1,0.435
8,321,5,5,1,0.46
8,321,5,5,1,0.46
8,355,5,5,9,2.078
8,355,5,5,9,2.078
9,258,5,5,6,2.821
9,350,5,5,9,6.574
10,28,5,5,1,0.397
10,43,5,5,1,0.195
11,28,5,5,1,0.217
11,29,5,5,1,0.261
12,29,5,5,1,0.251
12,40,5,5,1,0.339
13,3,5,5,1,0.473
13,34,5,5,3,0.506
13,38,5,5,1,0.393
13,40,5,5,3,0.613
13,64,5,5,1,0.214
14,3,5,5,1,0.304
14,15,5,5,1,0.224
15,14,5,5,1,0.224
15,40,5,5,1,0.49
16,2,5,5,1,0.902
16,2,5,5,1,0.902
17,72,5,5,1,0.463
17,174,5,5,1,0.412
17,403,5,5,1,0.213
17,407,5,5,1,0.321
18,19,5,5,1,0.434
18,20,5,5,1,0.346
19,18,5,5,1,0.434
19,258,5,5,1,0.896
20,18,5,5,1,0.346
20,29,5,5,1,0.28
21,23,5,5,1,0.359
21,24,5,5,1,0.33
21,34,5,5,5,1.567
22,24,5,5,1,0.445
23,21,5,5,1,0.359
23,34,5,5,4,1.209
23,215,5,5,3,0.988
24,21,5,5,1,0.33
24,25,5,5,1,0.953
25,24,5,5,1,0.953
25,216,5,5,2,0.901
26,26,5,5,1,0.0
26,26,5,5,1,0.0
26,26,5,5,1,0.0
26,26,5,5,1,0.0
26,80,5,5,1,0.525
26,80,5,5,1,0.525
26,299,5,5,1,0.785
26,299,5,5,1,0.785
27,27,5,5,1,0.0
27,27,5,5,1,0.0
27,27,5,5,1,0.0
27,27,5,5,1,0.0
27,105,5,5,1,0.608
27,105,5,5,1,0.608
27,111,5,5,1,0.687
27,111,5,5,1,0.687
27,126,5,5,1,0.737
27,126,5,5,1,0.737
27,345,5,5,1,0.465
27,345,5,5,1,0.465
28,10,5,5,1,0.397
28,11,5,5,1,0.217
29,11,5,5,1,0.261
29,12,5,5,1,0.251
29,20,5,5,1,0.28
30,33,5,5,1,0.53
30,38,5,5,1,0.425
30,41,5,5,1,0.371
31,13,5,5,2,0.452
31,32,5,5,1,0.133
32,2,5,5,2,1.044
32,7,5,5,2,0.757
32,36,5,5,1,0.827
33,7,5,5,1,0.272
33,30,5,5,1,0.53
33,41,5,5,1,0.202
34,13,5,5,3,0.506
34,15,5,5,1,0.287
34,23,5,5,3,1.209
34,35,5,5,1,0.923
34,40,5,5,1,0.565
35,4,5,5,1,0.818
35,23,5,5,3,0.938
35,34,5,5,1,0.923
36,2,5,5,1,0.523
36,3,5,5,1,0.411
36,23,5,5,2,1.419
36,31,5,5,2,0.827
36,35,5,5,1,0.557
37,39,5,5,1,0.282
37,42,5,5,1,0.233
38,13,5,5,1,0.393
38,30,5,5,1,0.425
38,40,5,5,1,0.229
39,37,5,5,1,0.282
39,41,5,5,1,0.367
40,6,5,5,3,3.482
40,12,5,5,1,0.339
40,13,5,5,2,0.613
40,15,5,5,1,0.49
40,22,5,5,6,1.756
40,29,5,5,1,0.578
40,34,5,5,1,0.565
40,38,5,5,1,0.229
40,366,5,5,6,3.705
41,33,5,5,1,0.202
41,39,5,5,1,0.367
41,171,5,5,1,0.205
42,37,5,5,1,0.233
42,43,5,5,1,0.085
43,10,5,5,1,0.195
43,42,5,5,1,0.085
44,45,5,5,1,0.186
45,248,5,5,1,0.255
46,47,5,5,1,0.258
47,49,5,5,1,0.256
47,121,5,5,1,1.613
48,262,5,5,1,0.648
49,48,5,5,1,0.287
50,418,5,5,1,0.199
51,54,5,5,1,0.448
52,50,5,5,1,0.244
53,52,5,5,1,0.4
54,56,5,5,1,0.511
54,165,5,5,1,0.426
55,53,5,5,1,0.208
56,377,5,5,1,0.157
56,392,5,5,1,0.228
57,55,5,5,1,0.327
58,61,5,5,1,0.093
59,195,5,5,1,0.186
60,59,5,5,1,0.168
61,60,5,5,1,0.215
62,350,5,5,1,0.428
63,353,5,5,1,0.541
64,31,5,5,2,0.257
65,412,5,5,1,0.518
66,26,5,5,1,0.449
66,26,5,5,1,0.449
66,330,5,5,1,0.259
67,413,5,5,1,0.117
68,209,5,5,1,0.38
69,68,5,5,2,0.414
69,210,5,5,2,1.039
70,133,5,5,1,0.26
71,261,5,5,1,0.254
72,74,5,5,1,0.294
73,76,5,5,1,0.169
74,247,5,5,1,0.129
74,312,5,5,1,0.545
75,173,5,5,1,0.395
76,77,5,5,1,0.128
77,75,5,5,1,0.104
77,312,5,5,1,0.463
78,327,5,5,1,0.164
79,78,5,5,1,0.11
80,85,5,5,1,0.179
81,66,5,5,1,0.363
82,103,5,5,1,0.643
83,415,5,5,1,1.055
84,106,5,5,1,1.037
84,298,5,5,1,0.101
85,329,5,5,1,0.669
86,81,5,5,1,0.409
87,257,5,5,1,0.185
88,87,5,5,1,0.473
89,58,5,5,1,0.351
89,194,5,5,3,0.849
90,91,5,5,1,0.605
90,147,5,5,3,0.994
90,340,5,5,1,0.344
91,147,5,5,1,0.389
92,278,5,5,1,0.377
93,277,5,5,1,0.377
94,172,5,5,1,0.415
