nodeid,lat,lon,layer
1,51.83175,-0.80429,5
2,51.79915,-0.63532,5
3,51.79802,-0.6473,5
4,51.78968,-0.62771,5
5,51.78787,-0.62162,5
6,51.78313,-0.61287,5
7,51.8066,-0.65815,5
8,51.8139,-0.81509,2
8,51.8139,-0.81509,5
9,51.80655,-0.65985,5
10,51.79777,-0.67176,5
11,51.79275,-0.67134,5
12,51.79302,-0.66527,5
13,51.79776,-0.65418,5
14,51.7966,-0.6511,5
15,51.79571,-0.65403,5
16,51.80075,-0.62243,2
16,51.80075,-0.62243,5
17,51.79575,-0.80406,5
18,51.78978,-0.67649,5
19,51.79077,-0.68261,5
20,51.79018,-0.67149,5
21,51.78125,-0.64055,5
22,51.78194,-0.64372,5
23,51.78388,-0.64361,5
24,51.77829,-0.64102,5
25,51.77038,-0.63563,5
26,51.76176,-0.74737,2
26,51.76176,-0.74737,5
27,51.7878,-0.78408,2
27,51.7878,-0.78408,5
28,51.79431,-0.67325,5
29,51.79155,-0.66806,5
30,51.79944,-0.65815,5
31,51.80135,-0.65106,5
32,51.80221,-0.64971,5
33,51.80419,-0.65737,5
34,51.79334,-0.65233,5
35,51.79186,-0.6391,5
36,51.79661,-0.64175,5
37,51.79863,-0.66469,5
38,51.79563,-0.65876,5
39,51.79961,-0.6609,5
40,51.79387,-0.66052,5
41,51.80273,-0.65913,5
42,51.79864,-0.66809,5
43,51.79809,-0.66896,5
44,51.81515,-0.8001,5
45,51.81515,-0.79738,5
46,51.77409,-0.72919,5
47,51.77605,-0.72716,5
48,51.77187,-0.73129,5
49,51.77405,-0.72904,5
50,51.82191,-0.82104,5
51,51.82247,-0.82417,5
52,51.82264,-0.8244,5
53,51.8239,-0.82987,5
54,51.82385,-0.83032,5
55,51.82452,-0.83274,5
56,51.82544,-0.83731,5
57,51.82553,-0.83722,5
58,51.82281,-0.79194,5
59,51.82529,-0.79535,5
60,51.82415,-0.79373,5
61,51.82334,-0.79088,5
62,51.80565,-0.74975,5
63,51.81007,-0.76865,5
64,51.79909,-0.65191,5
65,51.79276,-0.75041,5
66,51.76508,-0.74363,5
67,51.81722,-0.83929,5
68,51.8273,-0.8172,5
69,51.8258,-0.82273,5
70,51.8272,-0.81707,5
71,51.80804,-0.81184,5
72,51.7996,-0.80668,5
73,51.80247,-0.80337,5
74,51.80212,-0.80801,5
75,51.80231,-0.80792,5
76,51.80342,-0.8053,5
77,51.8031,-0.8071,5
78,51.80375,-0.80315,5
79,51.8035,-0.80471,5
80,51.76611,-0.74434,5
81,51.76819,-0.74526,5
82,51.78351,-0.76122,5
83,51.78398,-0.76135,5
84,51.77442,-0.75472,5
85,51.76765,-0.74513,5
86,51.77146,-0.74801,5
87,51.82071,-0.81524,5
88,51.82495,-0.81454,5
89,51.82318,-0.79703,5
90,51.82075,-0.81542,5
91,51.82619,-0.81477,5
92,51.79591,-0.81992,5
93,51.79923,-0.82161,5
94,51.8018,-0.82417,5
95,51.80103,-0.82241,5
96,51.81728,-0.78573,5
97,51.81706,-0.78251,5
98,51.80746,-0.81175,5
99,51.80604,-0.81243,5
100,51.80544,-0.81234,5
101,51.81171,-0.79236,5
102,51.78582,-0.77477,5
103,51.78864,-0.76558,5
104,51.77522,-0.75611,5
105,51.78559,-0.77597,5
106,51.77932,-0.76758,5
107,51.77927,-0.7673,5
108,51.78321,-0.77342,5
109,51.78295,-0.77266,5
110,51.78612,-0.77746,5
111,51.78459,-0.77552,5
112,51.82621,-0.82986,5
113,51.82755,-0.83173,5
114,51.82922,-0.8325,5
115,51.82982,-0.83661,5
116,51.83004,-0.83962,5
117,51.80946,-0.77664,5
118,51.80604,-0.78638,5
119,51.80873,-0.83412,5
120,51.79189,-0.75771,5
121,51.78877,-0.71581,5
122,51.80028,-0.78956,5
123,51.80169,-0.79077,5
124,51.79928,-0.78921,5
125,51.79332,-0.78128,5
126,51.79437,-0.78247,5
127,51.79531,-0.78282,5
128,51.79714,-0.78534,5
