ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
2,3,2,2,6,4.877
2,3,2,2,6,4.877
2,3,2,2,6,4.877
2,3,2,2,6,4.877
3,2,2,2,7,4.877
3,2,2,2,7,4.877
3,2,2,2,7,4.877
3,2,2,2,7,4.877
1,39,4,4,15,9.86
1,39,4,4,15,9.86
1,39,4,4,15,9.86
1,39,4,4,15,9.86
39,1,4,4,15,9.86
39,1,4,4,15,9.86
39,1,4,4,15,9.86
39,1,4,4,15,9.86
39,253,4,4,25,13.816
39,253,4,4,25,13.816
39,253,4,4,25,13.816
39,253,4,4,25,13.816
39,253,4,4,25,13.816
39,253,4,4,25,13.816
39,253,4,4,25,13.816
39,253,4,4,25,13.816
39,253,4,4,25,13.816
39,253,4,4,25,13.816
39,253,4,4,25,13.816
39,253,4,4,25,13.816
39,253,4,4,25,13.816
39,253,4,4,25,13.816
39,253,4,4,25,13.816
39,253,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
253,39,4,4,25,13.816
1,101,5,5,6,2.876
1,101,5,5,6,2.876
1,113,5,5,1,0.172
1,113,5,5,1,0.172
1,328,5,5,1,0.178
1,328,5,5,1,0.178
1,380,5,5,5,2.864
1,380,5,5,5,2.864
1,416,5,5,1,0.633
1,416,5,5,1,0.633
1,418,5,5,5,3.119
1,418,5,5,5,3.119
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,128,5,5,5,1.715
2,128,5,5,5,1.715
2,164,5,5,1,0.391
2,164,5,5,1,0.391
2,183,5,5,8,2.211
2,183,5,5,8,2.211
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,253,5,5,4,0.904
2,284,5,5,3,0.87
2,284,5,5,3,0.87
2,287,5,5,4,0.901
2,287,5,5,4,0.901
2,306,5,5,1,0.412
2,306,5,5,1,0.412
2,422,5,5,1,0.335
2,422,5,5,1,0.335
2,470,5,5,1,0.3
2,470,5,5,1,0.3
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,136,5,5,1,0.264
3,136,5,5,1,0.264
3,260,5,5,1,0.714
3,260,5,5,1,0.714
3,261,5,5,2,0.537
3,261,5,5,2,0.537
3,320,5,5,1,0.272
3,320,5,5,1,0.272
3,363,5,5,1,0.618
3,363,5,5,1,0.618
4,120,5,5,1,0.329
5,34,5,5,5,2.754
5,83,5,5,2,0.751
5,404,5,5,2,0.884
6,120,5,5,1,0.626
7,258,5,5,1,0.499
7,323,5,5,2,0.33
8,7,5,5,1,0.297
8,120,5,5,2,0.402
9,64,5,5,5,1.963
9,118,5,5,2,1.537
9,431,5,5,5,1.685
10,184,5,5,1,0.224
11,365,5,5,1,0.576
12,34,5,5,1,0.904
13,12,5,5,1,0.084
14,217,5,5,1,0.458
16,15,5,5,1,1.011
17,16,5,5,1,0.676
17,482,5,5,1,0.361
18,384,5,5,1,0.218
19,342,5,5,2,0.251
20,99,5,5,1,0.164
21,100,5,5,1,0.164
22,444,5,5,1,0.166
24,446,5,5,1,0.129
25,27,5,5,1,0.914
25,266,5,5,1,0.897
26,412,5,5,2,0.168
28,155,5,5,1,0.623
29,25,5,5,1,0.555
29,26,5,5,1,0.262
29,412,5,5,1,0.427
30,28,5,5,1,0.126
31,4,5,5,1,0.749
32,31,5,5,1,0.91
35,367,5,5,1,0.775
36,37,5,5,1,0.13
37,40,5,5,1,0.239
37,311,5,5,1,0.446
37,442,5,5,1,0.23
38,37,5,5,1,0.172
38,39,5,5,4,0.093
38,39,5,5,4,0.093
38,108,5,5,7,3.894
38,224,5,5,5,2.725
39,37,5,5,1,0.096
39,37,5,5,1,0.096
39,183,5,5,10,10.707
39,183,5,5,10,10.707
39,311,5,5,1,0.508
39,311,5,5,1,0.508
40,311,5,5,1,0.21
40,337,5,5,2,0.169
40,399,5,5,2,0.255
40,473,5,5,1,0.098
41,339,5,5,1,0.389
43,237,5,5,1,0.975
44,7,5,5,1,0.246
45,314,5,5,3,1.089
46,279,5,5,1,0.072
47,483,5,5,1,0.224
49,150,5,5,1,0.23
50,227,5,5,1,0.356
51,366,5,5,1,0.255
52,395,5,5,1,0.22
54,60,5,5,1,0.091
55,174,5,5,1,0.496
56,462,5,5,1,0.491
57,115,5,5,1,0.323
58,57,5,5,1,0.142
59,466,5,5,1,0.248
60,467,5,5,1,0.254
62,3,5,5,1,0.317
62,3,5,5,1,0.317
63,403,5,5,1,0.947
64,63,5,5,1,2.512
64,139,5,5,3,1.978
64,162,5,5,1,0.716
64,299,5,5,2,0.642
64,317,5,5,8,6.06
64,431,5,5,1,0.278
64,433,5,5,5,1.73
64,449,5,5,1,0.656
64,476,5,5,1,0.16
65,47,5,5,16,10.936
65,64,5,5,6,6.049
65,108,5,5,1,0.512
65,141,5,5,1,0.601
65,162,5,5,8,6.736
65,367,5,5,2,1.602
65,434,5,5,10,7.854
66,465,5,5,1,0.179
67,496,5,5,1,1.003
68,464,5,5,1,1.009
69,259,5,5,1,0.405
70,355,5,5,2,0.559
70,463,5,5,2,0.567
71,72,5,5,1,0.573
71,186,5,5,1,0.85
71,432,5,5,1,0.751
72,356,5,5,1,0.404
73,69,5,5,1,0.582
73,70,5,5,1,0.435
74,192,5,5,1,1.04
75,358,5,5,1,0.247
76,139,5,5,10,3.242
76,472,5,5,1,0.202
77,2,5,5,1,0.441
77,2,5,5,1,0.441
77,441,5,5,1,0.19
78,98,5,5,1,0.234
78,150,5,5,1,0.31
79,349,5,5,8,5.941
79,366,5,5,1,0.883
79,430,5,5,1,0.164
80,182,5,5,1,0.435
80,183,5,5,1,0.196
82,81,5,5,1,0.272
82,304,5,5,1,0.637
83,85,5,5,1,0.84
84,220,5,5,1,0.384
85,33,5,5,1,0.133
86,361,5,5,1,0.666
87,86,5,5,1,0.604
88,38,5,5,1,0.486
88,473,5,5,1,0.206
89,193,5,5,3,2.608
89,386,5,5,1,0.842
89,418,5,5,1,0.122
90,89,5,5,1,0.143
91,90,5,5,1,0.179
91,282,5,5,5,1.051
92,91,5,5,1,0.243
93,92,5,5,1,0.181
94,93,5,5,1,0.255
95,485,5,5,1,0.511
96,94,5,5,1,0.643
97,96,5,5,1,0.377
98,148,5,5,1,0.16
99,78,5,5,1,0.163
100,20,5,5,1,0.265
101,103,5,5,4,0.874
101,268,5,5,1,0.458
102,46,5,5,1,0.005
103,102,5,5,1,0.086
104,271,5,5,1,0.254
105,414,5,5,1,0.148
105,478,5,5,1,0.638
106,426,5,5,1,0.416
108,183,5,5,10,6.812
108,430,5,5,11,5.606
108,436,5,5,7,5.53
109,56,5,5,4,0.903
109,97,5,5,1,0.384
109,110,5,5,1,0.555
109,116,5,5,2,0.395
110,488,5,5,1,0.598
111,447,5,5,1,0.652
112,111,5,5,2,1.088
112,290,5,5,1,0.441
113,61,5,5,2,0.253
113,223,5,5,11,7.056
113,232,5,5,1,0.256
113,291,5,5,1,0.273
113,296,5,5,1,0.281
114,461,5,5,1,0.135
115,114,5,5,1,0.323
115,116,5,5,2,0.798
116,109,5,5,3,0.395
116,115,5,5,3,0.798
117,139,5,5,2,1.43
118,120,5,5,1,0.363
118,454,5,5,1,0.149
119,166,5,5,1,0.201
120,165,5,5,1,0.381
121,123,5,5,1,0.569
122,124,5,5,1,1.081
123,122,5,5,1,1.109
124,173,5,5,2,1.385
124,483,5,5,1,0.12
125,124,5,5,1,0.538
126,419,5,5,1,0.255
127,76,5,5,1,0.279
127,359,5,5,2,0.742
128,119,5,5,1,0.576
129,128,5,5,1,0.372
130,2,5,5,3,0.704
130,2,5,5,3,0.704
130,126,5,5,1,0.315
131,130,5,5,2,0.964
132,180,5,5,1,0.26
132,359,5,5,1,0.199
133,333,5,5,1,0.198
134,135,5,5,2,0.474
135,491,5,5,1,0.443
136,319,5,5,1,0.155
136,406,5,5,1,0.348
137,256,5,5,2,0.265
139,3,5,5,3,1.135
139,3,5,5,3,1.135
139,262,5,5,1,0.611
140,228,5,5,1,0.233
141,35,5,5,1,0.23
141,367,5,5,1,1.003
142,495,5,5,1,0.612
143,375,5,5,2,0.443
144,32,5,5,1,0.13
145,152,5,5,1,0.121
146,19,5,5,1,0.203
146,145,5,5,1,0.15
147,146,5,5,1,0.154
148,147,5,5,1,0.1
149,154,5,5,1,0.245
150,453,5,5,1,0.35
151,452,5,5,1,0.329
152,353,5,5,1,0.106
153,49,5,5,1,0.419
154,48,5,5,1,0.206
155,328,5,5,1,0.356
155,471,5,5,1,0.276
156,65,5,5,1,0.37
157,312,5,5,1,0.546
158,131,5,5,1,0.839
158,159,5,5,2,1.382
158,182,5,5,3,0.753
158,183,5,5,5,1.064
159,64,5,5,2,0.676
159,162,5,5,1,0.155
159,431,5,5,2,0.633
160,161,5,5,1,0.197
160,179,5,5,1,0.271
161,76,5,5,2,0.495
161,133,5,5,1,0.362
161,179,5,5,1,0.076
161,216,5,5,2,0.718
161,334,5,5,1,0.221
161,420,5,5,1,0.375
162,80,5,5,2,0.541
162,181,5,5,1,0.113
162,184,5,5,1,0.197
163,160,5,5,1,0.214
164,127,5,5,1,0.368
164,207,5,5,1,0.289
164,376,5,5,1,0.253
164,443,5,5,1,0.242
165,131,5,5,2,0.942
165,158,5,5,1,0.435
165,183,5,5,6,1.439
166,5,5,5,1,0.407
166,7,5,5,1,0.665
166,8,5,5,2,0.403
166,44,5,5,8,0.895
166,117,5,5,1,0.567
167,200,5,5,1,0.139
168,172,5,5,1,0.126
169,168,5,5,1,0.073
170,197,5,5,2,0.53
170,198,5,5,1,0.445
170,199,5,5,1,0.152
171,173,5,5,1,0.345
172,230,5,5,1,0.237
173,284,5,5,3,1.013
173,286,5,5,1,0.166
174,58,5,5,2,0.849
175,79,5,5,1,0.65
176,64,5,5,3,0.562
176,317,5,5,9,6.611
176,431,5,5,1,0.566
176,449,5,5,1,0.132
176,476,5,5,1,0.496
177,75,5,5,1,0.471
177,357,5,5,1,0.466
178,160,5,5,3,0.658
178,163,5,5,1,0.443
178,255,5,5,1,0.434
179,2,5,5,1,0.659
179,2,5,5,1,0.659
180,177,5,5,1,0.295
180,255,5,5,1,0.264
181,184,5,5,1,0.085
182,178,5,5,1,0.251
182,333,5,5,13,1.531
182,357,5,5,1,0.183
183,2,5,5,7,2.211
183,2,5,5,7,2.211
183,38,5,5,15,10.658
183,129,5,5,2,0.698
183,182,5,5,1,0.395
183,253,5,5,8,3.114
183,253,5,5,8,3.114
183,253,5,5,8,3.114
183,253,5,5,8,3.114
183,253,5,5,8,3.114
183,253,5,5,8,3.114
183,253,5,5,8,3.114
183,253,5,5,8,3.114
183,316,5,5,10,6.727
183,373,5,5,1,0.197
184,80,5,5,1,0.344
184,162,5,5,1,0.197
184,183,5,5,2,0.453
185,24,5,5,1,0.102
185,295,5,5,1,0.409
185,386,5,5,1,0.923
185,451,5,5,2,2.483
186,185,5,5,1,0.352
187,352,5,5,1,0.482
188,187,5,5,1,0.46
189,185,5,5,1,0.666
189,186,5,5,1,0.315
190,423,5,5,1,0.486
191,194,5,5,1,0.552
192,492,5,5,1,0.198
193,192,5,5,1,0.748
194,24,5,5,5,2.661
194,73,5,5,1,1.081
194,188,5,5,1,0.442
194,386,5,5,5,3.501
194,429,5,5,2,1.22
195,246,5,5,1,0.258
196,195,5,5,1,0.205
197,285,5,5,1,0.177
198,197,5,5,1,0.195
198,229,5,5,1,0.236
199,198,5,5,1,0.357
200,140,5,5,1,0.203
201,421,5,5,1,0.259
202,481,5,5,1,1.338
203,113,5,5,1,0.275
203,290,5,5,1,0.262
203,471,5,5,1,0.284
204,105,5,5,1,0.398
204,270,5,5,1,0.281
205,128,5,5,1,0.781
205,159,5,5,4,2.124
206,205,5,5,2,1.042
207,206,5,5,1,0.251
208,275,5,5,1,0.345
208,413,5,5,1,0.157
209,250,5,5,1,0.081
210,231,5,5,1,0.277
211,410,5,5,1,0.18
212,246,5,5,1,0.263
213,170,5,5,1,0.284
213,199,5,5,1,0.294
213,330,5,5,1,0.197
214,207,5,5,1,0.437
214,419,5,5,1,0.273
215,381,5,5,1,0.062
216,214,5,5,1,0.129
217,271,5,5,2,1.075
217,479,5,5,1,0.744
218,234,5,5,1,1.006
219,491,5,5,1,0.464
220,219,5,5,1,0.808
221,39,5,5,2,0.684
221,39,5,5,2,0.684
221,450,5,5,1,0.48
222,338,5,5,1,0.501
222,364,5,5,1,0.442
222,386,5,5,9,6.794
223,38,5,5,5,2.673
223,39,5,5,4,2.703
223,39,5,5,4,2.703
223,84,5,5,1,0.131
224,50,5,5,1,0.326
224,185,5,5,5,4.097
224,290,5,5,10,7.01
224,471,5,5,10,7.017
225,224,5,5,1,0.342
226,223,5,5,1,0.401
227,68,5,5,1,0.512
227,191,5,5,1,0.329
228,168,5,5,1,0.163
228,169,5,5,1,0.166
229,230,5,5,1,0.318
230,173,5,5,1,0.15
230,286,5,5,1,0.296
231,251,5,5,1,0.135
232,112,5,5,1,0.207
233,109,5,5,1,0.533
234,22,5,5,1,0.383
235,22,5,5,2,0.327
236,218,5,5,1,0.266
237,42,5,5,1,0.291
238,241,5,5,1,0.275
239,43,5,5,1,0.434
239,238,5,5,1,0.214
240,235,5,5,1,0.214
241,394,5,5,1,0.129
242,208,5,5,1,0.209
242,425,5,5,1,0.114
243,208,5,5,1,0.312
243,242,5,5,1,0.102
244,231,5,5,1,0.261
245,212,5,5,1,0.269
246,213,5,5,1,0.275
249,301,5,5,1,0.218
250,215,5,5,1,0.135
251,77,5,5,1,0.683
251,253,5,5,1,0.264
251,253,5,5,1,0.264
251,253,5,5,1,0.264
251,253,5,5,1,0.264
251,253,5,5,1,0.264
251,253,5,5,1,0.264
251,253,5,5,1,0.264
251,253,5,5,1,0.264
251,254,5,5,2,0.252
251,280,5,5,1,0.242
251,284,5,5,1,0.315
251,287,5,5,1,0.275
251,288,5,5,1,0.287
252,331,5,5,1,0.199
253,77,5,5,1,0.47
253,77,5,5,1,0.47
253,77,5,5,1,0.47
253,77,5,5,1,0.47
253,77,5,5,1,0.47
253,77,5,5,1,0.47
253,77,5,5,1,0.47
253,77,5,5,1,0.47
253,332,5,5,1,0.229
253,332,5,5,1,0.229
253,332,5,5,1,0.229
253,332,5,5,1,0.229
253,332,5,5,1,0.229
253,332,5,5,1,0.229
253,332,5,5,1,0.229
253,332,5,5,1,0.229
254,77,5,5,1,0.473
254,330,5,5,2,1.045
254,332,5,5,1,0.216
255,308,5,5,1,0.53
255,309,5,5,2,0.909
255,440,5,5,1,0.436
256,3,5,5,1,0.258
256,3,5,5,1,0.258
257,256,5,5,2,0.897
257,493,5,5,1,0.177
258,318,5,5,1,0.658
258,490,5,5,1,0.902
259,71,5,5,1,0.566
259,282,5,5,3,0.551
261,260,5,5,1,0.925
262,3,5,5,1,0.524
262,3,5,5,1,0.524
263,264,5,5,1,0.259
264,265,5,5,1,0.37
265,1,5,5,1,0.555
265,1,5,5,1,0.555
265,113,5,5,2,0.715
265,408,5,5,5,2.747
266,267,5,5,1,0.91
267,297,5,5,2,0.531
267,412,5,5,2,0.51
268,269,5,5,1,0.587
269,263,5,5,1,0.747
270,45,5,5,2,0.874
271,480,5,5,1,0.184
272,273,5,5,1,0.223
273,401,5,5,1,0.129
274,272,5,5,1,0.143
275,247,5,5,1,0.362
275,273,5,5,1,0.137
276,106,5,5,1,0.271
277,340,5,5,1,0.181
278,18,5,5,2,0.361
278,171,5,5,1,0.712
279,268,5,5,1,0.921
279,385,5,5,2,0.907
280,77,5,5,1,0.476
280,332,5,5,1,0.205
281,204,5,5,1,0.111
282,72,5,5,2,0.558
282,486,5,5,1,1.059
283,209,5,5,1,0.177
283,474,5,5,1,0.287
284,2,5,5,2,0.87
284,2,5,5,2,0.87
284,77,5,5,1,0.442
285,167,5,5,1,0.215
286,283,5,5,1,0.26
287,2,5,5,2,0.901
287,2,5,5,2,0.901
287,77,5,5,1,0.468
287,332,5,5,1,0.241
288,77,5,5,1,0.467
289,171,5,5,1,0.737
289,278,5,5,1,0.35
290,1,5,5,1,0.172
290,1,5,5,1,0.172
290,38,5,5,15,9.677
290,113,5,5,1,0.073
291,25,5,5,3,1.873
291,292,5,5,1,0.61
292,293,5,5,1,0.12
293,29,5,5,1,0.632
294,24,5,5,1,0.236
294,418,5,5,1,0.311
295,386,5,5,2,0.517
296,417,5,5,1,0.143
297,30,5,5,1,0.638
298,25,5,5,2,0.503
298,297,5,5,1,0.25
299,162,5,5,1,0.081
299,181,5,5,1,0.182
300,374,5,5,1,0.306
301,300,5,5,1,0.408
301,314,5,5,3,0.667
302,249,5,5,1,0.266
303,302,5,5,1,0.186
304,303,5,5,1,0.526
305,11,5,5,1,0.282
306,53,5,5,2,0.712
306,201,5,5,1,0.12
306,359,5,5,2,0.41
307,308,5,5,1,0.42
307,439,5,5,1,0.196
308,309,5,5,1,0.497
309,433,5,5,1,0.148
310,88,5,5,1,0.364
311,157,5,5,1,0.473
312,346,5,5,1,0.965
313,310,5,5,1,0.546
314,335,5,5,3,0.671
314,379,5,5,2,1.08
315,316,5,5,1,0.965
316,38,5,5,7,3.983
316,317,5,5,1,0.607
316,349,5,5,1,0.513
317,348,5,5,1,0.38
319,457,5,5,2,0.214
320,138,5,5,1,0.086
321,322,5,5,1,0.286
322,137,5,5,1,0.17
323,258,5,5,1,0.212
324,290,5,5,2,1.536
325,326,5,5,1,0.754
326,103,5,5,2,1.189
326,385,5,5,1,0.591
327,325,5,5,1,0.262
328,296,5,5,1,0.261
329,18,5,5,1,0.696
329,278,5,5,3,0.679
329,384,5,5,2,0.91
330,170,5,5,1,0.118
330,199,5,5,1,0.226
330,329,5,5,1,0.351
330,475,5,5,2,1.363
331,212,5,5,1,0.25
332,409,5,5,1,0.19
333,2,5,5,2,0.52
333,2,5,5,2,0.52
