nodeid,lat,lon,layer
1,53.05162,-4.283,4
1,53.05162,-4.283,5
2,53.2223,-4.13589,2
2,53.2223,-4.13589,5
3,53.22096,-4.20923,2
3,53.22096,-4.20923,5
4,53.22799,-4.16163,5
5,53.22851,-4.16113,5
6,53.22858,-4.17203,5
7,53.22863,-4.17271,5
8,53.22809,-4.16832,5
9,53.22061,-4.19061,5
10,53.20709,-4.17028,5
11,53.19246,-4.19083,5
12,53.24419,-4.15118,5
13,53.24427,-4.14992,5
14,53.17051,-4.18641,5
15,53.21966,-4.06832,5
16,53.21823,-4.08335,5
17,53.21646,-4.09308,5
18,53.21894,-4.10452,5
19,53.14034,-4.26598,5
20,53.13908,-4.26048,5
21,53.14029,-4.26572,5
22,53.13654,-4.26479,5
23,53.12441,-4.27512,5
24,53.07869,-4.2798,5
25,53.04988,-4.25047,5
26,53.05372,-4.25465,5
27,53.04999,-4.23677,5
28,53.05219,-4.26885,5
29,53.05228,-4.25777,5
30,53.05243,-4.267,5
31,53.23382,-4.15593,5
32,53.23823,-4.14437,5
33,53.23901,-4.14284,5
34,53.25109,-4.14394,5
35,53.1701,-4.23362,5
36,53.14013,-4.27283,5
37,53.14101,-4.27413,5
38,53.14007,-4.27206,5
39,53.14025,-4.27343,4
39,53.14025,-4.27343,5
40,53.14305,-4.27298,5
41,53.13782,-4.26979,5
42,53.13127,-4.24129,5
43,53.13489,-4.25923,5
44,53.22894,-4.17639,5
45,53.16802,-4.22219,5
46,53.02999,-4.26925,5
47,53.21547,-4.10163,5
48,53.14207,-4.2517,5
49,53.14039,-4.2572,5
50,53.11272,-4.26869,5
51,53.19712,-4.18119,5
52,53.14974,-4.26218,5
53,53.21481,-4.13132,5
54,53.09166,-4.23027,5
55,53.08315,-4.23527,5
56,53.07998,-4.24055,5
57,53.07303,-4.23165,5
58,53.07431,-4.23188,5
59,53.09322,-4.2347,5
60,53.09201,-4.23152,5
61,53.0537,-4.27853,5
62,53.22178,-4.2138,5
63,53.22597,-4.18995,5
64,53.20422,-4.1795,5
65,53.16526,-4.24308,5
66,53.09554,-4.24383,5
67,53.10144,-4.25319,5
68,53.10505,-4.26697,5
69,53.09141,-4.25946,5
70,53.09665,-4.25587,5
71,53.08489,-4.26778,5
72,53.08793,-4.26083,5
73,53.09635,-4.26239,5
74,53.09905,-4.26477,5
75,53.21323,-4.15576,5
76,53.22303,-4.14361,5
77,53.22539,-4.13172,5
78,53.13876,-4.25575,5
79,53.20232,-4.17691,5
80,53.21026,-4.16357,5
81,53.19086,-4.18722,5
82,53.19257,-4.19016,5
83,53.23425,-4.15514,5
84,53.11728,-4.26812,5
85,53.23828,-4.14444,5
86,53.20027,-4.17392,5
87,53.19716,-4.18138,5
88,53.14442,-4.27124,5
89,53.07868,-4.28002,5
90,53.07815,-4.27806,5
91,53.07701,-4.27616,5
92,53.07527,-4.27393,5
93,53.07469,-4.27138,5
94,53.07502,-4.26759,5
95,53.07558,-4.26545,5
96,53.074,-4.2581,5
97,53.07206,-4.25346,5
98,53.13824,-4.25917,5
99,53.1393,-4.25803,5
100,53.13901,-4.26447,5
101,53.02573,-4.2815,5
102,53.03004,-4.26924,5
103,53.03005,-4.27054,5
104,53.16407,-4.21087,5
105,53.16533,-4.20113,5
106,53.147,-4.25906,5
107,53.17245,-4.18116,5
108,53.16823,-4.23718,5
109,53.07319,-4.24801,5
110,53.0687,-4.25167,5
111,53.06074,-4.26415,5
112,53.05551,-4.27795,5
113,53.0531,-4.2822,5
114,53.07302,-4.23177,5
115,53.07012,-4.23138,5
116,53.07107,-4.24324,5
117,53.22593,-4.17279,5
118,53.22624,-4.16948,5
119,53.22356,-4.1644,5
120,53.22545,-4.16418,5
121,53.22125,-4.06049,5
122,53.21808,-4.08504,5
123,53.21942,-4.0685,5
124,53.21667,-4.10113,5
125,53.21631,-4.09305,5
126,53.22815,-4.13434,5
127,53.22442,-4.1401,5
128,53.21878,-4.16102,5
129,53.21554,-4.16249,5
130,53.22835,-4.13907,5
131,53.22342,-4.15102,5
132,53.21998,-4.14695,5
133,53.2219,-4.1458,5
134,53.12444,-4.27517,5
135,53.12813,-4.27158,5
136,53.22281,-4.20673,5
137,53.22308,-4.20272,5
138,53.22177,-4.21444,5
139,53.22034,-4.19218,5
140,53.22134,-4.11517,5
141,53.16901,-4.23656,5
142,53.24003,-4.14996,5
143,53.23997,-4.15024,5
144,53.23893,-4.1428,5
145,53.13912,-4.26691,5
146,53.13865,-4.26479,5
147,53.13776,-4.263,5
148,53.13784,-4.26149,5
149,53.1404,-4.25751,5
150,53.13944,-4.26028,5
151,53.14064,-4.26478,5
152,53.13999,-4.26802,5
153,53.142,-4.2515,5
154,53.14188,-4.25478,5
155,53.0527,-4.27815,5
156,53.16281,-4.24686,5
157,53.14811,-4.26712,5
158,53.21889,-4.16113,5
159,53.2082,-4.17179,5
160,53.21748,-4.14735,5
161,53.21866,-4.14512,5
162,53.20728,-4.17002,5
163,53.21622,-4.1498,5
164,53.22579,-4.13505,5
165,53.22205,-4.16502,5
166,53.22537,-4.1643,5
167,53.22003,-4.11984,5
168,53.22423,-4.11576,5
169,53.22365,-4.1163,5
170,53.22667,-4.11157,5
171,53.22465,-4.11009,5
172,53.2251,-4.11453,5
173,53.22773,-4.1108,5
174,53.07995,-4.24048,5
175,53.20668,-4.17037,5
176,53.20701,-4.17243,5
177,53.21573,-4.15003,5
178,53.21378,-4.15509,5
179,53.21895,-4.14408,5
180,53.21763,-4.14691,5
181,53.20799,-4.1688,5
182,53.21236,-4.15803,5
183,53.2093,-4.16109,5
184,53.20844,-4.16776,5
185,53.0795,-4.28053,5
186,53.08266,-4.27998,5
187,53.09451,-4.27699,5
188,53.09866,-4.27685,5
189,53.08542,-4.27886,5
190,53.09015,-4.27761,5
191,53.10673,-4.27065,5
192,53.10785,-4.27012,5
193,53.10204,-4.27581,5
194,53.10249,-4.27499,5
195,53.2303,-4.11755,5
196,53.22939,-4.12024,5
197,53.22298,-4.11664,5
198,53.22468,-4.11739,5
199,53.22706,-4.11377,5
200,53.22057,-4.11795,5
