ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
61,171,2,2,3,2.244
61,171,2,2,3,2.244
61,171,2,2,3,2.244
61,171,2,2,3,2.244
61,171,2,2,3,2.244
61,171,2,2,3,2.244
61,201,2,2,3,3.362
61,201,2,2,3,3.362
61,201,2,2,3,3.362
61,201,2,2,3,3.362
61,201,2,2,3,3.362
61,201,2,2,3,3.362
64,201,2,2,7,7.867
64,201,2,2,7,7.867
64,201,2,2,7,7.867
64,201,2,2,7,7.867
100,139,2,2,5,3.359
100,139,2,2,5,3.359
100,139,2,2,5,3.359
100,139,2,2,5,3.359
139,100,2,2,4,3.359
139,100,2,2,4,3.359
139,100,2,2,4,3.359
139,100,2,2,4,3.359
171,61,2,2,2,2.244
171,61,2,2,2,2.244
171,61,2,2,2,2.244
171,61,2,2,2,2.244
171,61,2,2,2,2.244
171,61,2,2,2,2.244
201,61,2,2,3,3.362
201,61,2,2,3,3.362
201,61,2,2,3,3.362
201,61,2,2,3,3.362
201,61,2,2,3,3.362
201,61,2,2,3,3.362
201,64,2,2,6,7.867
201,64,2,2,6,7.867
201,64,2,2,6,7.867
201,64,2,2,6,7.867
61,79,4,4,10,6.473
61,79,4,4,10,6.473
61,79,4,4,10,6.473
61,79,4,4,10,6.473
61,79,4,4,10,6.473
61,79,4,4,10,6.473
126,61,4,4,12,6.146
126,61,4,4,12,6.146
126,61,4,4,12,6.146
126,61,4,4,12,6.146
126,61,4,4,12,6.146
126,61,4,4,12,6.146
1,22,5,5,1,0.352
1,64,5,5,2,0.901
1,64,5,5,2,0.901
2,98,5,5,2,0.376
2,161,5,5,1,0.448
3,154,5,5,2,0.565
3,155,5,5,1,0.489
4,140,5,5,1,0.583
4,175,5,5,2,1.167
4,177,5,5,1,0.281
5,8,5,5,1,0.37
6,9,5,5,1,0.462
6,130,5,5,2,0.794
7,110,5,5,1,0.605
7,130,5,5,1,0.926
7,173,5,5,4,3.16
7,231,5,5,5,2.5
8,5,5,5,1,0.37
8,9,5,5,1,0.492
9,6,5,5,1,0.462
9,8,5,5,1,0.492
10,24,5,5,1,0.342
10,59,5,5,1,0.239
11,12,5,5,1,0.534
11,66,5,5,1,0.463
12,11,5,5,1,0.534
12,19,5,5,1,0.492
13,14,5,5,1,0.291
13,65,5,5,1,0.485
13,66,5,5,1,0.349
14,13,5,5,1,0.291
14,113,5,5,1,0.5
14,269,5,5,2,0.88
15,16,5,5,1,0.328
15,18,5,5,1,0.678
16,15,5,5,1,0.328
16,117,5,5,1,0.233
17,18,5,5,1,0.348
17,62,5,5,1,0.339
17,328,5,5,1,0.286
18,15,5,5,1,0.678
18,293,5,5,1,0.261
19,12,5,5,1,0.492
19,76,5,5,1,0.514
19,262,5,5,1,0.198
20,89,5,5,1,0.335
20,127,5,5,1,0.286
20,160,5,5,1,0.448
21,55,5,5,1,0.859
21,320,5,5,1,0.173
22,1,5,5,1,0.352
22,178,5,5,1,0.282
23,123,5,5,2,0.371
23,172,5,5,1,0.208
24,10,5,5,1,0.342
24,205,5,5,1,0.449
25,31,5,5,1,0.204
26,220,5,5,1,0.282
27,28,5,5,1,0.329
27,79,5,5,1,0.524
27,79,5,5,1,0.524
28,27,5,5,1,0.329
28,220,5,5,1,0.468
29,30,5,5,1,0.28
29,32,5,5,1,0.366
30,29,5,5,1,0.28
30,79,5,5,2,0.334
30,79,5,5,2,0.334
31,25,5,5,1,0.204
31,32,5,5,1,0.219
32,29,5,5,1,0.366
32,31,5,5,1,0.219
33,34,5,5,1,0.229
33,40,5,5,1,0.278
34,33,5,5,1,0.229
34,35,5,5,1,0.239
34,39,5,5,1,0.215
34,41,5,5,1,0.379
35,34,5,5,1,0.239
35,36,5,5,1,0.203
35,39,5,5,1,0.262
36,35,5,5,1,0.203
36,184,5,5,1,0.324
36,292,5,5,1,0.198
37,188,5,5,1,0.527
37,275,5,5,1,0.611
38,39,5,5,1,0.207
38,41,5,5,1,0.141
38,189,5,5,3,0.577
38,257,5,5,1,0.265
39,34,5,5,1,0.215
39,35,5,5,1,0.262
39,38,5,5,1,0.207
39,41,5,5,1,0.164
40,33,5,5,1,0.278
40,254,5,5,1,0.541
41,38,5,5,1,0.141
41,39,5,5,1,0.164
41,312,5,5,1,0.18
42,41,5,5,1,0.407
42,255,5,5,1,0.439
43,44,5,5,1,0.419
43,46,5,5,1,0.194
43,49,5,5,1,0.631
43,124,5,5,1,0.493
43,196,5,5,1,0.21
43,199,5,5,1,0.233
43,276,5,5,1,0.278
44,43,5,5,2,0.419
44,49,5,5,1,0.22
45,46,5,5,1,0.338
45,212,5,5,1,0.311
46,43,5,5,1,0.194
46,45,5,5,1,0.338
46,212,5,5,2,0.647
47,48,5,5,1,0.321
47,152,5,5,1,0.278
