nodeid,lat,lon,layer
1,51.52065,0.4313,5
2,51.56876,0.43693,5
3,51.63614,0.45862,5
4,51.60913,0.55177,5
5,51.64145,0.58367,5
6,51.63273,0.57054,5
7,51.63719,0.55764,5
8,51.6391,0.57986,5
9,51.63581,0.57506,5
10,51.53307,0.47283,5
11,51.59746,0.42533,5
12,51.59339,0.42948,5
13,51.60378,0.42458,5
14,51.60569,0.42747,5
15,51.61729,0.4318,5
16,51.61434,0.43153,5
17,51.62621,0.42846,5
18,51.62335,0.43056,5
19,51.58906,0.43106,5
20,51.53474,0.45171,5
21,51.55014,0.46543,5
22,51.52109,0.43636,5
23,51.5251,0.46127,5
24,51.53607,0.4717,5
25,51.57269,0.56051,5
26,51.55481,0.55529,5
27,51.56274,0.55075,5
28,51.55977,0.55072,5
29,51.57288,0.54954,5
30,51.57036,0.54925,5
31,51.57357,0.5579,5
32,51.57359,0.55472,5
33,51.56569,0.4791,5
34,51.56604,0.48237,5
35,51.56492,0.48533,5
36,51.56311,0.48575,5
37,51.57368,0.4726,5
38,51.56911,0.48521,5
39,51.56726,0.4848,5
40,51.56504,0.4752,5
41,51.5682,0.48664,5
42,51.56814,0.49254,5
43,51.58114,0.49351,5
44,51.57958,0.49904,5
45,51.5818,0.48622,5
46,51.58206,0.49111,5
47,51.58033,0.51187,5
48,51.57978,0.51645,5
49,51.5794,0.50222,5
50,51.57798,0.5174,5
51,51.57587,0.51528,5
52,51.56398,0.40732,5
53,51.59845,0.44625,5
54,51.566,0.52717,5
55,51.55686,0.45926,5
56,51.566,0.51842,5
57,51.56603,0.52366,5
58,51.61335,0.48657,5
59,51.53097,0.47361,5
60,51.51562,0.43511,5
61,51.56811,0.4568,5
61,51.56811,0.4568,2
61,51.56811,0.4568,4
62,51.62477,0.42412,5
63,51.53019,0.45661,5
64,51.51437,0.42304,5
64,51.51437,0.42304,2
65,51.6057,0.41825,5
66,51.60108,0.42198,5
67,51.6209,0.41905,5
68,51.6101,0.41696,5
69,51.60326,0.47341,5
70,51.62593,0.48141,5
71,51.56194,0.42214,5
72,51.55896,0.42183,5
73,51.58318,0.42487,5
74,51.55668,0.42184,5
75,51.58769,0.44054,5
76,51.58601,0.43667,5
77,51.58845,0.44832,5
78,51.59109,0.45086,5
79,51.56746,0.55059,4
79,51.56746,0.55059,5
80,51.6033,0.40519,5
81,51.52352,0.44688,5
82,51.52194,0.44448,5
83,51.60859,0.48627,5
84,51.60191,0.4686,5
85,51.6072,0.48119,5
86,51.56681,0.5584,5
87,51.56722,0.55388,5
88,51.54333,0.45174,5
89,51.53713,0.45468,5
90,51.6053,0.53837,5
91,51.61184,0.536,5
92,51.61325,0.53067,5
93,51.60372,0.54764,5
94,51.57078,0.53223,5
95,51.57277,0.53253,5
96,51.63668,0.49273,5
97,51.63593,0.49664,5
98,51.56561,0.43896,5
99,51.56785,0.51417,5
100,51.62483,0.5653,2
100,51.62483,0.5653,5
101,51.57435,0.42206,5
102,51.57366,0.40709,5
103,51.5737,0.40333,5
104,51.57168,0.40059,5
105,51.57051,0.40449,5
106,51.57051,0.41086,5
107,51.56984,0.4159,5
108,51.60136,0.44477,5
109,51.64514,0.55035,5
110,51.64217,0.55405,5
111,51.52203,0.432,5
112,51.60828,0.43672,5
113,51.60764,0.43401,5
114,51.61417,0.42984,5
115,51.61689,0.42573,5
116,51.61043,0.43796,5
117,51.61304,0.43419,5
118,51.60351,0.44334,5
119,51.60724,0.44032,5
120,51.59938,0.46201,5
121,51.60067,0.45458,5
122,51.5424,0.46838,5
123,51.52383,0.4563,5
124,51.57943,0.48691,5
125,51.51673,0.43996,5
126,51.56741,0.54585,4
126,51.56741,0.54585,5
127,51.53337,0.44819,5
128,51.63283,0.51469,5
129,51.56646,0.53253,5
130,51.62906,0.56065,5
131,51.56426,0.44584,5
132,51.56434,0.44189,5
133,51.57021,0.43451,5
134,51.572,0.4293,5
135,51.57236,0.42328,5
136,51.56776,0.4411,5
137,51.62464,0.52093,5
138,51.51924,0.44383,5
139,51.61503,0.51919,5
139,51.61503,0.51919,2
140,51.61077,0.54373,5
141,51.6128,0.53945,5
142,51.5297,0.44228,5
143,51.64004,0.50653,5
144,51.60916,0.4927,5
145,51.61023,0.49868,5
146,51.61135,0.50668,5
147,51.63004,0.51615,5
148,51.59929,0.51432,5
149,51.6203,0.52099,5
150,51.61809,0.52848,5
151,51.52307,0.45185,5
152,51.57968,0.50797,5
153,51.63619,0.47076,5
154,51.63557,0.45047,5
155,51.63564,0.46568,5
156,51.6387,0.43803,5
157,51.6378,0.44202,5
158,51.64222,0.43509,5
159,51.64127,0.43599,5
160,51.53298,0.45756,5
161,51.57104,0.43157,5
162,51.55808,0.42619,5
163,51.5775,0.43395,5
164,51.57731,0.42633,5
165,51.58114,0.44524,5
166,51.57139,0.45055,5
167,51.5831,0.44453,5
168,51.58835,0.44485,5
169,51.57992,0.44307,5
170,51.57694,0.42413,5
171,51.56753,0.42429,2
171,51.56753,0.42429,5
172,51.52597,0.46394,5
173,51.61084,0.57499,5
174,51.59963,0.56902,5
175,51.60212,0.56439,5
176,51.61899,0.57345,5
177,51.60965,0.54777,5
178,51.52182,0.44028,5
179,51.52602,0.46045,5
180,51.6294,0.48066,5
181,51.56877,0.53226,5
182,51.56282,0.49587,5
183,51.56191,0.4924,5
184,51.56066,0.48832,5
185,51.55864,0.48355,5
186,51.55604,0.47854,5
187,51.55493,0.47441,5
188,51.57413,0.48021,5
189,51.57406,0.48777,5
190,51.57767,0.47456,5
191,51.57714,0.47068,5
192,51.57366,0.46254,5
193,51.5741,0.49076,5
194,51.57519,0.46745,5
195,51.57466,0.46458,5
196,51.57983,0.49571,5
197,51.58608,0.49877,5
198,51.57562,0.49398,5
199,51.57919,0.49478,5
200,51.52826,0.45815,5
201,51.5636,0.50498,2
201,51.5636,0.50498,5
202,51.62127,0.48278,5
203,51.63632,0.47449,5
204,51.63845,0.47197,5
205,51.53992,0.4697,5
206,51.56454,0.45139,5
207,51.57176,0.43832,5
208,51.57252,0.44342,5
209,51.57082,0.44742,5
210,51.56951,0.44905,5
211,51.58051,0.47866,5
212,51.58207,0.48173,5
213,51.57691,0.43868,5
214,51.575,0.4412,5
215,51.58907,0.49905,5
216,51.59126,0.49905,5
217,51.57846,0.41542,5
218,51.57591,0.41438,5
219,51.55917,0.45281,5
220,51.55557,0.55138,5
221,51.57269,0.4954,5
222,51.56905,0.49818,5
223,51.5684,0.50256,5
224,51.56793,0.5078,5
225,51.55327,0.4682,5
226,51.51849,0.42758,5
227,51.52469,0.43648,5
228,51.61145,0.51034,5
229,51.62781,0.51893,5
230,51.63809,0.51054,5
231,51.62163,0.53141,5
232,51.60305,0.51548,5
233,51.60591,0.51748,5
234,51.60811,0.5179,5
235,51.5974,0.50872,5
236,51.56884,0.50981,5
237,51.57109,0.50982,5
238,51.57421,0.51022,5
239,51.57578,0.51193,5
240,51.57505,0.50747,5
241,51.57041,0.51512,5
242,51.56745,0.51033,5
243,51.57359,0.49625,5
244,51.57466,0.50025,5
245,51.55054,0.46396,5
246,51.62322,0.48181,5
247,51.63275,0.4753,5
248,51.61749,0.4845,5
249,51.63876,0.49017,5
250,51.6381,0.48367,5
251,51.57184,0.46822,5
252,51.57209,0.47446,5
253,51.56387,0.4642,5
254,51.56411,0.4675,5
255,51.56428,0.49396,5
256,51.57181,0.48068,5
257,51.57136,0.4839,5
258,51.58829,0.41951,5
259,51.58832,0.425,5
260,51.57979,0.41671,5
261,51.57585,0.40905,5
262,51.58763,0.42934,5
263,51.58631,0.42947,5
264,51.57885,0.42198,5
265,51.57989,0.41953,5
266,51.59805,0.57736,5
267,51.52725,0.46805,5
268,51.62489,0.52012,5
269,51.61362,0.42711,5
270,51.52857,0.44139,5
271,51.52331,0.54867,5
272,51.56468,0.47283,5
273,51.56717,0.4137,5
274,51.61741,0.53747,5
275,51.57069,0.46516,5
276,51.57993,0.48998,5
277,51.58,0.42164,5
278,51.57865,0.47731,5
279,51.56773,0.4382,5
280,51.62468,0.44089,5
281,51.62534,0.54225,5
282,51.60352,0.54377,5
283,51.61357,0.52603,5
284,51.62496,0.5271,5
285,51.58691,0.46425,5
286,51.51464,0.43049,5
287,51.52253,0.45319,5
288,51.62168,0.51796,5
289,51.58442,0.46508,5
290,51.61931,0.41985,5
291,51.53158,0.44512,5
292,51.56137,0.48642,5
293,51.62566,0.42982,5
294,51.57191,0.47071,5
295,51.59993,0.5315,5
296,51.60926,0.52909,5
297,51.52364,0.45009,5
298,51.56825,0.40012,5
299,51.58876,0.49727,5
300,51.5673,0.533,5
301,51.57736,0.53346,5
302,51.59905,0.52504,5
303,51.60447,0.52472,5
304,51.60228,0.52207,5
305,51.59928,0.52735,5
306,51.62366,0.5376,5
307,51.60619,0.52541,5
308,51.6048,0.53542,5
309,51.60388,0.53503,5
310,51.60803,0.53137,5
311,51.60162,0.53457,5
312,51.56831,0.48925,5
313,51.60033,0.52029,5
314,51.60942,0.52492,5
315,51.60823,0.53904,5
316,51.60424,0.54025,5
317,51.56719,0.40136,5
318,51.61515,0.54656,5
319,51.61265,0.54366,5
320,51.54865,0.4662,5
321,51.61268,0.53542,5
322,51.61491,0.53706,5
323,51.62412,0.43813,5
324,51.62491,0.43432,5
325,51.56426,0.40186,5
326,51.58058,0.46926,5
327,51.62739,0.43526,5
328,51.62726,0.43225,5
329,51.62649,0.43995,5
330,51.6282,0.5181,5
331,51.52916,0.47346,5
332,51.61611,0.54559,5
333,51.61714,0.54022,5
334,51.60074,0.4664,5
335,51.62493,0.43124,5
336,51.57306,0.46513,5
