ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,2,5,5,1,0.311
1,18,5,5,1,0.341
1,20,5,5,3,1.387
2,1,5,5,1,0.311
2,18,5,5,1,0.649
2,20,5,5,2,1.289
2,557,5,5,1,0.577
2,601,5,5,1,0.364
3,13,5,5,1,0.502
3,25,5,5,1,0.421
4,6,5,5,1,0.254
4,19,5,5,1,0.551
4,431,5,5,2,0.274
4,517,5,5,1,0.531
5,5,5,5,2,0.0
5,5,5,5,2,0.0
5,5,5,5,2,0.0
5,5,5,5,2,0.0
5,5,5,5,2,0.0
5,5,5,5,2,0.0
5,5,5,5,2,0.0
5,5,5,5,2,0.0
5,5,5,5,2,0.0
5,36,5,5,2,0.888
5,36,5,5,2,0.888
5,36,5,5,2,0.888
5,84,5,5,1,0.42
5,84,5,5,1,0.42
5,84,5,5,1,0.42
5,91,5,5,13,5.229
5,91,5,5,13,5.229
5,91,5,5,13,5.229
5,94,5,5,1,0.551
5,94,5,5,1,0.551
5,94,5,5,1,0.551
5,217,5,5,5,2.808
5,217,5,5,5,2.808
5,217,5,5,5,2.808
5,392,5,5,5,1.397
5,392,5,5,5,1.397
5,392,5,5,5,1.397
5,414,5,5,2,1.342
5,414,5,5,2,1.342
5,414,5,5,2,1.342
5,448,5,5,1,1.028
5,448,5,5,1,1.028
5,448,5,5,1,1.028
5,453,5,5,1,0.322
5,453,5,5,1,0.322
5,453,5,5,1,0.322
5,459,5,5,3,0.681
5,459,5,5,3,0.681
5,459,5,5,3,0.681
5,460,5,5,2,0.756
5,460,5,5,2,0.756
5,460,5,5,2,0.756
5,474,5,5,5,1.47
5,474,5,5,5,1.47
5,474,5,5,5,1.47
5,494,5,5,1,0.331
5,494,5,5,1,0.331
5,494,5,5,1,0.331
6,4,5,5,1,0.254
6,29,5,5,1,0.273
6,206,5,5,1,0.472
7,11,5,5,1,0.886
7,20,5,5,1,0.713
8,11,5,5,1,0.734
9,14,5,5,2,0.51
9,22,5,5,2,0.413
10,28,5,5,1,0.443
10,367,5,5,1,0.102
10,656,5,5,1,0.139
11,7,5,5,1,0.886
11,8,5,5,1,0.734
12,24,5,5,1,0.277
12,537,5,5,1,0.279
13,3,5,5,1,0.502
13,15,5,5,1,0.562
14,1,5,5,2,0.618
14,9,5,5,1,0.51
14,18,5,5,1,0.277
14,22,5,5,2,0.923
14,26,5,5,1,0.302
15,13,5,5,1,0.562
15,516,5,5,1,0.177
16,19,5,5,1,0.304
16,127,5,5,1,0.545
17,21,5,5,1,0.445
17,25,5,5,1,0.517
18,1,5,5,1,0.341
18,14,5,5,1,0.277
18,601,5,5,1,0.312
19,4,5,5,1,0.551
19,16,5,5,1,0.304
20,2,5,5,3,1.289
20,24,5,5,1,0.38
20,128,5,5,1,0.158
20,169,5,5,1,0.716
21,17,5,5,1,0.445
21,27,5,5,1,0.463
22,9,5,5,1,0.413
22,168,5,5,1,0.331
23,12,5,5,1,0.312
23,15,5,5,1,0.608
23,431,5,5,1,0.402
24,12,5,5,1,0.277
