nodeid,lat,lon,layer
1,51.37813,-1.07023,5
2,51.37941,-1.07423,5
3,51.4078,-1.04347,5
4,51.4018,-1.06219,5
5,51.26836,-1.08726,5
5,51.26836,-1.08726,2
5,51.26836,-1.08726,4
6,51.40077,-1.06548,5
7,51.38706,-1.07791,5
8,51.38125,-1.0993,5
9,51.37572,-1.06886,5
10,51.35751,-1.14436,5
11,51.38338,-1.08927,5
12,51.39551,-1.06405,5
13,51.40416,-1.04778,5
14,51.37662,-1.06164,5
15,51.40056,-1.05349,5
16,51.40753,-1.05395,5
17,51.41281,-1.0347,5
18,51.37732,-1.06548,5
19,51.40538,-1.05667,5
20,51.39061,-1.06933,5
21,51.41627,-1.03144,5
22,51.37511,-1.07474,5
23,51.39721,-1.06045,5
24,51.39357,-1.06657,5
25,51.41146,-1.04185,5
26,51.37587,-1.05745,5
27,51.42033,-1.02987,5
28,51.35983,-1.14956,5
29,51.39962,-1.06897,5
30,51.23481,-1.12395,5
31,51.23169,-1.13095,5
32,51.23051,-1.12993,5
33,51.23569,-1.12697,5
34,51.2287,-1.13226,5
35,51.22835,-1.13554,5
36,51.26059,-1.08419,5
37,51.35205,-1.1268,5
38,51.34994,-1.12952,5
39,51.35841,-1.1075,5
40,51.35843,-1.11576,5
41,51.3582,-1.1217,5
42,51.3581,-1.12282,5
43,51.35583,-1.12523,5
44,51.3556,-1.12514,5
45,51.3525,-1.12649,5
46,51.27247,-1.09419,5
47,51.27144,-1.09124,5
48,51.27132,-1.08955,5
49,51.27077,-1.08708,5
50,51.27134,-1.08502,5
51,51.27174,-1.08359,5
52,51.25622,-1.10874,5
53,51.23523,-1.13024,5
54,51.28159,-1.07266,5
55,51.27695,-1.06573,5
56,51.27674,-1.06583,5
57,51.27952,-1.06603,5
58,51.27946,-1.06593,5
59,51.28029,-1.07228,5
60,51.23461,-1.11643,5
61,51.23519,-1.12384,5
62,51.23839,-1.13179,5
63,51.23751,-1.13518,5
64,51.23496,-1.13748,5
65,51.23166,-1.13075,5
66,51.23269,-1.12031,5
67,51.23903,-1.11172,5
68,51.27538,-1.0684,5
69,51.35655,-1.17386,5
70,51.30041,-1.11332,5
71,51.30784,-1.11485,5
72,51.29656,-1.11408,5
73,51.29998,-1.11327,5
74,51.29332,-1.11611,5
75,51.29633,-1.11444,5
76,51.29302,-1.11614,5
77,51.31923,-1.02916,5
78,51.31492,-1.03023,5
79,51.31656,-1.03239,5
80,51.315,-1.03022,5
81,51.3087,-1.02766,5
82,51.30818,-1.02819,5
83,51.31252,-1.02444,5
84,51.26907,-1.08131,5
85,51.2689,-1.08131,5
86,51.2748,-1.07644,5
87,51.27438,-1.07657,5
88,51.27121,-1.07892,5
89,51.27083,-1.07933,5
90,51.23296,-1.12116,5
91,51.23472,-1.13994,5
92,51.23293,-1.13795,5
93,51.23287,-1.1344,5
94,51.26508,-1.0813,5
95,51.28397,-1.08651,5
96,51.28443,-1.0838,5
97,51.2843,-1.0838,5
98,51.28161,-1.08149,5
99,51.28026,-1.08328,5
100,51.27921,-1.07965,5
101,51.27938,-1.07738,5
102,51.28172,-1.07575,5
103,51.28308,-1.07699,5
104,51.28273,-1.07628,5
105,51.27186,-1.08923,5
106,51.27659,-1.08294,5
107,51.22731,-1.14171,5
108,51.22635,-1.14217,5
109,51.2286,-1.13249,5
110,51.23059,-1.12981,5
111,51.22969,-1.14274,5
112,51.29458,-1.10983,5
113,51.29684,-1.11303,5
114,51.29466,-1.10983,5
115,51.29415,-1.10644,5
116,51.29441,-1.10632,5
117,51.29338,-1.10707,5
118,51.29686,-1.11331,5
119,51.29196,-1.04702,5
120,51.29246,-1.04667,5
121,51.30223,-1.04159,5
122,51.30254,-1.04154,5
123,51.29782,-1.04283,5
124,51.29712,-1.04307,5
125,51.3053,-1.03716,5
126,51.30562,-1.03582,5
127,51.41122,-1.04876,5
128,51.38958,-1.07091,5
129,51.23604,-1.13139,5
130,51.23524,-1.13043,5
131,51.23575,-1.12669,5
132,51.26368,-1.12179,5
133,51.26335,-1.1227,5
134,51.26087,-1.11366,5
135,51.26089,-1.11293,5
136,51.25811,-1.1119,5
137,51.25633,-1.11293,5
138,51.25422,-1.11373,5
139,51.27952,-1.09538,5
140,51.27941,-1.09752,5
141,51.2809,-1.09015,5
142,51.27981,-1.09206,5
143,51.27951,-1.09447,5
144,51.28313,-1.09098,5
145,51.281,-1.09009,5
146,51.29108,-1.05947,5
147,51.25536,-1.13611,5
148,51.27017,-1.04461,5
149,51.33455,-1.12793,5
150,51.33828,-1.12782,5
151,51.34467,-1.13367,5
152,51.35815,-1.16613,5
153,51.3385,-1.128,5
154,51.34427,-1.13285,5
155,51.34236,-1.13112,5
156,51.34909,-1.13415,5
157,51.24017,-1.13993,5
158,51.24021,-1.13894,5
159,51.24115,-1.13642,5
160,51.2416,-1.13604,5
161,51.24569,-1.13967,5
162,51.24329,-1.14019,5
163,51.24273,-1.14019,5
164,51.24638,-1.13966,5
165,51.29684,-1.05639,5
166,51.26662,-1.09698,5
167,51.37465,-1.07931,5
168,51.37457,-1.07944,5
169,51.3843,-1.07153,5
170,51.2484,-1.09647,5
171,51.22723,-1.14144,5
172,51.22969,-1.14262,5
173,51.31602,-1.11891,5
174,51.30889,-1.11544,5
175,51.33449,-1.12776,5
176,51.32857,-1.12878,5
177,51.32552,-1.12668,5
178,51.32469,-1.12545,5
179,51.32165,-1.12341,5
180,51.32072,-1.12227,5
181,51.31614,-1.11923,5
182,51.25432,-1.10594,5
183,51.25445,-1.10624,5
184,51.25311,-1.10709,5
185,51.25371,-1.10654,5
186,51.25104,-1.11079,5
187,51.2513,-1.1108,5
188,51.25655,-1.10082,5
189,51.25847,-1.09703,5
190,51.25752,-1.0991,5
191,51.31694,-1.02501,5
192,51.31825,-1.0318,5
193,51.22825,-1.13552,5
194,51.24911,-1.13918,5
195,51.25127,-1.1387,5
196,51.25182,-1.1387,5
197,51.25329,-1.13724,5
198,51.25345,-1.13708,5
199,51.25535,-1.13559,5
200,51.25744,-1.13528,5
201,51.25799,-1.13401,5
202,51.25822,-1.11852,5
203,51.23837,-1.13126,5
204,51.3284,-1.1286,5
205,51.28224,-1.11135,5
206,51.39652,-1.06571,5
207,51.25844,-1.10925,5
208,51.25845,-1.10915,5
209,51.25898,-1.11099,5
210,51.26215,-1.10984,5
211,51.26229,-1.10915,5
212,51.26445,-1.03283,5
213,51.26463,-1.03287,5
214,51.26308,-1.0432,5
215,51.26332,-1.04165,5
216,51.26301,-1.04786,5
217,51.26314,-1.0477,5
218,51.26096,-1.13219,5
219,51.26201,-1.13245,5
220,51.26174,-1.12844,5
221,51.26224,-1.13317,5
222,51.25823,-1.13404,5
223,51.26056,-1.13164,5
224,51.2591,-1.13243,5
225,51.26049,-1.12706,5
226,51.26182,-1.12819,5
227,51.24597,-1.21648,5
228,51.24602,-1.21652,5
229,51.24627,-1.1771,5
230,51.24616,-1.17687,5
231,51.2474,-1.21256,5
232,51.24755,-1.21234,5
233,51.29465,-1.05214,5
234,51.32,-1.02915,5
235,51.24561,-1.11297,5
236,51.24526,-1.16813,5
237,51.27648,-1.09521,5
238,51.27632,-1.09546,5
239,51.27678,-1.08238,5
240,51.26832,-1.03765,5
241,51.26837,-1.03705,5
242,51.26913,-1.0408,5
243,51.26909,-1.04089,5
244,51.2703,-1.04472,5
245,51.26927,-1.04644,5
246,51.26757,-1.03458,5
247,51.25013,-1.12786,5
248,51.2554,-1.1326,5
249,51.25221,-1.1369,5
250,51.25642,-1.1312,5
251,51.2511,-1.13272,5
252,51.25008,-1.1279,5
253,51.25215,-1.13644,5
254,51.25119,-1.13325,5
255,51.24672,-1.16819,5
256,51.25076,-1.16901,5
257,51.25064,-1.16884,5
258,51.24356,-1.1704,5
259,51.24351,-1.17043,5
260,51.24441,-1.17315,5
261,51.24274,-1.07828,5
262,51.35772,-1.09857,5
263,51.36659,-1.091,5
264,51.37345,-1.09109,5
265,51.26959,-1.0481,5
266,51.26536,-1.0351,5
267,51.26556,-1.03494,5
268,51.2703,-1.05213,5
269,51.2458,-1.1147,5
270,51.25049,-1.17685,5
271,51.25068,-1.17675,5
272,51.24934,-1.17839,5
273,51.24908,-1.17845,5
274,51.24716,-1.17975,5
275,51.24747,-1.18003,5
276,51.25179,-1.19597,5
