ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,3,2,2,1,1.636
1,3,2,2,1,1.636
1,3,2,2,1,1.636
1,3,2,2,1,1.636
1,3,2,2,1,1.636
1,3,2,2,1,1.636
2,7,2,2,9,8.235
2,7,2,2,9,8.235
2,7,2,2,9,8.235
2,7,2,2,9,8.235
2,7,2,2,9,8.235
2,7,2,2,9,8.235
3,1,2,2,1,1.636
3,1,2,2,1,1.636
3,1,2,2,1,1.636
3,1,2,2,1,1.636
3,1,2,2,1,1.636
3,1,2,2,1,1.636
3,4,2,2,11,8.118
3,4,2,2,11,8.118
3,4,2,2,11,8.118
3,4,2,2,11,8.118
3,4,2,2,11,8.118
3,4,2,2,11,8.118
3,7,2,2,14,11.796
3,7,2,2,14,11.796
3,7,2,2,14,11.796
3,7,2,2,14,11.796
3,7,2,2,14,11.796
3,7,2,2,14,11.796
3,7,2,2,14,11.796
3,7,2,2,14,11.796
3,7,2,2,14,11.796
3,1067,2,2,8,5.544
3,1067,2,2,8,5.544
3,1067,2,2,8,5.544
4,3,2,2,11,8.118
4,3,2,2,11,8.118
4,3,2,2,11,8.118
4,3,2,2,11,8.118
4,3,2,2,11,8.118
4,3,2,2,11,8.118
4,7,2,2,5,3.833
4,7,2,2,5,3.833
4,7,2,2,5,3.833
4,7,2,2,5,3.833
4,7,2,2,5,3.833
4,7,2,2,5,3.833
4,862,2,2,2,2.094
4,862,2,2,2,2.094
4,1067,2,2,4,3.391
4,1067,2,2,4,3.391
5,6,2,2,3,2.184
5,6,2,2,3,2.184
5,6,2,2,3,2.184
5,6,2,2,3,2.184
6,5,2,2,2,2.184
6,5,2,2,2,2.184
6,5,2,2,2,2.184
6,5,2,2,2,2.184
6,7,2,2,4,5.961
6,7,2,2,4,5.961
6,7,2,2,4,5.961
6,7,2,2,4,5.961
6,7,2,2,4,5.961
6,7,2,2,4,5.961
7,2,2,2,9,8.235
7,2,2,2,9,8.235
7,2,2,2,9,8.235
7,2,2,2,9,8.235
7,2,2,2,9,8.235
7,2,2,2,9,8.235
7,3,2,2,17,11.796
7,3,2,2,17,11.796
7,3,2,2,17,11.796
7,3,2,2,17,11.796
7,3,2,2,17,11.796
7,3,2,2,17,11.796
7,3,2,2,17,11.796
7,3,2,2,17,11.796
7,3,2,2,17,11.796
7,4,2,2,5,3.833
7,4,2,2,5,3.833
7,4,2,2,5,3.833
7,4,2,2,5,3.833
7,4,2,2,5,3.833
7,4,2,2,5,3.833
7,6,2,2,6,5.961
7,6,2,2,6,5.961
7,6,2,2,6,5.961
7,6,2,2,6,5.961
7,6,2,2,6,5.961
7,6,2,2,6,5.961
862,4,2,2,3,2.094
862,4,2,2,3,2.094
862,7,2,2,8,5.142
862,7,2,2,8,5.142
862,7,2,2,8,5.142
862,1067,2,2,2,1.39
1067,3,2,2,10,5.544
1067,3,2,2,10,5.544
1067,3,2,2,10,5.544
1067,862,2,2,1,1.39
7,125,4,4,15,7.811
7,125,4,4,15,7.811
7,125,4,4,15,7.811
7,125,4,4,15,7.811
7,125,4,4,15,7.811
7,125,4,4,15,7.811
125,7,4,4,10,7.811
125,7,4,4,10,7.811
125,7,4,4,10,7.811
125,7,4,4,10,7.811
125,7,4,4,10,7.811
125,7,4,4,10,7.811
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,554,5,5,1,0.253
1,554,5,5,1,0.253
1,556,5,5,1,0.461
1,556,5,5,1,0.461
1,611,5,5,1,0.517
1,611,5,5,1,0.517
2,2,5,5,2,0.0
2,2,5,5,2,0.0
2,2,5,5,2,0.0
2,2,5,5,2,0.0
2,343,5,5,2,0.344
2,343,5,5,2,0.344
2,408,5,5,1,1.187
2,408,5,5,1,1.187
2,612,5,5,6,2.955
2,612,5,5,6,2.955
2,1095,5,5,1,0.583
2,1095,5,5,1,0.583
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,29,5,5,1,0.322
3,29,5,5,1,0.322
3,29,5,5,1,0.322
3,32,5,5,1,0.391
3,32,5,5,1,0.391
3,32,5,5,1,0.391
3,58,5,5,5,0.364
3,58,5,5,5,0.364
3,58,5,5,5,0.364
3,59,5,5,2,0.509
3,59,5,5,2,0.509
3,59,5,5,2,0.509
3,60,5,5,1,0.522
3,60,5,5,1,0.522
3,60,5,5,1,0.522
3,284,5,5,1,0.387
3,284,5,5,1,0.387
3,284,5,5,1,0.387
3,314,5,5,15,2.364
3,314,5,5,15,2.364
3,314,5,5,15,2.364
3,320,5,5,1,0.495
3,320,5,5,1,0.495
3,320,5,5,1,0.495
3,500,5,5,4,0.86
3,500,5,5,4,0.86
3,500,5,5,4,0.86
3,532,5,5,1,0.507
3,532,5,5,1,0.507
3,532,5,5,1,0.507
3,624,5,5,1,0.39
3,624,5,5,1,0.39
3,624,5,5,1,0.39
3,672,5,5,1,0.312
3,672,5,5,1,0.312
3,672,5,5,1,0.312
3,673,5,5,2,0.316
3,673,5,5,2,0.316
3,673,5,5,2,0.316
3,747,5,5,2,0.357
3,747,5,5,2,0.357
3,747,5,5,2,0.357
3,762,5,5,2,0.672
3,762,5,5,2,0.672
3,762,5,5,2,0.672
3,782,5,5,2,0.507
