nodeid,lat,lon,layer
1,51.37923,-2.38051,2
1,51.37923,-2.38051,5
2,51.37982,-2.14451,2
2,51.37982,-2.14451,5
3,51.37768,-2.35703,4
3,51.37768,-2.35703,2
3,51.37768,-2.35703,5
4,51.34491,-2.25234,5
4,51.34491,-2.25234,2
5,51.24799,-2.20742,2
5,51.24799,-2.20742,5
6,51.26698,-2.19919,5
6,51.26698,-2.19919,2
7,51.31983,-2.21435,4
7,51.31983,-2.21435,2
7,51.31983,-2.21435,5
8,51.37581,-2.38272,5
9,51.37444,-2.38287,5
10,51.37582,-2.38109,5
11,51.37597,-2.38245,5
12,51.37231,-2.38456,5
13,51.37079,-2.38597,5
14,51.3735,-2.38321,5
15,51.37247,-2.38459,5
16,51.37704,-2.37901,5
17,51.37566,-2.38091,5
18,51.39255,-2.35824,5
19,51.39208,-2.35909,5
20,51.40545,-2.37289,5
21,51.41956,-2.39738,5
22,51.39033,-2.3609,5
23,51.38994,-2.36115,5
24,51.41124,-2.38719,5
25,51.4066,-2.37825,5
26,51.41555,-2.3946,5
27,51.41507,-2.39333,5
28,51.36816,-2.387,5
29,51.37642,-2.35283,5
30,51.38766,-2.36338,5
31,51.37499,-2.33336,5
32,51.38094,-2.35488,5
33,51.39003,-2.36387,5
34,51.32905,-2.17284,5
35,51.39295,-2.19891,5
36,51.31603,-2.22587,5
37,51.31642,-2.22343,5
38,51.31749,-2.21957,5
39,51.31683,-2.22154,5
40,51.33084,-2.20095,5
41,51.25765,-2.18511,5
42,51.38454,-2.14896,5
43,51.38308,-2.14891,5
44,51.34123,-2.10869,5
45,51.37397,-2.36663,5
46,51.27575,-2.20294,5
47,51.29537,-2.20026,5
48,51.27805,-2.19754,5
49,51.28226,-2.20094,5
50,51.27498,-2.20863,5
51,51.27792,-2.19725,5
52,51.3804,-2.38956,5
53,51.38036,-2.38858,5
54,51.40384,-2.30469,5
55,51.39687,-2.36697,5
56,51.37881,-2.13113,5
57,51.38113,-2.35759,5
58,51.38095,-2.35749,5
59,51.38206,-2.35922,5
60,51.38218,-2.35924,5
61,51.38886,-2.15967,5
62,51.38368,-2.15224,5
63,51.38863,-2.15964,5
64,51.3839,-2.15218,5
65,51.37642,-2.14096,5
66,51.37973,-2.14823,5
67,51.37492,-2.14027,5
68,51.3683,-2.38747,5
69,51.36802,-2.3945,5
70,51.36666,-2.39412,5
71,51.36991,-2.39529,5
72,51.37246,-2.39121,5
73,51.37167,-2.39486,5
74,51.36928,-2.39081,5
75,51.37152,-2.39023,5
76,51.39501,-2.35342,5
77,51.39374,-2.3561,5
78,51.39376,-2.35627,5
79,51.39588,-2.35709,5
80,51.39678,-2.35905,5
81,51.39558,-2.35286,5
82,51.39666,-2.35413,5
83,51.39835,-2.36131,5
84,51.34527,-2.1475,5
85,51.35374,-2.14398,5
86,51.36668,-2.38568,5
87,51.31961,-2.22816,5
88,51.31594,-2.22585,5
89,51.31645,-2.22958,5
90,51.32256,-2.22835,5
91,51.32331,-2.22625,5
92,51.3209,-2.23002,5
93,51.32648,-2.21278,5
94,51.25595,-2.19658,5
95,51.25527,-2.19526,5
96,51.26191,-2.19877,5
97,51.3622,-2.38524,5
98,51.31235,-2.21364,5
99,51.24873,-2.19987,5
100,51.25035,-2.19643,5
101,51.24902,-2.19945,5
102,51.25626,-2.19185,5
103,51.25025,-2.19638,5
104,51.26121,-2.19543,5
105,51.25852,-2.19361,5
106,51.39279,-2.40598,5
107,51.38702,-2.39124,5
108,51.38558,-2.38821,5
109,51.38565,-2.38852,5
110,51.39014,-2.39522,5
111,51.38842,-2.39555,5
112,51.38795,-2.3952,5
113,51.38766,-2.39376,5
114,51.39105,-2.39633,5
115,51.39011,-2.39535,5
116,51.34022,-2.30579,5
117,51.33767,-2.31348,5
118,51.33924,-2.30581,5
119,51.36955,-2.13406,5
120,51.36827,-2.1309,5
121,51.36811,-2.13095,5
122,51.3687,-2.12917,5
123,51.37152,-2.13902,5
124,51.37218,-2.13823,5
125,51.37186,-2.13852,4
125,51.37186,-2.13852,5
126,51.37515,-2.13859,5
127,51.37521,-2.13885,5
128,51.39545,-2.34368,5
129,51.39399,-2.34711,5
130,51.3956,-2.34838,5
131,51.39571,-2.35117,5
132,51.39677,-2.35028,5
133,51.39835,-2.3515,5
134,51.39933,-2.35344,5
135,51.39958,-2.35536,5
136,51.3995,-2.35745,5
137,51.3991,-2.35952,5
138,51.39536,-2.34675,5
139,51.39557,-2.34825,5
140,51.31676,-2.22221,5
141,51.33026,-2.20122,5
142,51.31446,-2.2097,5
143,51.32524,-2.21053,5
144,51.32793,-2.20909,5
145,51.32759,-2.21168,5
146,51.31231,-2.20933,5
147,51.36258,-2.34464,5
148,51.365,-2.34609,5
149,51.39319,-2.16648,5
150,51.31958,-2.20799,5
151,51.33354,-2.2577,5
152,51.39022,-2.36941,5
153,51.37706,-2.12326,5
154,51.37913,-2.10952,5
155,51.37621,-2.12919,5
156,51.37616,-2.12955,5
157,51.37696,-2.12484,5
158,51.37675,-2.12526,5
159,51.37145,-2.1533,5
160,51.37555,-2.13455,5
161,51.25634,-2.19774,5
162,51.39813,-2.20878,5
163,51.39195,-2.18883,5
164,51.39387,-2.20125,5
165,51.36869,-2.13863,5
166,51.38302,-2.12655,5
167,51.38296,-2.12647,5
168,51.38433,-2.39002,5
169,51.3842,-2.39055,5
170,51.39103,-2.39649,5
171,51.39157,-2.39915,5
172,51.39176,-2.39914,5
173,51.39294,-2.39862,5
174,51.39315,-2.39818,5
175,51.39461,-2.3963,5
176,51.39452,-2.39629,5
177,51.39531,-2.39308,5
178,51.39553,-2.39283,5
179,51.33801,-2.31999,5
180,51.39126,-2.31898,5
181,51.36055,-2.31328,5
182,51.3602,-2.31362,5
183,51.35785,-2.31545,5
184,51.37951,-2.12545,5
185,51.37598,-2.12425,5
186,51.37649,-2.12464,5
187,51.37459,-2.12518,5
188,51.37391,-2.12818,5
189,51.37156,-2.12988,5
190,51.36877,-2.12897,5
191,51.40169,-2.34716,5
192,51.40071,-2.34883,5
193,51.39897,-2.34794,5
194,51.3974,-2.3454,5
195,51.39773,-2.34504,5
196,51.40101,-2.34412,5
197,51.39516,-2.34606,5
198,51.39619,-2.34219,5
199,51.33893,-2.24002,5
200,51.33984,-2.23842,5
201,51.37386,-2.13705,5
202,51.37379,-2.13693,5
203,51.35327,-2.12524,5
204,51.3044,-2.21093,5
205,51.30393,-2.21077,5
206,51.29994,-2.20866,5
207,51.31119,-2.21036,5
208,51.30867,-2.21239,5
209,51.30589,-2.21209,5
210,51.29996,-2.20852,5
211,51.26045,-2.18343,5
212,51.39203,-2.18877,5
213,51.39258,-2.19461,5
214,51.39248,-2.19451,5
215,51.3928,-2.19886,5
216,51.39049,-2.16212,5
217,51.39035,-2.16187,5
218,51.29543,-2.20249,5
219,51.32501,-2.18396,5
220,51.3283,-2.20333,5
221,51.32836,-2.20356,5
222,51.34201,-2.31201,5
223,51.36065,-2.14697,5
224,51.3426,-2.14911,5
225,51.35378,-2.14418,5
226,51.35721,-2.14392,5
227,51.35998,-2.14337,5
228,51.35721,-2.14376,5
229,51.39202,-2.40448,5
230,51.39086,-2.40172,5
231,51.28224,-2.20108,5
232,51.29045,-2.18851,5
233,51.41166,-2.31599,5
234,51.37836,-2.39145,5
235,51.36693,-2.12835,5
236,51.3657,-2.12714,5
237,51.36692,-2.12872,5
238,51.3597,-2.128,5
239,51.36587,-2.12746,5
240,51.35921,-2.34712,5
241,51.36008,-2.35346,5
242,51.36094,-2.34979,5
243,51.36118,-2.34881,5
244,51.36227,-2.34499,5
245,51.35973,-2.35461,5
246,51.39082,-2.40186,5
247,51.37465,-2.38603,5
248,51.38222,-2.35731,5
249,51.35481,-2.36178,5
250,51.34724,-2.26074,5
251,51.34737,-2.26057,5
252,51.32077,-2.22259,5
253,51.31637,-2.22935,5
254,51.35478,-2.12192,5
255,51.32312,-2.19965,5
256,51.34747,-2.10123,5
257,51.33243,-2.23542,5
258,51.31219,-2.20593,5
259,51.31286,-2.2071,5
260,51.29513,-2.20533,5
261,51.29738,-2.20683,5
262,51.29372,-2.2119,5
263,51.29324,-2.20796,5
264,51.29495,-2.20933,5
265,51.30865,-2.21253,5
266,51.30707,-2.21294,5
267,51.32643,-2.20412,5
268,51.26257,-2.19384,5
269,51.25845,-2.19364,5
270,51.38488,-2.28361,5
271,51.3849,-2.28373,5
272,51.38831,-2.2824,5
273,51.38821,-2.28247,5
274,51.3938,-2.28956,5
275,51.39374,-2.28945,5
276,51.2545,-2.18715,5
277,51.25941,-2.18437,5
278,51.25833,-2.18001,5
279,51.25532,-2.18305,5
280,51.26585,-2.17608,5
281,51.26029,-2.17568,5
282,51.25025,-2.18939,5
283,51.4197,-2.39783,5
284,51.37814,-2.35149,5
285,51.3784,-2.35112,5
286,51.36754,-2.37774,5
287,51.29843,-2.19791,5
288,51.38453,-2.14909,5
289,51.38305,-2.149,5
290,51.36712,-2.13953,5
291,51.36886,-2.13873,5
292,51.36051,-2.14353,5
293,51.36571,-2.14096,5
294,51.36099,-2.14889,5
