ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
52,313,2,2,2,1.262
52,313,2,2,2,1.262
52,313,2,2,2,1.262
52,313,2,2,2,1.262
113,439,2,2,3,1.997
113,439,2,2,3,1.997
113,439,2,2,3,1.997
113,439,2,2,3,1.997
113,628,2,2,5,4.91
113,628,2,2,5,4.91
113,628,2,2,5,4.91
113,628,2,2,5,4.91
255,375,2,2,3,2.859
255,375,2,2,3,2.859
255,375,2,2,3,2.859
255,375,2,2,3,2.859
313,52,2,2,2,1.262
313,52,2,2,2,1.262
313,52,2,2,2,1.262
313,52,2,2,2,1.262
375,255,2,2,4,2.859
375,255,2,2,4,2.859
375,255,2,2,4,2.859
375,255,2,2,4,2.859
439,113,2,2,4,1.997
439,113,2,2,4,1.997
439,113,2,2,4,1.997
439,113,2,2,4,1.997
628,113,2,2,5,4.91
628,113,2,2,5,4.91
628,113,2,2,5,4.91
628,113,2,2,5,4.91
1,8,5,5,1,0.232
1,134,5,5,1,0.191
2,506,5,5,1,0.414
2,795,5,5,1,0.231
2,920,5,5,1,0.223
3,507,5,5,1,0.294
3,664,5,5,1,0.376
4,95,5,5,1,0.532
4,434,5,5,1,0.216
5,171,5,5,1,0.242
5,441,5,5,1,0.484
6,182,5,5,1,0.223
6,309,5,5,1,0.216
6,609,5,5,1,0.28
6,967,5,5,1,0.214
7,330,5,5,1,0.343
7,419,5,5,1,0.263
8,1,5,5,1,0.232
8,927,5,5,1,0.105
9,161,5,5,1,0.245
9,581,5,5,1,0.212
10,46,5,5,1,0.171
10,494,5,5,1,0.297
11,102,5,5,1,0.214
11,103,5,5,1,0.405
11,908,5,5,1,0.057
12,12,5,5,1,0.0
12,104,5,5,1,0.149
12,105,5,5,1,0.297
12,670,5,5,1,0.253
13,28,5,5,1,0.187
13,65,5,5,1,0.196
13,983,5,5,1,0.117
14,148,5,5,1,0.184
14,381,5,5,1,0.399
14,588,5,5,1,0.253
14,833,5,5,1,0.237
15,116,5,5,1,0.265
15,241,5,5,1,0.217
15,461,5,5,1,0.223
16,17,5,5,1,0.226
16,380,5,5,1,0.294
16,543,5,5,1,0.277
16,805,5,5,1,0.14
17,16,5,5,1,0.226
17,509,5,5,1,0.344
18,477,5,5,1,0.308
18,597,5,5,1,0.135
19,604,5,5,1,0.397
19,700,5,5,1,0.501
20,129,5,5,1,0.347
20,672,5,5,1,0.412
21,129,5,5,1,0.348
21,649,5,5,1,0.165
22,151,5,5,1,0.428
22,333,5,5,1,0.359
23,135,5,5,1,0.163
23,170,5,5,1,0.14
23,832,5,5,1,0.088
24,137,5,5,1,0.284
24,475,5,5,1,0.312
24,830,5,5,2,0.194
25,28,5,5,1,0.264
25,420,5,5,1,0.249
26,13,5,5,1,0.349
26,28,5,5,1,0.251
26,195,5,5,1,0.356
27,29,5,5,1,0.171
27,53,5,5,1,0.186
27,284,5,5,1,0.269
27,562,5,5,1,0.153
28,25,5,5,1,0.264
28,26,5,5,1,0.251
28,29,5,5,1,0.306
29,27,5,5,1,0.171
29,980,5,5,1,0.225
30,225,5,5,1,0.196
30,826,5,5,1,0.237
31,690,5,5,1,0.314
31,702,5,5,1,0.448
32,689,5,5,1,0.149
32,690,5,5,1,0.183
33,335,5,5,1,0.375
33,688,5,5,1,0.219
34,244,5,5,1,0.362
34,379,5,5,1,0.319
35,306,5,5,1,0.213
35,934,5,5,1,0.096
35,951,5,5,1,0.351
36,228,5,5,1,0.277
36,996,5,5,1,0.274
37,235,5,5,1,0.184
37,236,5,5,1,0.222
38,438,5,5,1,0.37
38,457,5,5,1,0.201
39,155,5,5,1,0.408
39,457,5,5,1,0.28
40,41,5,5,1,0.259
40,693,5,5,1,0.281
41,40,5,5,1,0.259
41,254,5,5,1,0.402
42,43,5,5,1,0.303
42,473,5,5,1,0.248
43,42,5,5,1,0.303
43,44,5,5,1,0.237
43,748,5,5,1,0.223
44,45,5,5,1,0.372
44,301,5,5,1,0.263
44,320,5,5,1,0.402
44,683,5,5,1,0.344
45,258,5,5,1,0.292
45,748,5,5,2,0.433
46,10,5,5,1,0.171
46,915,5,5,1,0.3
47,48,5,5,1,0.479
47,139,5,5,1,0.355
48,47,5,5,1,0.479
48,600,5,5,1,0.246
49,134,5,5,1,0.264
49,321,5,5,1,0.233
49,565,5,5,1,0.199
50,487,5,5,1,0.266
50,936,5,5,1,0.342
51,278,5,5,1,0.172
51,292,5,5,1,0.127
52,52,5,5,1,0.0
52,52,5,5,1,0.0
52,52,5,5,1,0.0
52,52,5,5,1,0.0
52,126,5,5,1,0.799
52,126,5,5,1,0.799
52,303,5,5,1,0.532
52,303,5,5,1,0.532
52,607,5,5,1,0.704
52,607,5,5,1,0.704
52,645,5,5,1,0.499
52,645,5,5,1,0.499
52,648,5,5,1,0.57
52,648,5,5,1,0.57
53,27,5,5,2,0.186
53,675,5,5,1,0.277
54,435,5,5,1,0.256
54,764,5,5,1,0.116
55,81,5,5,1,0.172
55,538,5,5,1,0.927
56,176,5,5,1,0.239
56,218,5,5,1,0.224
57,218,5,5,1,0.366
57,962,5,5,1,0.269
58,497,5,5,1,0.329
58,687,5,5,1,0.379
59,367,5,5,1,0.259
59,369,5,5,1,0.424
59,402,5,5,1,0.304
60,598,5,5,1,0.409
60,769,5,5,1,0.375
61,71,5,5,1,0.291
61,592,5,5,1,0.348
62,332,5,5,1,0.265
62,380,5,5,1,0.292
62,468,5,5,1,0.288
63,23,5,5,1,0.288
63,64,5,5,1,0.32
64,63,5,5,1,0.32
64,831,5,5,1,0.233
65,13,5,5,1,0.196
65,192,5,5,1,0.168
65,632,5,5,1,0.232
66,110,5,5,1,0.398
66,127,5,5,1,0.093
66,349,5,5,1,0.39
66,375,5,5,1,0.93
66,375,5,5,1,0.93
66,554,5,5,1,0.212
66,556,5,5,1,0.234
66,677,5,5,1,0.134
67,341,5,5,1,0.221
67,498,5,5,1,0.353
68,206,5,5,1,0.332
68,274,5,5,1,0.353
69,312,5,5,1,0.269
70,71,5,5,1,0.162
70,772,5,5,1,0.205
71,61,5,5,1,0.291
71,70,5,5,1,0.162
71,807,5,5,2,0.311
72,676,5,5,1,0.252
72,677,5,5,1,0.255
73,679,5,5,1,0.829
74,213,5,5,1,0.278
74,230,5,5,1,0.135
75,76,5,5,1,0.137
75,406,5,5,1,0.299
76,75,5,5,1,0.137
76,301,5,5,1,0.151
77,78,5,5,1,0.714
77,79,5,5,2,1.331
77,399,5,5,1,1.162
77,641,5,5,1,0.517
78,77,5,5,1,0.714
78,79,5,5,3,0.625
78,716,5,5,1,0.548
79,78,5,5,1,0.625
79,231,5,5,1,0.25
80,526,5,5,1,0.303
80,562,5,5,1,0.247
81,55,5,5,1,0.172
81,93,5,5,1,0.197
81,775,5,5,1,0.168
82,93,5,5,1,0.191
82,735,5,5,1,0.296
83,85,5,5,1,0.282
83,333,5,5,1,0.863
84,85,5,5,1,0.293
84,397,5,5,1,0.301
85,83,5,5,1,0.282
85,84,5,5,1,0.293
86,123,5,5,1,0.304
86,124,5,5,1,0.315
87,88,5,5,1,0.189
87,345,5,5,1,0.149
87,390,5,5,1,0.12
88,87,5,5,1,0.189
88,137,5,5,1,0.317
89,686,5,5,1,0.489
90,89,5,5,1,0.101
90,561,5,5,1,0.309
90,686,5,5,1,0.387
91,357,5,5,1,0.449
91,456,5,5,1,0.159
92,303,5,5,1,0.367
92,895,5,5,1,0.189
93,81,5,5,1,0.197
93,82,5,5,1,0.191
94,272,5,5,1,0.06
94,511,5,5,1,0.234
94,659,5,5,1,0.321
95,4,5,5,1,0.532
96,98,5,5,1,0.267
96,324,5,5,1,0.258
96,709,5,5,1,0.217
97,99,5,5,1,0.328
97,119,5,5,1,0.309
98,96,5,5,1,0.267
98,118,5,5,1,0.368
99,97,5,5,1,0.328
99,250,5,5,1,0.284
100,534,5,5,1,0.261
100,696,5,5,1,0.329
101,294,5,5,1,0.498
101,394,5,5,1,0.912
102,11,5,5,1,0.214
102,107,5,5,1,0.151
102,884,5,5,1,0.128
103,11,5,5,1,0.405
103,104,5,5,1,0.213
104,12,5,5,1,0.149
104,103,5,5,1,0.213
104,477,5,5,1,0.402
104,727,5,5,1,0.213
104,876,5,5,1,0.219
104,877,5,5,1,0.201
105,12,5,5,1,0.297
105,541,5,5,1,0.308
106,107,5,5,1,0.25
106,378,5,5,1,0.378
107,102,5,5,1,0.151
107,106,5,5,1,0.25
107,277,5,5,2,0.516
108,669,5,5,1,0.288
108,713,5,5,1,0.093
108,820,5,5,1,0.224
109,338,5,5,1,0.306
109,339,5,5,1,0.366
110,66,5,5,1,0.398
110,127,5,5,1,0.419
110,179,5,5,1,0.291
110,684,5,5,1,0.286
111,606,5,5,1,0.257
111,1023,5,5,1,0.22
112,87,5,5,1,0.336
112,773,5,5,1,0.198
112,827,5,5,1,0.288
113,113,5,5,1,0.0
113,113,5,5,1,0.0
113,113,5,5,1,0.0
113,113,5,5,1,0.0
113,149,5,5,1,0.56
113,149,5,5,1,0.56
113,381,5,5,1,0.566
113,381,5,5,1,0.566
113,814,5,5,1,0.411
113,814,5,5,1,0.411
114,293,5,5,1,0.188
115,469,5,5,1,0.286
115,478,5,5,1,0.165
116,15,5,5,1,0.265
116,975,5,5,1,0.167
117,158,5,5,1,0.187
117,215,5,5,1,0.336
117,730,5,5,1,0.063
118,98,5,5,1,0.368
118,576,5,5,1,0.318
119,409,5,5,1,0.106
119,675,5,5,1,0.115
120,405,5,5,1,0.346
120,560,5,5,1,0.496
121,122,5,5,1,0.446
121,889,5,5,1,0.446
122,121,5,5,1,0.446
122,560,5,5,1,0.334
123,86,5,5,1,0.304
123,705,5,5,1,0.357
124,86,5,5,2,0.315
124,313,5,5,1,0.646
124,313,5,5,1,0.646
125,126,5,5,1,0.194
125,313,5,5,1,0.528
125,313,5,5,1,0.528
126,52,5,5,1,0.799
126,52,5,5,1,0.799
126,125,5,5,1,0.194
127,66,5,5,1,0.093
127,110,5,5,1,0.419
127,147,5,5,1,0.359
127,536,5,5,1,0.337
128,153,5,5,1,0.214
128,384,5,5,1,0.471
129,20,5,5,1,0.347
129,21,5,5,1,0.348
130,131,5,5,1,0.622
130,467,5,5,1,0.268
131,130,5,5,1,0.622
131,822,5,5,1,0.416
132,207,5,5,1,0.262
132,293,5,5,1,0.327
133,134,5,5,1,0.367
133,136,5,5,1,0.249
134,1,5,5,1,0.191
134,133,5,5,1,0.367
134,751,5,5,1,0.376
135,23,5,5,1,0.163
135,49,5,5,1,0.335
136,133,5,5,1,0.249
136,1016,5,5,1,0.169
137,24,5,5,1,0.284
137,88,5,5,1,0.317
137,474,5,5,1,0.239
138,141,5,5,1,0.232
139,47,5,5,1,0.355
139,140,5,5,1,0.208
139,981,5,5,1,0.291
139,1024,5,5,1,0.536
140,139,5,5,1,0.208
140,204,5,5,1,0.347
141,138,5,5,1,0.232
141,540,5,5,1,0.292
142,49,5,5,1,0.328
142,1006,5,5,1,0.141
143,144,5,5,1,0.397
143,146,5,5,1,0.442
143,240,5,5,1,0.1
144,143,5,5,1,0.397
144,234,5,5,1,0.225
144,240,5,5,1,0.345
144,815,5,5,1,0.477
145,146,5,5,2,0.418
145,507,5,5,1,0.342
146,143,5,5,1,0.442
146,145,5,5,1,0.418
147,127,5,5,1,0.359
147,719,5,5,1,0.563
148,14,5,5,1,0.184
148,641,5,5,1,0.473
149,589,5,5,1,0.279
149,595,5,5,1,0.234
150,151,5,5,1,0.412
150,295,5,5,1,0.352
151,22,5,5,1,0.428
151,150,5,5,1,0.412
152,334,5,5,1,0.416
152,682,5,5,1,0.194
153,128,5,5,1,0.214
153,153,5,5,1,0.0
153,291,5,5,1,0.319
154,201,5,5,1,0.351
154,627,5,5,1,0.257
154,650,5,5,1,0.235
154,961,5,5,1,0.272
155,39,5,5,1,0.408
155,467,5,5,1,0.511
156,237,5,5,1,0.283
156,316,5,5,1,0.101
156,318,5,5,2,0.349
157,722,5,5,1,0.482
157,1000,5,5,1,0.364
158,117,5,5,1,0.187
158,580,5,5,1,0.193
158,730,5,5,1,0.145
159,580,5,5,1,0.273
159,731,5,5,1,0.292
160,440,5,5,1,0.27
161,9,5,5,1,0.245
161,800,5,5,1,0.17
162,325,5,5,1,0.159
162,1019,5,5,1,0.397
163,345,5,5,1,0.304
163,916,5,5,1,0.187
164,394,5,5,1,0.333
164,396,5,5,1,0.29
164,439,5,5,1,0.642
164,439,5,5,1,0.642
164,508,5,5,1,0.225
165,166,5,5,1,0.407
165,761,5,5,1,0.393
166,165,5,5,1,0.407
166,620,5,5,1,0.566
167,190,5,5,1,0.258
167,323,5,5,1,0.383
168,169,5,5,1,0.172
168,834,5,5,1,0.149
169,168,5,5,1,0.172
169,248,5,5,1,0.212
170,23,5,5,1,0.14
170,639,5,5,1,0.262
171,5,5,5,1,0.242
171,438,5,5,1,0.216
172,234,5,5,1,0.608
172,441,5,5,1,0.524
173,174,5,5,1,0.232
173,175,5,5,1,0.212
174,173,5,5,1,0.232
174,631,5,5,1,0.22
175,173,5,5,1,0.212
175,618,5,5,1,0.129
176,56,5,5,1,0.239
176,905,5,5,1,0.243
178,280,5,5,1,0.331
178,475,5,5,1,0.246
179,204,5,5,1,0.153
179,527,5,5,1,0.219
