nodeid,lat,lon,layer
1,53.73138,-1.65371,5
2,53.73941,-1.66247,5
3,53.78601,-1.57311,5
4,53.70189,-1.62681,5
5,53.77653,-1.61742,5
6,53.81244,-1.62865,5
7,53.8031,-1.61379,5
8,53.73055,-1.65046,5
9,53.71624,-1.61341,5
10,53.75437,-1.70635,5
11,53.79781,-1.67352,5
12,53.79657,-1.66262,5
13,53.79603,-1.59893,5
14,53.74624,-1.57766,5
15,53.78814,-1.59279,5
16,53.78986,-1.66886,5
17,53.7919,-1.66863,5
18,53.79747,-1.65326,5
19,53.77791,-1.63627,5
20,53.76104,-1.67988,5
21,53.7595,-1.66962,5
22,53.82306,-1.6134,5
23,53.73243,-1.66757,5
24,53.75488,-1.59748,5
25,53.79752,-1.60092,5
26,53.79918,-1.59886,5
27,53.79714,-1.59,5
28,53.79723,-1.59692,5
29,53.79652,-1.5924,5
30,53.79969,-1.71799,5
31,53.74928,-1.68542,5
32,53.75246,-1.69066,5
33,53.75095,-1.69424,5
34,53.81612,-1.64805,5
35,53.70171,-1.63137,5
36,53.7983,-1.71093,5
37,53.78699,-1.7265,5
38,53.77224,-1.62776,5
39,53.77006,-1.63412,5
40,53.77492,-1.56284,5
41,53.77317,-1.56547,5
42,53.74051,-1.60995,5
43,53.73802,-1.61186,5
44,53.73703,-1.60865,5
45,53.73655,-1.60303,5
46,53.7557,-1.70503,5
47,53.78808,-1.62671,5
48,53.78829,-1.63401,5
49,53.7317,-1.66007,5
50,53.74153,-1.59295,5
51,53.80498,-1.69315,5
52,53.81798,-1.59418,5
52,53.81798,-1.59418,2
53,53.79604,-1.59215,5
54,53.74489,-1.62276,5
55,53.73675,-1.64048,5
56,53.80328,-1.62024,5
57,53.80802,-1.62432,5
58,53.80835,-1.65633,5
59,53.83006,-1.60422,5
60,53.78534,-1.60924,5
61,53.78342,-1.71449,5
62,53.79359,-1.67519,5
63,53.73336,-1.67167,5
64,53.73495,-1.67575,5
65,53.79498,-1.60134,5
66,53.7989,-1.62816,5
67,53.72304,-1.66305,5
68,53.75856,-1.70205,5
69,53.76936,-1.7373,5
70,53.78125,-1.70983,5
71,53.7827,-1.71022,5
72,53.8009,-1.62679,5
73,53.84248,-1.56407,5
74,53.76084,-1.56681,5
75,53.73955,-1.60441,5
76,53.73845,-1.60538,5
77,53.74189,-1.57017,5
78,53.7361,-1.57493,5
79,53.73061,-1.57708,5
80,53.79517,-1.58493,5
81,53.73605,-1.64282,5
82,53.73319,-1.64624,5
83,53.82915,-1.62875,5
84,53.83138,-1.63664,5
85,53.83046,-1.63244,5
86,53.80508,-1.57051,5
87,53.75007,-1.60607,5
88,53.75111,-1.60379,5
89,53.82312,-1.66344,5
90,53.82281,-1.66198,5
91,53.81768,-1.64768,5
92,53.8223,-1.60487,5
93,53.73464,-1.64466,5
94,53.81166,-1.60773,5
95,53.69736,-1.62948,5
96,53.80292,-1.5726,5
97,53.79349,-1.59067,5
98,53.8044,-1.57582,5
99,53.79306,-1.58571,5
100,53.82384,-1.56851,5
101,53.77753,-1.58428,5
102,53.79821,-1.67672,5
103,53.79786,-1.66733,5
104,53.79759,-1.6641,5
105,53.79429,-1.66025,5
106,53.79861,-1.68276,5
107,53.79811,-1.67903,5
108,53.7184,-1.63313,5
109,53.82707,-1.56938,5
110,53.79603,-1.6245,5
111,53.79195,-1.61608,5
112,53.74755,-1.60893,5
113,53.74994,-1.59097,2
