ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,6,5,5,1,0.38
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,12,5,5,1,0.254
2,12,5,5,1,0.254
2,12,5,5,1,0.254
2,12,5,5,1,0.254
4,8,5,5,1,0.126
4,8,5,5,1,0.126
5,4,5,5,1,0.199
5,7,5,5,1,0.294
5,7,5,5,1,0.294
6,11,5,5,1,0.269
6,11,5,5,1,0.269
8,10,5,5,1,0.313
8,10,5,5,1,0.313
8,10,5,5,1,0.313
8,10,5,5,1,0.313
9,13,5,5,1,0.302
9,13,5,5,1,0.302
9,13,5,5,1,0.302
9,13,5,5,1,0.302
13,5,5,5,1,0.183
13,5,5,5,1,0.183
14,2,5,5,1,0.378
14,2,5,5,1,0.378
14,2,5,5,1,0.378
14,2,5,5,1,0.378
15,5,5,5,1,0.381
15,5,5,5,1,0.381
2,2,5,2,4,0.262
2,2,5,2,4,0.262
2,2,5,2,4,0.262
2,2,5,2,4,0.262
2,2,2,5,4,0.262
2,2,2,5,4,0.262
2,2,2,5,4,0.262
2,2,2,5,4,0.262
