ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
21,144,2,2,2,0.679
21,144,2,2,2,0.679
21,144,2,2,2,0.679
21,144,2,2,2,0.679
23,123,2,2,4,3.231
23,123,2,2,4,3.231
23,123,2,2,4,3.231
23,123,2,2,4,3.231
23,123,2,2,4,3.231
23,123,2,2,4,3.231
23,124,2,2,2,1.256
23,124,2,2,2,1.256
23,124,2,2,2,1.256
23,124,2,2,2,1.256
23,171,2,2,1,1.932
23,171,2,2,1,1.932
23,171,2,2,1,1.932
23,171,2,2,1,1.932
23,218,2,2,5,4.452
23,218,2,2,5,4.452
23,218,2,2,5,4.452
23,218,2,2,5,4.452
32,61,2,2,4,3.657
32,61,2,2,4,3.657
32,61,2,2,4,3.657
32,61,2,2,4,3.657
32,117,2,2,3,1.8
32,117,2,2,3,1.8
32,117,2,2,3,1.8
32,117,2,2,3,1.8
32,125,2,2,4,2.348
32,125,2,2,4,2.348
32,125,2,2,4,2.348
32,125,2,2,4,2.348
61,32,2,2,4,3.657
61,32,2,2,4,3.657
61,32,2,2,4,3.657
61,32,2,2,4,3.657
61,78,2,2,2,1.168
61,78,2,2,2,1.168
61,78,2,2,2,1.168
61,78,2,2,2,1.168
61,125,2,2,3,1.626
61,125,2,2,3,1.626
61,125,2,2,3,1.626
61,125,2,2,3,1.626
70,149,2,2,2,1.291
70,149,2,2,2,1.291
70,149,2,2,2,1.291
70,149,2,2,2,1.291
70,218,2,2,2,0.955
70,218,2,2,2,0.955
70,218,2,2,2,0.955
70,218,2,2,2,0.955
73,267,2,2,4,1.84
73,267,2,2,4,1.84
73,267,2,2,4,1.84
73,267,2,2,4,1.84
73,267,2,2,4,1.84
73,267,2,2,4,1.84
73,286,2,2,2,1.278
73,286,2,2,2,1.278
73,286,2,2,2,1.278
73,286,2,2,2,1.278
74,129,2,2,3,2.221
74,129,2,2,3,2.221
74,129,2,2,3,2.221
74,129,2,2,3,2.221
74,171,2,2,4,2.393
74,171,2,2,4,2.393
74,171,2,2,4,2.393
74,171,2,2,4,2.393
78,61,2,2,2,1.168
78,61,2,2,2,1.168
78,61,2,2,2,1.168
78,61,2,2,2,1.168
78,117,2,2,2,0.695
78,117,2,2,2,0.695
78,117,2,2,2,0.695
78,117,2,2,2,0.695
80,123,2,2,3,2.219
80,123,2,2,3,2.219
80,123,2,2,3,2.219
80,123,2,2,3,2.219
80,123,2,2,3,2.219
80,123,2,2,3,2.219
80,123,2,2,3,2.219
80,123,2,2,3,2.219
80,123,2,2,3,2.219
80,125,2,2,4,1.964
80,125,2,2,4,1.964
80,125,2,2,4,1.964
80,125,2,2,4,1.964
80,125,2,2,4,1.964
80,125,2,2,4,1.964
81,144,2,2,3,1.897
81,144,2,2,3,1.897
81,144,2,2,3,1.897
81,144,2,2,3,1.897
81,257,2,2,3,2.183
81,257,2,2,3,2.183
81,257,2,2,3,2.183
81,257,2,2,3,2.183
82,208,2,2,2,0.904
82,208,2,2,2,0.904
82,208,2,2,2,0.904
82,208,2,2,2,0.904
93,208,2,2,2,0.981
93,208,2,2,2,0.981
93,208,2,2,2,0.981
93,208,2,2,2,0.981
93,208,2,2,2,0.981
93,208,2,2,2,0.981
93,267,2,2,2,1.294
93,267,2,2,2,1.294
93,267,2,2,2,1.294
93,267,2,2,2,1.294
93,267,2,2,2,1.294
93,267,2,2,2,1.294
93,267,2,2,2,1.294
93,267,2,2,2,1.294
93,267,2,2,2,1.294
117,32,2,2,3,1.8
117,32,2,2,3,1.8
117,32,2,2,3,1.8
117,32,2,2,3,1.8
117,78,2,2,2,0.695
117,78,2,2,2,0.695
117,78,2,2,2,0.695
117,78,2,2,2,0.695
123,23,2,2,4,3.231
123,23,2,2,4,3.231
123,23,2,2,4,3.231
123,23,2,2,4,3.231
123,23,2,2,4,3.231
