nodeid,lat,lon,layer
1,51.39274,-0.05207,5
2,51.39555,-0.06815,5
3,51.40203,-0.07097,5
4,51.3895,0.01308,5
5,51.40286,-0.0642,5
6,51.3939,0.04522,5
7,51.44326,0.01504,5
8,51.38822,0.01748,5
9,51.36271,0.03907,5
10,51.4423,-0.01,5
11,51.34353,0.03225,5
12,51.4065,-0.06401,5
13,51.38491,-0.00095,5
14,51.40109,-0.00417,5
15,51.43177,-0.04612,5
16,51.40923,0.06442,5
17,51.383,0.0399,5
18,51.36825,0.02474,5
19,51.34305,0.05095,5
20,51.42443,0.00112,5
21,51.40833,0.017,2
21,51.40833,0.017,5
22,51.41018,0.02991,5
23,51.39998,0.01735,5
23,51.39998,0.01735,2
24,51.40492,-0.00536,5
25,51.40087,0.00024,5
26,51.41567,-0.02483,5
27,51.40573,-0.01391,5
28,51.36244,0.05906,5
29,51.38122,-0.04242,5
30,51.38584,0.04284,5
31,51.41682,-0.02734,5
32,51.39702,-0.07522,2
32,51.39702,-0.07522,5
33,51.35241,0.08954,5
34,51.34943,0.08919,5
35,51.42663,-0.06629,5
36,51.43839,0.01739,5
37,51.37483,0.01957,5
38,51.37734,-0.02259,5
39,51.37577,-0.01465,5
40,51.38351,0.01257,5
41,51.429,0.05264,5
42,51.36082,0.08911,5
43,51.44171,0.00415,5
44,51.41982,0.01827,5
45,51.41212,-0.01398,5
46,51.39696,0.02331,5
47,51.44215,-0.00204,5
48,51.43229,-0.03751,5
49,51.43736,-0.00174,5
50,51.42296,-0.06331,5
51,51.40663,0.029,5
52,51.42472,-0.00252,5
53,51.34499,0.04722,5
54,51.43551,0.0199,5
55,51.42582,0.00159,5
56,51.39615,0.02759,5
57,51.3602,0.06483,5
58,51.35635,0.08913,5
59,51.4266,-0.02282,5
60,51.40972,0.03289,5
61,51.42725,-0.05424,2
61,51.42725,-0.05424,5
62,51.3738,0.00147,5
63,51.32827,0.05421,5
64,51.42491,-0.04394,5
65,51.3534,0.0973,5
66,51.42878,-0.04672,5
67,51.41113,-0.05554,5
68,51.43069,-0.06267,5
69,51.37365,0.0758,5
70,51.42458,-0.01594,2
70,51.42458,-0.01594,5
71,51.42593,0.02157,5
72,51.42908,0.03826,5
