ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
84,103,2,2,4,3.82
84,103,2,2,4,3.82
84,103,2,2,4,3.82
84,103,2,2,4,3.82
84,189,2,2,8,8.029
84,189,2,2,8,8.029
84,189,2,2,8,8.029
84,189,2,2,8,8.029
103,84,2,2,2,3.82
103,84,2,2,2,3.82
103,84,2,2,2,3.82
103,84,2,2,2,3.82
103,189,2,2,5,4.209
103,189,2,2,5,4.209
103,189,2,2,5,4.209
103,189,2,2,5,4.209
103,218,2,2,2,1.282
103,218,2,2,2,1.282
103,218,2,2,2,1.282
103,218,2,2,2,1.282
189,103,2,2,4,4.209
189,103,2,2,4,4.209
189,103,2,2,4,4.209
189,103,2,2,4,4.209
189,210,2,2,2,1.969
189,210,2,2,2,1.969
189,210,2,2,2,1.969
189,210,2,2,2,1.969
210,84,2,2,6,6.064
210,84,2,2,6,6.064
210,84,2,2,6,6.064
210,84,2,2,6,6.064
210,189,2,2,3,1.969
210,189,2,2,3,1.969
210,189,2,2,3,1.969
210,189,2,2,3,1.969
210,218,2,2,2,0.961
210,218,2,2,2,0.961
210,218,2,2,2,0.961
210,218,2,2,2,0.961
218,103,2,2,2,1.282
218,103,2,2,2,1.282
218,103,2,2,2,1.282
218,103,2,2,2,1.282
218,210,2,2,2,0.961
218,210,2,2,2,0.961
218,210,2,2,2,0.961
218,210,2,2,2,0.961
28,68,3,3,2,1.324
28,68,3,3,2,1.324
28,68,3,3,2,1.324
28,68,3,3,2,1.324
28,241,3,3,3,2.165
28,241,3,3,3,2.165
28,241,3,3,3,2.165
28,241,3,3,3,2.165
37,102,3,3,2,1.082
37,102,3,3,2,1.082
37,102,3,3,2,1.082
37,102,3,3,2,1.082
37,205,3,3,2,0.865
37,205,3,3,2,0.865
68,28,3,3,2,1.324
68,28,3,3,2,1.324
68,28,3,3,2,1.324
68,28,3,3,2,1.324
90,266,3,3,2,1.436
90,266,3,3,2,1.436
90,266,3,3,2,1.436
90,266,3,3,2,1.436
102,37,3,3,2,1.082
102,37,3,3,2,1.082
102,37,3,3,2,1.082
102,37,3,3,2,1.082
102,241,3,3,2,1.277
102,241,3,3,2,1.277
102,241,3,3,2,1.277
102,241,3,3,2,1.277
164,205,3,3,1,1.158
164,205,3,3,1,1.158
164,276,3,3,2,1.11
164,276,3,3,2,1.11
164,276,3,3,2,1.11
164,276,3,3,2,1.11
205,37,3,3,1,0.865
205,37,3,3,1,0.865
205,164,3,3,1,1.158
205,164,3,3,1,1.158
241,28,3,3,3,2.165
241,28,3,3,3,2.165
241,28,3,3,3,2.165
241,28,3,3,3,2.165
241,102,3,3,2,1.277
241,102,3,3,2,1.277
241,102,3,3,2,1.277
241,102,3,3,2,1.277
266,90,3,3,1,1.436
266,90,3,3,1,1.436
266,90,3,3,1,1.436
266,90,3,3,1,1.436
266,276,3,3,2,1.646
266,276,3,3,2,1.646
266,276,3,3,2,1.646
266,276,3,3,2,1.646
276,164,3,3,1,1.11
276,164,3,3,1,1.11
276,164,3,3,1,1.11
276,164,3,3,1,1.11
276,266,3,3,3,1.646
276,266,3,3,3,1.646
276,266,3,3,3,1.646
276,266,3,3,3,1.646
1,52,5,5,1,0.436
1,448,5,5,1,0.288
2,63,5,5,1,0.332
2,214,5,5,1,0.116
2,279,5,5,1,0.166
3,216,5,5,1,0.249
3,298,5,5,1,0.336
3,403,5,5,1,0.179
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,19,5,5,1,0.351
4,19,5,5,1,0.351
4,84,5,5,1,0.655
4,84,5,5,1,0.655
4,84,5,5,1,0.655
4,84,5,5,1,0.655
4,243,5,5,1,0.398
4,243,5,5,1,0.398
4,297,5,5,1,0.4
4,297,5,5,1,0.4
4,421,5,5,1,0.23
4,421,5,5,1,0.23
5,6,5,5,1,0.485
5,24,5,5,1,0.397
6,5,5,5,1,0.485
6,335,5,5,1,0.462
7,180,5,5,1,0.349
7,269,5,5,2,0.424
8,211,5,5,1,0.313
8,278,5,5,1,0.2
9,61,5,5,1,0.227
9,151,5,5,1,0.364
10,126,5,5,1,0.263
10,195,5,5,1,0.296
10,388,5,5,1,0.258
11,12,5,5,1,0.614
12,11,5,5,1,0.614
12,13,5,5,1,0.4
13,12,5,5,1,0.4
13,241,5,5,1,0.377
13,241,5,5,1,0.377
14,15,5,5,2,0.501
14,241,5,5,2,0.563
14,241,5,5,2,0.563
14,245,5,5,1,0.959
15,14,5,5,1,0.501
15,456,5,5,1,0.094
16,102,5,5,2,0.329
16,102,5,5,2,0.329
16,317,5,5,1,0.261
17,96,5,5,1,0.089
17,266,5,5,1,0.416
17,266,5,5,1,0.416
18,200,5,5,1,0.337
18,294,5,5,1,0.378
19,4,5,5,1,0.351
19,4,5,5,1,0.351
19,84,5,5,1,0.637
19,84,5,5,1,0.637
20,181,5,5,1,0.493
21,70,5,5,1,0.5
21,206,5,5,1,0.238
21,213,5,5,1,0.39
21,270,5,5,1,0.414
22,148,5,5,1,0.422
22,284,5,5,1,0.403
23,26,5,5,1,0.224
23,169,5,5,1,0.172
24,5,5,5,1,0.397
24,405,5,5,1,0.514
25,202,5,5,1,0.877
25,303,5,5,1,0.965
26,23,5,5,1,0.224
27,101,5,5,1,0.289
27,109,5,5,1,0.212
27,288,5,5,1,0.757
27,323,5,5,1,0.432
28,68,5,5,2,1.324
28,68,5,5,2,1.324
28,68,5,5,2,1.324
28,68,5,5,2,1.324
28,115,5,5,1,0.503
28,115,5,5,1,0.503
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,44,5,5,1,1.14
29,44,5,5,1,1.14
29,224,5,5,1,0.285
29,224,5,5,1,0.285
29,241,5,5,6,3.108
29,241,5,5,6,3.108
29,241,5,5,6,3.108
29,241,5,5,6,3.108
29,261,5,5,1,0.333
29,261,5,5,1,0.333
29,319,5,5,1,0.272
29,319,5,5,1,0.272
29,370,5,5,1,0.344
29,370,5,5,1,0.344
30,139,5,5,1,0.276
30,280,5,5,1,0.24
31,117,5,5,1,0.374
31,184,5,5,1,0.441
32,168,5,5,1,0.398
32,202,5,5,1,0.093
32,410,5,5,1,0.39
32,444,5,5,1,0.205
32,471,5,5,1,0.307
33,155,5,5,1,0.282
33,230,5,5,1,0.314
34,170,5,5,1,0.435
34,267,5,5,1,0.274
35,3,5,5,1,0.276
35,208,5,5,1,0.347
35,365,5,5,1,0.443
36,213,5,5,1,0.242
36,284,5,5,1,0.384
37,71,5,5,1,0.32
37,71,5,5,1,0.32
37,126,5,5,1,0.453
37,126,5,5,1,0.453
38,82,5,5,1,0.308
38,140,5,5,1,0.497
38,449,5,5,1,0.271
39,86,5,5,2,0.743
39,442,5,5,2,0.807
40,155,5,5,1,0.398
40,157,5,5,1,0.224
41,67,5,5,1,0.088
41,162,5,5,1,0.263
42,215,5,5,1,0.345
42,229,5,5,1,0.32
43,29,5,5,1,0.42
43,29,5,5,1,0.42
43,424,5,5,1,0.328
44,29,5,5,1,1.14
44,29,5,5,1,1.14
44,161,5,5,4,2.302
45,73,5,5,1,0.549
45,422,5,5,1,0.493
46,127,5,5,1,0.387
46,426,5,5,1,0.584
47,79,5,5,1,0.21
47,129,5,5,1,0.385
48,147,5,5,1,0.283
48,214,5,5,1,0.197
49,99,5,5,1,0.291
49,141,5,5,2,0.431
49,156,5,5,1,0.349
50,142,5,5,1,0.224
50,283,5,5,1,0.25
51,278,5,5,1,0.19
51,385,5,5,1,0.238
52,431,5,5,1,0.216
53,93,5,5,1,0.373
53,214,5,5,1,0.33
54,58,5,5,2,0.365
54,389,5,5,1,0.332
54,423,5,5,1,0.461
55,165,5,5,1,0.406
55,249,5,5,1,0.332
56,100,5,5,1,0.465
56,171,5,5,1,0.303
57,220,5,5,1,0.373
57,235,5,5,1,0.338
58,180,5,5,1,0.605
58,389,5,5,1,0.205
59,19,5,5,1,0.41
59,212,5,5,1,0.317
60,118,5,5,1,0.142
60,210,5,5,1,0.591
60,210,5,5,1,0.591
60,350,5,5,1,0.45
61,9,5,5,1,0.227
61,168,5,5,1,0.341
62,87,5,5,1,0.289
62,172,5,5,1,0.21
63,2,5,5,1,0.332
64,89,5,5,1,0.374
64,368,5,5,1,0.964
64,390,5,5,1,0.269
65,221,5,5,1,0.222
65,230,5,5,1,0.285
66,123,5,5,1,0.292
66,240,5,5,1,0.309
66,373,5,5,1,0.174
67,86,5,5,1,0.328
67,163,5,5,1,0.346
68,28,5,5,1,1.324
68,28,5,5,1,1.324
68,28,5,5,1,1.324
68,28,5,5,1,1.324
68,68,5,5,1,0.0
68,68,5,5,1,0.0
68,68,5,5,1,0.0
68,68,5,5,1,0.0
68,181,5,5,2,0.567
68,181,5,5,2,0.567
68,240,5,5,1,0.698
68,240,5,5,1,0.698
68,340,5,5,1,0.42
68,340,5,5,1,0.42
69,169,5,5,1,0.306
69,253,5,5,1,0.246
70,21,5,5,1,0.5
70,138,5,5,1,0.208
70,270,5,5,1,0.094
71,37,5,5,1,0.32
71,37,5,5,1,0.32
71,151,5,5,1,0.379
72,164,5,5,1,0.587
72,164,5,5,1,0.587
72,272,5,5,1,0.318
73,45,5,5,1,0.549
73,127,5,5,1,0.265
74,141,5,5,1,0.462
74,256,5,5,1,0.274
75,83,5,5,1,0.307
75,369,5,5,1,0.503
76,143,5,5,1,0.369
76,144,5,5,1,0.341
77,82,5,5,1,0.546
77,106,5,5,1,0.444
78,232,5,5,1,0.301
78,329,5,5,1,0.199
79,47,5,5,1,0.21
79,84,5,5,1,0.928
79,84,5,5,1,0.928
80,251,5,5,1,0.336
80,302,5,5,1,0.48
81,102,5,5,1,0.439
81,102,5,5,1,0.439
81,185,5,5,1,0.318
82,77,5,5,1,0.546
82,113,5,5,1,0.394
82,243,5,5,2,0.771
82,415,5,5,1,0.504
83,75,5,5,1,0.307
83,107,5,5,1,0.256
84,4,5,5,1,0.655
84,4,5,5,1,0.655
84,4,5,5,1,0.655
84,4,5,5,1,0.655
84,19,5,5,1,0.637
84,19,5,5,1,0.637
84,84,5,5,1,0.0
84,84,5,5,1,0.0
84,84,5,5,1,0.0
84,84,5,5,1,0.0
84,105,5,5,1,0.625
84,105,5,5,1,0.625
84,152,5,5,1,0.88
84,152,5,5,1,0.88
84,194,5,5,1,0.623
84,194,5,5,1,0.623
84,215,5,5,1,0.632
84,215,5,5,1,0.632
84,253,5,5,1,0.602
84,253,5,5,1,0.602
84,297,5,5,1,0.333
84,297,5,5,1,0.333
84,337,5,5,1,0.688
