nodeid,lat,lon,layer
1,51.55462,0.0594,5
2,51.55089,0.12996,5
3,51.59843,0.15946,5
4,51.58071,0.18239,4
4,51.58071,0.18239,5
5,51.60499,0.07282,5
6,51.60727,0.06682,5
7,51.56338,0.14654,5
8,51.56999,0.05717,5
9,51.59784,0.08468,5
10,51.6062,0.10305,5
11,51.62636,0.06318,5
12,51.62243,0.06945,5
13,51.62132,0.07498,5
14,51.61403,0.06979,5
15,51.61142,0.06386,5
16,51.61219,0.0877,5
17,51.57304,0.06406,5
18,51.58464,0.13574,5
19,51.57944,0.17773,5
20,51.61571,0.03966,5
21,51.56207,0.15658,5
22,51.56553,0.17633,5
23,51.56481,0.17597,5
24,51.60199,0.07597,5
25,51.5872,0.06951,5
26,51.5628,0.17558,5
27,51.56885,0.08383,5
28,51.61721,0.04366,5
28,51.61721,0.04366,3
29,51.64539,0.08379,5
29,51.64539,0.08379,3
30,51.58488,0.16338,5
31,51.55541,0.1084,5
32,51.58951,0.08157,5
33,51.55419,0.11727,5
34,51.59176,0.05769,5
35,51.59929,0.16323,5
36,51.56371,0.16535,5
37,51.60367,0.09349,5
37,51.60367,0.09349,3
38,51.58523,0.17242,5
39,51.6103,0.17825,5
40,51.54869,0.11363,5
41,51.60412,0.17547,5
42,51.57421,0.16922,5
43,51.64913,0.08472,5
44,51.63531,0.08699,5
45,51.61294,0.12067,5
46,51.60547,0.13313,5
47,51.58368,0.19098,5
48,51.55076,0.13128,5
49,51.55371,0.09457,5
50,51.59992,0.03404,5
51,51.57304,0.05436,5
52,51.55295,0.05367,5
53,51.5513,0.12409,5
54,51.57474,0.14093,5
55,51.57994,0.10331,5
56,51.60506,0.15553,5
57,51.56173,0.1312,5
58,51.57156,0.14231,5
59,51.57879,0.17188,5
60,51.55957,0.09242,5
61,51.5958,0.0844,5
62,51.6032,0.16546,5
63,51.54848,0.1271,5
64,51.5944,0.14222,5
65,51.55805,0.12331,5
66,51.60442,0.04763,5
67,51.60334,0.17574,5
68,51.60691,0.03398,5
68,51.60691,0.03398,3
69,51.56903,0.17527,5
70,51.56132,0.14943,5
71,51.60302,0.08896,5
72,51.58122,0.08405,5
73,51.61,0.12708,5
74,51.54877,0.08491,5
75,51.61119,0.11392,5
76,51.61232,0.10792,5
77,51.59266,0.17453,5
78,51.55113,0.14741,5
79,51.58251,0.18858,5
80,51.549,0.07548,5
81,51.61065,0.0967,5
82,51.588,0.172,5
83,51.61381,0.11537,5
84,51.57483,0.18325,5
84,51.57483,0.18325,2
85,51.56842,0.11887,5
86,51.60375,0.18046,5
87,51.60072,0.16417,5
88,51.59051,0.04947,5
89,51.59587,0.14711,5
90,51.57625,0.04537,5
90,51.57625,0.04537,3
91,51.56171,0.12377,5
92,51.55884,0.13014,5
93,51.55126,0.11868,5
94,51.55156,0.08573,5
95,51.57655,0.06031,5
96,51.5724,0.06485,5
97,51.55572,0.12861,5
98,51.58897,0.16123,5
99,51.55633,0.09429,5
100,51.60118,0.15298,5
101,51.57145,0.08351,5
102,51.61338,0.09208,5
102,51.61338,0.09208,3
103,51.56804,0.12897,2
103,51.56804,0.12897,5
104,51.54429,0.09498,5
105,51.56952,0.18021,5
106,51.59665,0.17511,5
107,51.61583,0.11719,5
108,51.59136,0.06824,5
109,51.56694,0.08391,5
110,51.5856,0.11956,5
111,51.60954,0.11407,5
112,51.58662,0.12529,5
113,51.58987,0.16714,5
114,51.63993,0.06525,5
115,51.62134,0.04667,5
116,51.62422,0.0473,5
117,51.55873,0.10936,5
118,51.55852,0.09361,5
119,51.59236,0.04293,5
120,51.54388,0.05495,5
121,51.60913,0.16557,5
122,51.5664,0.06243,5
123,51.60227,0.04517,5
124,51.59104,0.07566,5
125,51.59079,0.14174,5
126,51.60539,0.09946,5
127,51.60818,0.12958,5
128,51.59694,0.06816,5
129,51.58565,0.19558,5
130,51.54159,0.0547,5
131,51.58164,0.12795,5
132,51.55477,0.15979,5
133,51.59489,0.07815,5
134,51.59521,0.17789,5
135,51.59355,0.18084,5
136,51.54629,0.09478,5
137,51.58104,0.13905,5
138,51.561,0.14645,5
139,51.58251,0.16459,5
140,51.5827,0.16646,5
141,51.55053,0.09098,5
142,51.59793,0.03348,5
143,51.6123,0.10256,5
144,51.60943,0.10962,5
145,51.61153,0.09729,5
146,51.60136,0.17935,5
147,51.54876,0.13384,5
148,51.56569,0.18245,5
149,51.54539,0.09263,5
150,51.57627,0.05286,5
151,51.60112,0.08439,5
152,51.57749,0.19527,5
153,51.58466,0.0553,5
154,51.54648,0.0932,5
155,51.55222,0.11467,5
156,51.5508,0.09265,5
