ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
95,99,2,2,3,2.344
95,99,2,2,3,2.344
95,99,2,2,3,2.344
95,99,2,2,3,2.344
97,121,2,2,2,1.955
97,121,2,2,2,1.955
97,121,2,2,2,1.955
97,121,2,2,2,1.955
97,277,2,2,3,2.138
97,277,2,2,3,2.138
97,277,2,2,3,2.138
97,277,2,2,3,2.138
99,95,2,2,3,2.344
99,95,2,2,3,2.344
99,95,2,2,3,2.344
99,95,2,2,3,2.344
121,97,2,2,2,1.955
121,97,2,2,2,1.955
121,97,2,2,2,1.955
121,97,2,2,2,1.955
128,216,2,2,2,1.67
128,216,2,2,2,1.67
128,216,2,2,2,1.67
128,216,2,2,2,1.67
129,192,2,2,2,1.799
129,192,2,2,2,1.799
129,192,2,2,2,1.799
129,192,2,2,2,1.799
129,216,2,2,3,2.221
129,216,2,2,3,2.221
129,216,2,2,3,2.221
129,216,2,2,3,2.221
192,129,2,2,2,1.799
192,129,2,2,2,1.799
192,129,2,2,2,1.799
192,129,2,2,2,1.799
216,128,2,2,2,1.67
216,128,2,2,2,1.67
216,128,2,2,2,1.67
216,128,2,2,2,1.67
216,129,2,2,1,2.221
216,129,2,2,1,2.221
216,129,2,2,1,2.221
216,129,2,2,1,2.221
222,245,2,2,2,1.529
222,245,2,2,2,1.529
222,245,2,2,2,1.529
222,245,2,2,2,1.529
222,294,2,2,3,2.348
222,294,2,2,3,2.348
222,294,2,2,3,2.348
222,294,2,2,3,2.348
245,222,2,2,2,1.529
245,222,2,2,2,1.529
245,222,2,2,2,1.529
245,222,2,2,2,1.529
245,266,2,2,2,1.622
245,266,2,2,2,1.622
245,266,2,2,2,1.622
245,266,2,2,2,1.622
258,277,2,2,2,2.571
258,277,2,2,2,2.571
258,277,2,2,2,2.571
258,277,2,2,2,2.571
266,245,2,2,2,1.622
266,245,2,2,2,1.622
266,245,2,2,2,1.622
266,245,2,2,2,1.622
277,97,2,2,2,2.138
277,97,2,2,2,2.138
277,97,2,2,2,2.138
