nodeid,lat,lon,layer
1,51.47339,0.09551,5
2,51.36106,0.10894,5
3,51.49369,0.10806,5
4,51.47387,0.14509,5
5,51.42595,0.13515,5
6,51.36397,0.09241,5
7,51.48659,0.17099,5
8,51.36249,0.1004,5
9,51.45079,0.0612,5
10,51.45557,0.15136,5
11,51.4599,0.15303,5
12,51.39248,0.1146,5
13,51.48626,0.07849,5
14,51.44787,0.15311,5
15,51.45294,0.13315,5
16,51.38938,0.10379,5
17,51.41652,0.08952,5
18,51.4774,0.146,5
19,51.40912,0.11268,5
20,51.46724,0.11784,5
21,51.48154,0.13153,5
22,51.44607,0.10245,5
23,51.49346,0.11061,5
24,51.40391,0.08981,5
25,51.36842,0.09737,5
26,51.4779,0.16286,5
27,51.36394,0.10716,5
28,51.36625,0.09849,5
29,51.46279,0.08973,5
30,51.40134,0.08852,5
31,51.45891,0.12888,5
32,51.48877,0.10334,5
33,51.39335,0.11931,5
34,51.41137,0.11265,5
35,51.44715,0.12849,5
36,51.47891,0.0934,5
37,51.49018,0.16228,5
38,51.42918,0.11836,5
39,51.46499,0.10937,5
40,51.48191,0.10182,5
41,51.40557,0.09253,5
42,51.42481,0.07253,5
43,51.42115,0.06955,5
44,51.40847,0.09929,5
45,51.37395,0.11574,5
46,51.44405,0.10139,5
47,51.39964,0.09371,5
48,51.48167,0.11607,5
49,51.41811,0.0933,5
50,51.46866,0.06967,5
51,51.36093,0.10415,5
52,51.42465,0.05851,5
53,51.4185,0.11797,5
54,51.47143,0.16487,5
55,51.43129,0.07337,5
56,51.42168,0.06248,5
57,51.41257,0.07513,5
58,51.45157,0.09473,5
59,51.43003,0.06407,5
60,51.48683,0.10139,5
61,51.39074,0.09562,5
62,51.42189,0.11069,5
63,51.38417,0.10937,5
64,51.45481,0.15499,5
65,51.47891,0.15909,5
66,51.49033,0.1366,5
67,51.3869,0.13159,5
68,51.48853,0.16917,5
69,51.40712,0.09615,5
70,51.44517,0.13329,5
71,51.43387,0.11601,5
72,51.46861,0.14284,5
73,51.47366,0.123,5
74,51.46839,0.13416,5
75,51.45981,0.15999,5
76,51.41417,0.11334,5
77,51.45721,0.14742,5
78,51.43035,0.05759,5
79,51.37522,0.10047,5
80,51.44463,0.13543,5
81,51.38295,0.08725,5
82,51.4672,0.07889,5
83,51.39117,0.12079,5
84,51.37698,0.12058,5
85,51.44326,0.14033,5
86,51.48505,0.1609,5
87,51.49646,0.10839,5
88,51.49534,0.11482,5
89,51.3714,0.09697,5
90,51.39156,0.12252,5
91,51.46033,0.1207,5
92,51.4939,0.13808,5
93,51.38203,0.10699,5
94,51.44147,0.09578,5
95,51.35626,0.10908,2
95,51.35626,0.10908,5
96,51.48132,0.12676,5
97,51.49212,0.1523,2
97,51.49212,0.1523,5
98,51.38013,0.12203,5
99,51.3733,0.0891,2
99,51.3733,0.0891,5
100,51.38711,0.11368,5
101,51.46546,0.08923,5
102,51.44565,0.11931,5
103,51.41326,0.07305,5
104,51.39091,0.09262,5
105,51.47868,0.154,5
106,51.4113,0.07015,5
107,51.47093,0.17374,5
108,51.44809,0.12344,5
109,51.42479,0.10631,5
110,51.48418,0.1648,5
111,51.41508,0.08183,5
112,51.49537,0.10498,5
113,51.46681,0.12253,5
114,51.45157,0.06674,5
115,51.36135,0.11237,5
116,51.48956,0.10791,5
117,51.38487,0.08208,5
118,51.45692,0.14824,5
119,51.44989,0.10798,5
120,51.39431,0.09658,5
121,51.48167,0.17507,5
121,51.48167,0.17507,2
122,51.45582,0.14397,5
123,51.47772,0.09362,5
124,51.40563,0.10422,5
125,51.47441,0.16274,5
126,51.47158,0.16952,5
127,51.45301,0.14281,5
128,51.45916,0.07931,2
128,51.45916,0.07931,5
129,51.4635,0.13375,2
129,51.4635,0.13375,5
130,51.48487,0.14831,5
131,51.48351,0.08294,5
132,51.45374,0.06139,5
133,51.41986,0.13268,5
134,51.38351,0.09451,5
135,51.47901,0.14315,5
136,51.39189,0.11549,5
137,51.36291,0.11433,5
138,51.36401,0.111,5
139,51.4326,0.09322,5
140,51.38992,0.10095,5
141,51.47048,0.16047,5
142,51.47259,0.11339,5
143,51.40192,0.11316,5
144,51.43987,0.0885,5
145,51.4564,0.12301,5
146,51.41407,0.13379,5
147,51.40878,0.10429,5
148,51.48498,0.10666,5
149,51.48717,0.11085,5
150,51.48661,0.10736,5
151,51.39362,0.12295,5
152,51.4778,0.10623,5
153,51.45971,0.12382,5
154,51.4474,0.13474,5
155,51.47721,0.13323,5
156,51.43937,0.11842,5
157,51.44559,0.10406,5
158,51.47585,0.12944,5
159,51.38105,0.12507,5
160,51.37762,0.11653,5
161,51.49159,0.12976,5
162,51.42655,0.11178,5
163,51.45064,0.08339,5
164,51.4717,0.13486,5
165,51.43051,0.08332,5
166,51.46589,0.14624,5
167,51.42643,0.10095,5
168,51.44157,0.07922,5
169,51.45674,0.09176,5
170,51.38891,0.11395,5
171,51.42794,0.0924,5
172,51.48074,0.08093,5
173,51.48016,0.08462,5
174,51.48574,0.10079,5
175,51.48686,0.09527,5
176,51.48574,0.10079,5
177,51.49061,0.14,5
178,51.44636,0.06277,5
179,51.45159,0.15269,5
180,51.46454,0.09435,5
181,51.37163,0.108,5
182,51.42901,0.10909,5
183,51.47327,0.13632,5
184,51.46029,0.10365,5
185,51.40601,0.1132,5
186,51.49403,0.13467,5
187,51.38784,0.12297,5
188,51.45477,0.07766,5
189,51.45815,0.09859,5
190,51.47808,0.16395,5
191,51.45774,0.1363,5
192,51.46496,0.15966,2
192,51.46496,0.15966,5
193,51.47256,0.13211,5
194,51.45426,0.15822,5
195,51.44318,0.09817,5
196,51.49468,0.11242,5
197,51.38244,0.10031,5
198,51.4386,0.11883,5
199,51.48614,0.09819,5
200,51.44475,0.15207,5
201,51.44899,0.15664,5
202,51.45701,0.14136,5
203,51.45653,0.14691,5
204,51.44795,0.11879,5
205,51.40887,0.10716,5
206,51.47503,0.14055,5
207,51.42689,0.1058,5
208,51.44608,0.05263,5
209,51.45689,0.09015,5
210,51.48248,0.12622,5
211,51.45015,0.139,5
212,51.4584,0.13241,5
213,51.42025,0.11437,5
214,51.39475,0.10639,2
214,51.39475,0.10639,5
215,51.45125,0.13666,5
216,51.4648,0.1017,5
216,51.4648,0.1017,2
217,51.36794,0.09568,5
218,51.49031,0.1592,4
218,51.49031,0.1592,5
219,51.49302,0.09437,5
220,51.48476,0.10579,5
221,51.37805,0.10982,5
222,51.43387,0.1038,2
222,51.43387,0.1038,5
223,51.47831,0.13723,5
224,51.49304,0.1045,5
225,51.41664,0.129,5
226,51.34426,0.1111,5
227,51.46109,0.11614,5
228,51.37319,0.09756,5
