nodeid,lat,lon,layer
1,53.40915,-3.07857,2
1,53.40915,-3.07857,5
2,53.37319,-3.18377,2
2,53.37319,-3.18377,5
3,53.40445,-3.05754,5
3,53.40445,-3.05754,2
4,53.38327,-3.01642,2
4,53.38327,-3.01642,5
5,53.38833,-3.02083,4
5,53.38833,-3.02083,2
5,53.38833,-3.02083,5
6,53.32973,-3.07371,5
6,53.32973,-3.07371,2
7,53.35767,-3.00364,2
7,53.35767,-3.00364,5
8,53.30303,-3.05373,5
9,53.30063,-3.08838,5
10,53.3282,-3.09767,5
11,53.37267,-3.01083,2
11,53.37267,-3.01083,5
12,53.30147,-3.08498,5
13,53.39742,-3.03911,5
13,53.39742,-3.03911,2
14,53.29435,-3.08231,5
15,53.29852,-3.08612,5
16,53.39338,-3.02268,2
16,53.39338,-3.02268,5
17,53.29603,-3.08375,5
18,53.32186,-2.9869,2
18,53.32186,-2.9869,5
19,53.30433,-3.07885,5
20,53.29334,-3.07699,5
21,53.38651,-3.08416,2
21,53.38651,-3.08416,5
22,53.29305,-3.07969,5
23,53.39471,-3.01369,5
23,53.39471,-3.01369,2
23,53.39471,-3.01369,1
24,53.30567,-3.05385,5
25,53.3056,-3.05576,5
26,53.31195,-3.06437,5
27,53.33995,-2.99391,5
27,53.33995,-2.99391,2
28,53.32992,-2.98948,5
28,53.32992,-2.98948,2
29,53.39791,-3.0231,5
30,53.39782,-3.02447,5
31,53.38005,-3.18564,5
32,53.38961,-3.12386,5
33,53.39591,-3.08496,5
34,53.35668,-3.09748,5
35,53.37226,-3.09489,5
36,53.37256,-3.09526,5
37,53.40393,-3.07912,5
38,53.35093,-3.02192,5
39,53.35121,-3.02232,5
40,53.32602,-3.09363,5
41,53.32612,-3.09352,5
42,53.38789,-3.11444,5
43,53.34704,-2.98453,5
44,53.37601,-3.11434,5
45,53.37608,-3.11488,5
46,53.38551,-3.01392,5
47,53.34676,-3.09851,5
48,53.34656,-3.099,5
49,53.31646,-3.10747,5
50,53.31667,-3.10734,5
51,53.32204,-3.0835,5
52,53.37248,-3.00706,5
53,53.3221,-2.96807,5
54,53.32244,-2.96886,5
55,53.37535,-3.12319,5
56,53.37531,-3.12334,5
57,53.32317,-2.95546,5
58,53.36375,-3.0269,5
59,53.33004,-3.08028,5
60,53.39188,-3.06064,5
61,53.39179,-3.06061,5
62,53.39351,-3.01795,5
63,53.37081,-3.03845,5
64,53.37116,-3.03942,5
65,53.33274,-3.10647,5
66,53.33283,-3.1068,5
67,53.33241,-3.10694,5
68,53.33246,-2.97751,5
69,53.36619,-3.02717,5
70,53.36572,-3.02728,5
71,53.32157,-3.08788,5
72,53.37568,-3.03117,5
73,53.3755,-3.03159,5
74,53.37214,-3.07473,5
75,53.38459,-3.09892,5
76,53.36901,-3.05899,5
77,53.4015,-3.09751,5
78,53.40181,-3.09794,5
79,53.39537,-3.10902,5
80,53.39517,-3.10858,5
81,53.40368,-3.08269,5
82,53.40386,-3.08238,5
83,53.34972,-3.0181,5
84,53.34972,-3.01902,5
85,53.32491,-3.09081,5
86,53.32463,-3.09057,5
87,53.34248,-3.01036,5
88,53.3445,-3.01071,5
89,53.34442,-3.01086,5
90,53.34247,-3.01051,5
91,53.38496,-3.02242,5
92,53.38497,-3.02216,5
93,53.37502,-3.11188,5
94,53.37517,-3.11194,5
95,53.3313,-3.06187,5
96,53.3301,-3.09782,5
97,53.33069,-3.09763,5
98,53.37354,-3.08495,5
99,53.33024,-3.09353,5
100,53.33032,-3.09328,5
101,53.35553,-3.10788,5
102,53.37065,-3.02729,5
103,53.37051,-3.02715,5
104,53.37013,-3.02693,5
105,53.32914,-2.97435,5
106,53.32924,-2.97491,5
107,53.32756,-3.05071,5
108,53.32768,-3.05088,5
109,53.31845,-2.97641,5
110,53.34806,-3.07197,5
111,53.34784,-3.07217,5
112,53.36266,-2.99886,5
113,53.37188,-3.15106,5
114,53.34179,-3.10185,5
115,53.34131,-3.10206,5
116,53.32292,-2.98014,5
117,53.33907,-3.01785,5
118,53.37328,-3.03648,5
119,53.37326,-3.03621,5
120,53.33445,-3.10894,5
121,53.36909,-3.05922,5
122,53.36848,-3.02814,5
123,53.32777,-3.10514,5
124,53.34766,-3.02483,5
125,53.34782,-3.02498,5
126,53.40262,-3.08391,5
127,53.38184,-3.08896,5
128,53.38124,-3.08911,5
129,53.37279,-3.05937,5
130,53.32141,-2.97346,5
131,53.32269,-2.97467,5
132,53.36209,-3.1715,5
133,53.33963,-2.97213,5
134,53.33936,-2.97218,5
135,53.32152,-3.00428,5
136,53.3213,-3.00367,5
137,53.3561,-3.10178,5
138,53.35599,-3.10306,5
139,53.374,-3.043,5
140,53.37373,-3.04342,5
141,53.37372,-3.04367,5
142,53.34428,-3.10041,5
