ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,8,2,2,2,1.561
1,8,2,2,2,1.561
1,8,2,2,2,1.561
1,8,2,2,2,1.561
1,1597,2,2,2,1.455
1,1597,2,2,2,1.455
2,33,2,2,2,1.169
2,33,2,2,2,1.169
2,33,2,2,2,1.169
2,33,2,2,2,1.169
2,33,2,2,2,1.169
2,33,2,2,2,1.169
2,33,2,2,2,1.169
2,33,2,2,2,1.169
2,33,2,2,2,1.169
3,14,2,2,2,1.674
3,14,2,2,2,1.674
3,14,2,2,2,1.674
3,14,2,2,2,1.674
3,30,2,2,1,2.369
3,30,2,2,1,2.369
3,30,2,2,1,2.369
3,30,2,2,1,2.369
4,12,2,2,10,10.699
4,12,2,2,10,10.699
4,12,2,2,10,10.699
4,12,2,2,10,10.699
4,14,2,2,4,3.994
4,14,2,2,4,3.994
4,14,2,2,4,3.994
4,14,2,2,4,3.994
5,6,2,2,7,5.747
5,6,2,2,7,5.747
5,6,2,2,7,5.747
5,6,2,2,7,5.747
5,9,2,2,2,1.753
5,9,2,2,2,1.753
5,9,2,2,2,1.753
5,9,2,2,2,1.753
5,20,2,2,3,3.042
5,20,2,2,3,3.042
5,20,2,2,3,3.042
5,20,2,2,3,3.042
6,5,2,2,7,5.747
6,5,2,2,7,5.747
6,5,2,2,7,5.747
6,5,2,2,7,5.747
6,7,2,2,4,1.951
6,7,2,2,4,1.951
6,7,2,2,4,1.951
6,7,2,2,4,1.951
6,11,2,2,5,6.109
6,11,2,2,5,6.109
6,11,2,2,5,6.109
6,11,2,2,5,6.109
6,12,2,2,6,4.127
6,12,2,2,6,4.127
6,12,2,2,6,4.127
6,12,2,2,6,4.127
6,13,2,2,5,3.255
6,13,2,2,5,3.255
6,13,2,2,5,3.255
6,13,2,2,5,3.255
6,15,2,2,4,2.943
6,15,2,2,4,2.943
6,15,2,2,4,2.943
6,15,2,2,4,2.943
6,16,2,2,6,5.541
6,16,2,2,6,5.541
6,16,2,2,6,5.541
6,16,2,2,6,5.541
6,19,2,2,3,1.451
6,19,2,2,3,1.451
6,19,2,2,3,1.451
6,19,2,2,3,1.451
6,19,2,2,3,1.451
6,19,2,2,3,1.451
6,20,2,2,4,2.714
6,20,2,2,4,2.714
6,20,2,2,4,2.714
6,20,2,2,4,2.714
6,22,2,2,8,6.248
6,22,2,2,8,6.248
6,22,2,2,8,6.248
6,22,2,2,8,6.248
6,25,2,2,12,10.702
6,25,2,2,12,10.702
6,25,2,2,12,10.702
6,25,2,2,12,10.702
6,26,2,2,4,4.681
6,26,2,2,4,4.681
6,26,2,2,4,4.681
6,26,2,2,4,4.681
6,27,2,2,2,1.41
6,27,2,2,2,1.41
6,27,2,2,2,1.41
6,27,2,2,2,1.41
6,32,2,2,10,6.683
6,32,2,2,10,6.683
6,32,2,2,10,6.683
6,32,2,2,10,6.683
6,33,2,2,2,0.579
6,33,2,2,2,0.579
6,33,2,2,2,0.579
6,33,2,2,2,0.579
6,33,2,2,2,0.579
6,33,2,2,2,0.579
7,6,2,2,4,1.951
7,6,2,2,4,1.951
7,6,2,2,4,1.951
7,6,2,2,4,1.951
7,13,2,2,2,1.762
7,13,2,2,2,1.762
7,13,2,2,2,1.762
7,13,2,2,2,1.762
8,1,2,2,2,1.561
8,1,2,2,2,1.561
8,1,2,2,2,1.561
8,1,2,2,2,1.561
8,25,2,2,3,1.661
8,25,2,2,3,1.661
8,25,2,2,3,1.661
8,25,2,2,3,1.661
9,5,2,2,2,1.753
9,5,2,2,2,1.753
9,5,2,2,2,1.753
9,5,2,2,2,1.753
11,6,2,2,6,6.109
11,6,2,2,6,6.109
11,6,2,2,6,6.109
11,6,2,2,6,6.109
11,26,2,2,3,1.462
11,26,2,2,3,1.462
11,26,2,2,3,1.462
11,26,2,2,3,1.462
11,27,2,2,5,4.698
11,27,2,2,5,4.698
11,27,2,2,5,4.698
11,27,2,2,5,4.698
12,4,2,2,11,10.699
12,4,2,2,11,10.699
12,4,2,2,11,10.699
12,4,2,2,11,10.699
12,6,2,2,6,4.127
12,6,2,2,6,4.127
12,6,2,2,6,4.127
12,6,2,2,6,4.127
12,19,2,2,3,2.726
12,19,2,2,3,2.726
12,19,2,2,3,2.726
12,19,2,2,3,2.726
12,19,2,2,3,2.726
12,19,2,2,3,2.726
12,29,2,2,1,1.029
12,29,2,2,1,1.029
12,29,2,2,1,1.029
12,29,2,2,1,1.029
13,6,2,2,6,3.255
13,6,2,2,6,3.255
13,6,2,2,6,3.255
13,6,2,2,6,3.255
13,7,2,2,2,1.762
13,7,2,2,2,1.762
13,7,2,2,2,1.762
13,7,2,2,2,1.762
13,17,2,2,2,1.237
13,17,2,2,2,1.237
13,17,2,2,2,1.237
13,17,2,2,2,1.237
13,31,2,2,3,1.771
13,31,2,2,3,1.771
13,31,2,2,3,1.771
13,31,2,2,3,1.771
13,37,2,2,3,2.443
13,37,2,2,3,2.443
13,37,2,2,3,2.443
13,37,2,2,3,2.443
14,3,2,2,2,1.674
14,3,2,2,2,1.674
14,3,2,2,2,1.674
14,3,2,2,2,1.674
14,4,2,2,4,3.994
14,4,2,2,4,3.994
14,4,2,2,4,3.994
14,4,2,2,4,3.994
15,6,2,2,3,2.943
15,6,2,2,3,2.943
15,6,2,2,3,2.943
15,6,2,2,3,2.943
15,26,2,2,2,1.74
15,26,2,2,2,1.74
15,26,2,2,2,1.74
15,26,2,2,2,1.74
15,27,2,2,3,1.534
15,27,2,2,3,1.534
15,27,2,2,3,1.534
15,27,2,2,3,1.534
16,6,2,2,6,5.541
16,6,2,2,6,5.541
16,6,2,2,6,5.541
16,6,2,2,6,5.541
16,18,2,2,2,0.913
16,18,2,2,2,0.913
16,18,2,2,2,0.913
16,18,2,2,2,0.913
16,26,2,2,3,1.193
16,26,2,2,3,1.193
16,26,2,2,3,1.193
16,26,2,2,3,1.193
17,13,2,2,2,1.237
17,13,2,2,2,1.237
17,13,2,2,2,1.237
17,13,2,2,2,1.237
17,37,2,2,2,1.269
17,37,2,2,2,1.269
17,37,2,2,2,1.269
17,37,2,2,2,1.269
18,16,2,2,2,0.913
18,16,2,2,2,0.913
18,16,2,2,2,0.913
18,16,2,2,2,0.913
18,24,2,2,3,1.81
18,24,2,2,3,1.81
18,24,2,2,3,1.81
18,24,2,2,3,1.81
19,6,2,2,3,1.451
19,6,2,2,3,1.451
19,6,2,2,3,1.451
19,6,2,2,3,1.451
19,6,2,2,3,1.451
19,6,2,2,3,1.451
19,12,2,2,3,2.726
19,12,2,2,3,2.726
19,12,2,2,3,2.726
19,12,2,2,3,2.726
19,12,2,2,3,2.726
19,12,2,2,3,2.726
20,5,2,2,3,3.042
20,5,2,2,3,3.042
20,5,2,2,3,3.042
20,5,2,2,3,3.042
20,6,2,2,4,2.714
20,6,2,2,4,2.714
20,6,2,2,4,2.714
20,6,2,2,4,2.714
20,9,2,2,4,4.735
20,9,2,2,4,4.735
20,9,2,2,4,4.735
20,9,2,2,4,4.735
22,37,2,2,2,2.439
22,37,2,2,2,2.439
22,37,2,2,2,2.439
22,37,2,2,2,2.439
24,18,2,2,3,1.81
24,18,2,2,3,1.81
24,18,2,2,3,1.81
24,18,2,2,3,1.81
25,6,2,2,15,10.702
25,6,2,2,15,10.702
25,6,2,2,15,10.702
25,6,2,2,15,10.702
25,8,2,2,3,1.661
25,8,2,2,3,1.661
25,8,2,2,3,1.661
25,8,2,2,3,1.661
25,702,2,2,2,2.18
25,702,2,2,2,2.18
26,6,2,2,4,4.681
26,6,2,2,4,4.681
26,6,2,2,4,4.681
26,6,2,2,4,4.681
26,11,2,2,1,1.462
26,11,2,2,1,1.462
26,11,2,2,1,1.462
26,11,2,2,1,1.462
26,15,2,2,2,1.74
26,15,2,2,2,1.74
26,15,2,2,2,1.74
26,15,2,2,2,1.74
26,16,2,2,3,1.193
26,16,2,2,3,1.193
26,16,2,2,3,1.193
26,16,2,2,3,1.193
27,6,2,2,2,1.41
27,6,2,2,2,1.41
27,6,2,2,2,1.41
27,6,2,2,2,1.41
27,11,2,2,5,4.698
27,11,2,2,5,4.698
27,11,2,2,5,4.698
27,11,2,2,5,4.698
27,26,2,2,4,3.274
27,26,2,2,4,3.274
27,26,2,2,4,3.274
27,26,2,2,4,3.274
29,12,2,2,1,1.029
29,12,2,2,1,1.029
29,12,2,2,1,1.029
29,12,2,2,1,1.029
29,36,2,2,2,1.784
29,36,2,2,2,1.784
29,36,2,2,2,1.784
29,36,2,2,2,1.784
30,3,2,2,2,2.369
30,3,2,2,2,2.369
30,3,2,2,2,2.369
30,3,2,2,2,2.369
30,36,2,2,2,1.462
30,36,2,2,2,1.462
30,36,2,2,2,1.462
30,36,2,2,2,1.462
