nodeid,lat,lon,layer
1,52.59248,-1.83801,5
1,52.59248,-1.83801,2
2,52.48944,-1.91321,2
2,52.48944,-1.91321,5
2,52.48944,-1.91321,3
3,52.4082,-1.96585,2
3,52.4082,-1.96585,5
4,52.36109,-1.99247,2
4,52.36109,-1.99247,5
5,52.48483,-1.81103,2
5,52.48483,-1.81103,5
6,52.47864,-1.89542,5
6,52.47864,-1.89542,2
7,52.48837,-1.87139,2
7,52.48837,-1.87139,5
8,52.57979,-1.82804,2
8,52.57979,-1.82804,5
9,52.48065,-1.78602,2
9,52.48065,-1.78602,5
10,52.4969,-1.93115,5
10,52.4969,-1.93115,3
11,52.44933,-1.81898,5
11,52.44933,-1.81898,2
12,52.45125,-1.93668,5
12,52.45125,-1.93668,2
13,52.50424,-1.87193,2
13,52.50424,-1.87193,5
14,52.39642,-1.98129,2
14,52.39642,-1.98129,5
15,52.46377,-1.85939,2
15,52.46377,-1.85939,5
16,52.44342,-1.83738,2
16,52.44342,-1.83738,5
17,52.51239,-1.88443,5
17,52.51239,-1.88443,2
18,52.43692,-1.84565,5
18,52.43692,-1.84565,2
19,52.4711,-1.91295,4
19,52.4711,-1.91295,2
19,52.4711,-1.91295,5
20,52.48309,-1.85594,5
20,52.48309,-1.85594,2
21,52.47182,-1.96948,4
21,52.47182,-1.96948,5
22,52.53108,-1.92898,2
22,52.53108,-1.92898,5
23,52.50197,-1.95218,5
23,52.50197,-1.95218,3
24,52.42151,-1.85438,2
24,52.42151,-1.85438,5
25,52.56495,-1.82485,2
25,52.56495,-1.82485,5
26,52.45412,-1.83911,5
26,52.45412,-1.83911,2
27,52.47188,-1.87776,5
27,52.47188,-1.87776,2
28,52.49864,-1.93891,5
28,52.49864,-1.93891,3
29,52.44199,-1.93581,2
29,52.44199,-1.93581,5
30,52.4143,-1.93232,5
30,52.4143,-1.93232,2
31,52.51501,-1.85259,5
31,52.51501,-1.85259,2
32,52.52829,-1.8395,2
32,52.52829,-1.8395,5
33,52.48336,-1.89909,5
33,52.48336,-1.89909,2
33,52.48336,-1.89909,3
34,52.47733,-2.03088,5
34,52.47733,-2.03088,2
35,52.53566,-1.83247,2
35,52.53566,-1.83247,5
36,52.42697,-1.92642,2
36,52.42697,-1.92642,5
37,52.5165,-1.90196,2
37,52.5165,-1.90196,5
38,52.48615,-1.93676,5
39,52.48554,-1.93678,5
40,52.51246,-1.83745,5
41,52.56714,-1.80369,5
42,52.41918,-1.97993,5
43,52.52708,-1.80115,5
44,52.52634,-1.80129,5
45,52.56099,-1.79686,5
46,52.56084,-1.79733,5
47,52.52408,-1.78578,5
48,52.51335,-1.92187,5
49,52.51351,-1.92249,5
