ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
2,5,2,2,3,2.463
2,5,2,2,3,2.463
2,5,2,2,3,2.463
2,5,2,2,3,2.463
2,5,2,2,3,2.463
2,5,2,2,3,2.463
2,6,2,2,3,2.304
2,6,2,2,3,2.304
2,6,2,2,3,2.304
2,6,2,2,3,2.304
3,4,2,2,6,5.549
3,4,2,2,6,5.549
3,4,2,2,6,5.549
3,4,2,2,6,5.549
3,4,2,2,6,5.549
3,4,2,2,6,5.549
4,3,2,2,6,5.549
4,3,2,2,6,5.549
4,3,2,2,6,5.549
4,3,2,2,6,5.549
4,3,2,2,6,5.549
4,3,2,2,6,5.549
4,5,2,2,7,9.963
4,5,2,2,7,9.963
4,5,2,2,7,9.963
4,5,2,2,7,9.963
4,5,2,2,7,9.963
4,5,2,2,7,9.963
5,2,2,2,3,2.463
5,2,2,2,3,2.463
5,2,2,2,3,2.463
5,2,2,2,3,2.463
5,2,2,2,3,2.463
5,2,2,2,3,2.463
5,4,2,2,7,9.963
5,4,2,2,7,9.963
5,4,2,2,7,9.963
5,4,2,2,7,9.963
5,4,2,2,7,9.963
5,4,2,2,7,9.963
5,6,2,2,4,4.756
5,6,2,2,4,4.756
5,6,2,2,4,4.756
5,6,2,2,4,4.756
5,6,2,2,4,4.756
5,6,2,2,4,4.756
6,2,2,2,3,2.304
6,2,2,2,3,2.304
6,2,2,2,3,2.304
6,2,2,2,3,2.304
6,5,2,2,5,4.756
6,5,2,2,5,4.756
6,5,2,2,5,4.756
6,5,2,2,5,4.756
6,5,2,2,5,4.756
6,5,2,2,5,4.756
1,3,4,4,10,2.746
1,3,4,4,10,2.746
1,3,4,4,10,2.746
1,3,4,4,10,2.746
1,3,4,4,10,2.746
1,3,4,4,10,2.746
3,1,4,4,5,2.746
3,1,4,4,5,2.746
3,1,4,4,5,2.746
3,1,4,4,5,2.746
3,1,4,4,5,2.746
3,1,4,4,5,2.746
3,5,4,4,15,8.965
3,5,4,4,15,8.965
3,5,4,4,15,8.965
3,5,4,4,15,8.965
3,5,4,4,15,8.965
3,5,4,4,15,8.965
3,5,4,4,15,8.965
3,5,4,4,15,8.965
3,5,4,4,15,8.965
5,3,4,4,15,8.965
5,3,4,4,15,8.965
5,3,4,4,15,8.965
5,3,4,4,15,8.965
5,3,4,4,15,8.965
5,3,4,4,15,8.965
5,3,4,4,15,8.965
5,3,4,4,15,8.965
5,3,4,4,15,8.965
1,281,5,5,2,0.314
1,281,5,5,2,0.314
1,379,5,5,1,0.409
1,379,5,5,1,0.409
1,474,5,5,1,0.329
1,474,5,5,1,0.329
1,515,5,5,1,0.34
1,515,5,5,1,0.34
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,90,5,5,1,0.56
2,90,5,5,1,0.56
2,603,5,5,1,0.529
2,603,5,5,1,0.529
2,607,5,5,1,0.48
2,607,5,5,1,0.48
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
