nodeid,lat,lon,layer
1,50.79404,-0.63888,4
1,50.79404,-0.63888,5
2,50.83904,-0.81509,2
2,50.83904,-0.81509,5
3,50.78655,-0.67618,2
3,50.78655,-0.67618,5
3,50.78655,-0.67618,4
4,50.83089,-0.63968,2
4,50.83089,-0.63968,5
5,50.83204,-0.78175,2
5,50.83204,-0.78175,5
5,50.83204,-0.78175,4
6,50.84273,-0.84744,2
6,50.84273,-0.84744,5
7,50.83706,-0.82642,5
8,50.79379,-0.6519,5
9,50.79357,-0.65204,5
10,50.79668,-0.6513,5
11,50.79527,-0.65164,5
12,50.79776,-0.65411,5
13,50.79804,-0.65237,5
14,50.79481,-0.65355,5
15,50.79632,-0.65416,5
16,50.78324,-0.67335,5
17,50.78356,-0.67287,5
18,50.82019,-0.76874,5
19,50.81868,-0.7685,5
20,50.8442,-0.74827,5
21,50.84398,-0.74782,5
22,50.79749,-0.69047,5
23,50.79741,-0.69066,5
24,50.79344,-0.67793,5
25,50.79479,-0.68201,5
26,50.79455,-0.68133,5
27,50.79527,-0.68541,5
28,50.7961,-0.68774,5
29,50.93047,-0.75698,5
30,50.92082,-0.75659,5
31,50.77086,-0.7449,5
32,50.77079,-0.74432,5
33,50.77588,-0.73924,5
34,50.79061,-0.68458,5
35,50.78187,-0.71887,5
36,50.77857,-0.72059,5
37,50.84151,-0.7722,5
38,50.84608,-0.76383,5
39,50.842,-0.78759,5
40,50.84134,-0.78704,5
41,50.84184,-0.7814,5
42,50.84143,-0.78117,5
43,50.84159,-0.7725,5
44,50.99822,-0.7208,5
45,50.98275,-0.74519,5
46,50.98496,-0.74224,5
47,50.98294,-0.74332,5
48,51.00128,-0.7146,5
49,51.00044,-0.71611,5
50,51.00032,-0.71602,5
51,50.79613,-0.67375,5
52,50.78495,-0.68352,5
53,50.7982,-0.67816,5
54,50.79727,-0.68541,5
55,50.79599,-0.68776,5
56,50.96107,-0.66037,5
57,50.87048,-0.7002,5
58,50.84603,-0.74117,5
59,50.84595,-0.74067,5
60,50.82392,-0.73213,5
61,50.82306,-0.73036,5
62,50.81074,-0.70532,5
63,50.78291,-0.67715,5
64,50.80119,-0.69505,5
65,50.80318,-0.69879,5
66,50.80022,-0.69306,5
67,50.80111,-0.69517,5
68,50.80722,-0.70189,5
69,50.81068,-0.70552,5
70,50.80336,-0.69877,5
71,50.8069,-0.70134,5
72,50.98733,-0.74568,5
73,50.9154,-0.75389,5
74,50.92078,-0.75673,5
75,50.78134,-0.68525,5
76,50.84145,-0.76286,5
77,50.84135,-0.76268,5
78,50.83508,-0.76594,5
79,50.84356,-0.75767,5
80,50.83267,-0.75982,5
81,50.84612,-0.75644,5
82,50.84538,-0.75703,5
83,50.83341,-0.76543,5
84,50.83377,-0.76565,5
85,50.98385,-0.74037,5
86,50.98751,-0.73868,5
87,50.98511,-0.7379,5
88,50.83583,-0.79587,5
89,50.83845,-0.79305,5
90,50.84385,-0.81267,5
91,50.84362,-0.81252,5
92,50.84171,-0.79323,5
93,50.8414,-0.79397,5
94,50.98727,-0.74578,5
95,50.83396,-0.77577,5
96,50.83588,-0.77378,5
97,50.83478,-0.85094,5
98,50.83478,-0.85118,5
99,50.83306,-0.85141,5
100,50.83311,-0.85199,5
101,50.83401,-0.7625,5
102,50.83368,-0.76223,5
103,50.83638,-0.76842,5
104,50.83871,-0.77361,5
105,50.83881,-0.77345,5
106,50.8377,-0.77284,5
107,50.83286,-0.75986,5
108,50.82566,-0.78615,5
109,50.99254,-0.69239,5
110,50.99957,-0.68525,5
111,50.85401,-0.80832,5
112,50.85373,-0.80643,5
113,50.84359,-0.61871,5
114,50.99752,-0.72936,5
115,50.99746,-0.72941,5
116,50.85076,-0.74285,5
117,50.99666,-0.72758,5
118,50.98197,-0.74524,5
119,50.97978,-0.75511,5
120,50.97973,-0.75496,5
121,50.9818,-0.73977,5
122,50.98176,-0.73963,5
123,50.84549,-0.75806,5
124,50.84941,-0.73483,5
125,50.8357,-0.75801,5
126,50.83541,-0.75515,5
127,50.83426,-0.75698,5
128,50.83628,-0.76175,5
129,50.84413,-0.77917,5
130,50.84433,-0.77942,5
131,50.84233,-0.7791,5
132,50.84818,-0.77939,5
133,50.84797,-0.77962,5
134,50.8533,-0.8034,5
135,50.80161,-0.69606,5
136,50.84525,-0.68345,5
137,50.84549,-0.68407,5
138,50.83883,-0.76859,5
139,50.83882,-0.76834,5
140,50.83629,-0.85115,5
141,50.984,-0.66967,5
142,50.97244,-0.6712,5
143,50.9681,-0.67353,5
144,50.98401,-0.66977,5
145,50.97254,-0.67107,5
146,50.83699,-0.76109,5
147,50.83592,-0.76602,5
148,50.83584,-0.76133,5
149,50.83765,-0.76187,5
150,50.84013,-0.76311,5
151,50.83741,-0.75981,5
152,50.83125,-0.766,5
153,50.83106,-0.76627,5
154,50.82907,-0.76696,5
155,50.82859,-0.76688,5
156,50.80098,-0.68311,5
157,50.79903,-0.68841,5
158,50.79963,-0.68946,5
159,50.78816,-0.70635,5
160,50.85539,-0.70223,5
161,50.85063,-0.71609,5
162,50.8494,-0.71757,5
163,50.84816,-0.71694,5
164,51.01156,-0.67807,5
165,51.01618,-0.67982,5
166,50.93218,-0.64213,5
167,50.82798,-0.74163,5
168,50.84636,-0.71535,5
169,50.82721,-0.73969,5
170,50.85316,-0.80342,5
171,50.83339,-0.73742,5
172,50.82499,-0.6207,5
173,50.8292,-0.635,5
174,50.78161,-0.72143,5
175,50.77934,-0.72114,5
176,50.955,-0.67917,5
177,50.95067,-0.67726,5
178,50.95402,-0.69079,5
179,50.96338,-0.67629,5
180,50.96812,-0.6736,5
181,50.86095,-0.73246,5
182,50.86119,-0.73213,5
183,50.85113,-0.78614,5
184,50.85183,-0.78354,5
185,51.02053,-0.68247,5
186,50.93931,-0.63669,5
187,50.93936,-0.63669,5
188,50.93684,-0.63915,5
189,50.93678,-0.639,5
190,50.83801,-0.75139,5
191,50.85554,-0.77605,5
192,50.84793,-0.77718,5
193,50.85079,-0.77655,5
194,50.85274,-0.77498,5
195,50.85458,-0.77118,5
196,50.85301,-0.77231,5
197,50.85573,-0.77416,5
198,50.85728,-0.77212,5
199,50.8014,-0.63455,5
200,50.87562,-0.79017,5
201,50.87194,-0.7868,5
202,50.87149,-0.78661,5
203,50.86774,-0.78315,5
204,50.86836,-0.78257,5
205,50.81489,-0.75113,5
206,50.81428,-0.7459,5
207,50.81412,-0.74605,5
208,50.79932,-0.78669,5
209,50.81478,-0.7575,5
210,50.81061,-0.7374,5
211,50.79829,-0.63536,5
212,50.79533,-0.62972,5
213,50.9578,-0.642,5
214,50.9584,-0.63483,5
215,50.95832,-0.63488,5
216,50.80095,-0.68288,5
217,50.98893,-0.73778,5
218,50.85357,-0.77606,5
219,50.85079,-0.77676,5
220,50.85217,-0.78096,5
221,50.85089,-0.78044,5
222,50.85079,-0.78014,5
223,50.85744,-0.78291,5
224,50.85776,-0.78326,5
225,50.85468,-0.78217,5
226,50.85471,-0.78196,5
227,50.79923,-0.67669,5
228,50.8566,-0.72995,5
229,50.85644,-0.73064,5
230,50.90926,-0.76216,5
231,50.8936,-0.78939,5
232,50.88056,-0.7922,5
233,50.9089,-0.76993,5
234,50.90902,-0.77067,5
235,50.90487,-0.78196,5
236,50.90499,-0.78211,5
237,50.98575,-0.74143,5
238,50.98499,-0.74061,5
239,50.83564,-0.77389,5
240,50.95557,-0.67177,5
241,50.97784,-0.67425,5
242,50.77963,-0.72696,5
243,50.77952,-0.72697,5
244,50.95795,-0.6419,5
245,50.95868,-0.64902,5
246,50.77909,-0.7293,5
247,50.96154,-0.65414,5
248,50.96167,-0.65399,5
249,50.77168,-0.73507,5
250,50.9612,-0.66047,5
251,50.77456,-0.73365,5
252,50.95539,-0.72401,5
253,50.93585,-0.75792,5
254,50.96263,-0.73827,5
255,50.96247,-0.73829,5
256,50.81516,-0.7518,5
257,50.86148,-0.73702,5
258,50.89049,-0.792,5
259,50.89051,-0.79221,5
260,50.7849,-0.67264,5
261,50.78194,-0.67417,5
262,50.78312,-0.67377,5
263,50.78291,-0.67685,5
264,50.85817,-0.61901,5
265,50.85819,-0.61912,5
266,50.78191,-0.71904,5
267,50.7816,-0.72107,5
268,50.77852,-0.72042,5
269,50.78364,-0.718,5
270,50.78365,-0.71767,5
271,50.98419,-0.74749,5
272,50.98203,-0.74979,5
273,50.98191,-0.74967,5
274,50.9861,-0.74664,5
275,50.98961,-0.74837,5
276,51.00045,-0.68189,5
277,50.99003,-0.73701,5
278,50.96563,-0.70338,5
279,50.95247,-0.67661,5
280,50.79626,-0.64643,5
281,50.79463,-0.64326,5
282,50.86812,-0.61998,5
283,50.81566,-0.61165,5
284,50.81337,-0.61398,5
285,50.8182,-0.60945,5
286,50.82957,-0.60805,5
287,50.81833,-0.60912,5
288,50.84315,-0.61425,5
289,50.8296,-0.60782,5
290,50.81331,-0.61386,5
291,50.83465,-0.76559,5
292,50.78651,-0.66602,5
293,50.78406,-0.67554,5
294,50.7963,-0.64628,5
295,50.7872,-0.71008,5
296,50.78748,-0.70948,5
297,50.78667,-0.70821,5
298,50.78561,-0.70893,5
299,50.80992,-0.66912,5
300,50.85421,-0.64379,5
301,50.80278,-0.68198,5
302,50.88429,-0.79688,5
303,50.7797,-0.69403,5
304,50.78068,-0.7032,5
305,50.78069,-0.70409,5
306,50.79034,-0.66999,5
307,50.80164,-0.69643,5
308,50.83867,-0.79357,5
309,50.83981,-0.79578,5
310,50.99625,-0.68832,5
311,50.99714,-0.72512,5
312,50.99553,-0.72954,5
313,50.99569,-0.72962,5
314,50.99468,-0.73086,5
315,50.99484,-0.73084,5
316,50.99761,-0.72934,5
317,50.99074,-0.75053,5
318,50.98942,-0.75034,5
319,50.98969,-0.74769,5
320,50.84454,-0.61941,5
321,50.83584,-0.79337,5
322,50.83297,-0.78886,5
323,50.83081,-0.77035,5
324,50.83076,-0.77097,5
325,50.83022,-0.7676,5
326,50.83009,-0.76782,5
327,50.82883,-0.78345,5
328,50.82976,-0.779,5
329,50.83264,-0.78752,5
330,50.82945,-0.78367,5
331,50.96967,-0.70022,5
332,50.96554,-0.70323,5
333,50.9772,-0.69039,5
334,50.97405,-0.69813,5
335,50.97796,-0.67455,5
336,50.97734,-0.68043,5
337,50.97745,-0.68073,5
338,50.97707,-0.69064,5
339,50.97378,-0.74103,5
340,50.97973,-0.74202,5
341,50.97812,-0.74172,5
342,50.97665,-0.7434,5
343,50.96922,-0.74491,5
344,50.96938,-0.74428,5
345,50.97384,-0.74128,5
346,50.97629,-0.74548,5
347,50.97964,-0.74869,5
348,50.9741,-0.69842,5
349,50.95239,-0.67651,5
350,50.94766,-0.68142,5
351,50.94811,-0.68099,5
352,50.97869,-0.67,5
353,50.98866,-0.67642,5
354,50.98875,-0.6765,5
355,50.978,-0.69626,5
356,50.95118,-0.68943,5
357,50.80559,-0.80628,5
358,50.85117,-0.78597,5
359,50.9634,-0.6764,5
360,50.95494,-0.67942,5
361,50.95058,-0.68259,5
362,50.9507,-0.68248,5
363,50.78179,-0.72871,5
364,50.78115,-0.72656,5
365,50.78731,-0.71187,5
366,50.78753,-0.71202,5
367,50.78719,-0.71417,5
368,50.78726,-0.71428,5
369,50.78545,-0.72772,5
370,50.78416,-0.72706,5
371,50.78318,-0.72802,5
372,50.78898,-0.65518,5
373,50.78763,-0.65585,5
374,50.79023,-0.65403,5
375,50.78901,-0.65481,5
376,50.79447,-0.634,5
377,50.79058,-0.65405,5
378,50.7945,-0.62946,5
379,50.79481,-0.63318,5
380,50.79413,-0.62565,5
381,50.79443,-0.62983,5
382,50.88436,-0.79668,5
383,50.80995,-0.66947,5
384,50.83145,-0.6694,5
385,50.78523,-0.70921,5
386,50.85484,-0.64734,5
387,50.79201,-0.66699,5
388,50.79169,-0.66719,5
389,50.792,-0.66824,5
390,50.7921,-0.66864,5
391,50.79463,-0.66535,5
392,50.79289,-0.66695,5
393,50.79346,-0.67106,5
394,50.81899,-0.66818,5
395,50.81809,-0.66859,5
396,50.78001,-0.69905,5
397,50.77952,-0.72147,5
398,50.84354,-0.76525,5
399,50.82359,-0.78914,5
400,50.84357,-0.76552,5
401,50.83321,-0.77809,5
402,50.83414,-0.63567,5
403,50.83431,-0.6355,5
404,50.8397,-0.65347,5
405,50.83698,-0.64729,5
406,50.83515,-0.64447,5
407,50.83443,-0.64374,5
408,50.84006,-0.77988,5
409,50.83627,-0.78984,5
410,50.83654,-0.78896,5
411,50.836,-0.79344,5
412,50.83835,-0.78427,5
413,50.83903,-0.7835,5
414,50.83639,-0.78462,5
415,50.8365,-0.78429,5
416,50.97617,-0.74536,5
417,50.9767,-0.74385,5
418,50.97968,-0.74162,5
419,50.98099,-0.74697,5
420,50.83868,-0.79324,5
421,50.92768,-0.6404,5
422,50.94694,-0.63463,5
423,50.94631,-0.63445,5
424,50.8984,-0.78645,5
425,50.9507,-0.67756,5
426,50.78016,-0.68995,5
427,50.78685,-0.71582,5
428,50.78539,-0.72229,5
429,50.78631,-0.72106,5
430,50.78309,-0.72464,5
431,50.78256,-0.72579,5
432,50.78419,-0.72244,5
433,50.78316,-0.72296,5
434,50.78619,-0.72112,5
435,50.79943,-0.68278,5
436,50.7989,-0.68606,5
437,50.79905,-0.67899,5
438,50.79933,-0.68277,5
439,50.78696,-0.65931,4
439,50.78696,-0.65931,4
439,50.78696,-0.65931,5
439,50.78696,-0.65931,5
440,50.78663,-0.65705,5
441,50.79879,-0.68663,5
442,50.78713,-0.65955,5
443,50.78673,-0.65704,5
444,50.78776,-0.65603,5
445,50.87574,-0.78998,5
446,50.8658,-0.7832,5
447,50.83675,-0.78184,5
448,50.83665,-0.78092,5
449,50.83663,-0.78074,5
450,50.83671,-0.78035,5
451,50.83659,-0.78046,5
452,50.83524,-0.77962,5
453,50.83484,-0.77946,5
454,50.81069,-0.59195,5
455,50.79072,-0.66812,5
456,50.79413,-0.66443,5
457,50.80236,-0.68426,5
458,50.78081,-0.72805,5
459,50.79187,-0.6702,5
460,50.84816,-0.77703,5
461,50.80378,-0.61694,5
462,50.80716,-0.61665,5
463,50.80361,-0.61728,5
