ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
7,14,1,1,5,0.392
7,14,1,1,5,0.392
7,14,1,1,5,0.392
7,14,1,1,5,0.392
12,193,1,1,15,3.288
12,193,1,1,15,3.288
14,7,1,1,5,0.392
14,7,1,1,5,0.392
14,7,1,1,5,0.392
14,7,1,1,5,0.392
14,193,1,1,15,0.794
14,193,1,1,15,0.794
193,12,1,1,35,3.288
193,12,1,1,35,3.288
193,14,1,1,15,0.794
193,14,1,1,15,0.794
2,3,2,2,6,7.637
2,3,2,2,6,7.637
2,3,2,2,6,7.637
2,3,2,2,6,7.637
2,4,2,2,4,2.613
2,4,2,2,4,2.613
2,4,2,2,4,2.613
2,4,2,2,4,2.613
2,4,2,2,4,2.613
2,4,2,2,4,2.613
2,444,2,2,4,4.387
2,444,2,2,4,4.387
3,2,2,2,6,7.637
3,2,2,2,6,7.637
3,2,2,2,6,7.637
3,2,2,2,6,7.637
3,444,2,2,3,3.338
3,444,2,2,3,3.338
4,2,2,2,4,2.613
4,2,2,2,4,2.613
4,2,2,2,4,2.613
4,2,2,2,4,2.613
4,2,2,2,4,2.613
4,2,2,2,4,2.613
4,17,2,2,4,2.45
4,17,2,2,4,2.45
4,17,2,2,4,2.45
4,17,2,2,4,2.45
4,17,2,2,4,2.45
4,17,2,2,4,2.45
4,18,2,2,9,8.44
4,18,2,2,9,8.44
4,18,2,2,9,8.44
4,18,2,2,9,8.44
4,18,2,2,9,8.44
4,18,2,2,9,8.44
4,18,2,2,9,8.44
4,18,2,2,9,8.44
4,18,2,2,9,8.44
6,11,2,2,2,0.698
6,11,2,2,2,0.698
6,11,2,2,2,0.698
6,11,2,2,2,0.698
8,13,2,2,3,2.958
8,13,2,2,3,2.958
8,13,2,2,3,2.958
8,13,2,2,3,2.958
8,13,2,2,3,2.958
8,13,2,2,3,2.958
8,18,2,2,4,2.757
8,18,2,2,4,2.757
8,18,2,2,4,2.757
8,18,2,2,4,2.757
8,18,2,2,4,2.757
8,18,2,2,4,2.757
10,17,2,2,3,2.15
10,17,2,2,3,2.15
10,17,2,2,3,2.15
10,17,2,2,3,2.15
10,17,2,2,3,2.15
10,17,2,2,3,2.15
10,18,2,2,5,3.883
10,18,2,2,5,3.883
10,18,2,2,5,3.883
10,18,2,2,5,3.883
10,18,2,2,5,3.883
10,18,2,2,5,3.883
10,18,2,2,5,3.883
10,18,2,2,5,3.883
10,18,2,2,5,3.883
11,6,2,2,2,0.698
11,6,2,2,2,0.698
11,6,2,2,2,0.698
11,6,2,2,2,0.698
11,21,2,2,8,6.714
11,21,2,2,8,6.714
11,21,2,2,8,6.714
11,21,2,2,8,6.714
13,8,2,2,3,2.958
13,8,2,2,3,2.958
13,8,2,2,3,2.958
13,8,2,2,3,2.958
13,8,2,2,3,2.958
13,8,2,2,3,2.958
13,16,2,2,6,9.114
13,16,2,2,6,9.114
13,16,2,2,6,9.114
13,16,2,2,6,9.114
13,16,2,2,6,9.114
13,16,2,2,6,9.114
13,16,2,2,6,9.114
13,16,2,2,6,9.114
13,16,2,2,6,9.114
13,382,2,2,5,5.2
13,382,2,2,5,5.2
13,382,2,2,5,5.2
16,13,2,2,7,9.114
16,13,2,2,7,9.114
16,13,2,2,7,9.114
16,13,2,2,7,9.114
16,13,2,2,7,9.114
16,13,2,2,7,9.114
16,13,2,2,7,9.114
16,13,2,2,7,9.114
16,13,2,2,7,9.114
16,18,2,2,10,14.817
16,18,2,2,10,14.817
16,18,2,2,10,14.817
16,18,2,2,10,14.817
16,18,2,2,10,14.817
16,18,2,2,10,14.817
16,18,2,2,10,14.817
16,18,2,2,10,14.817
16,18,2,2,10,14.817
16,21,2,2,7,8.999
16,21,2,2,7,8.999
16,21,2,2,7,8.999
16,21,2,2,7,8.999
16,21,2,2,7,8.999
16,21,2,2,7,8.999
16,382,2,2,4,3.971
16,382,2,2,4,3.971
16,382,2,2,4,3.971
17,4,2,2,3,2.45
17,4,2,2,3,2.45
17,4,2,2,3,2.45
17,4,2,2,3,2.45
17,4,2,2,3,2.45
17,4,2,2,3,2.45
17,10,2,2,3,2.15
17,10,2,2,3,2.15
17,10,2,2,3,2.15
17,10,2,2,3,2.15
17,10,2,2,3,2.15
17,10,2,2,3,2.15
18,4,2,2,9,8.44
18,4,2,2,9,8.44
18,4,2,2,9,8.44
18,4,2,2,9,8.44
18,4,2,2,9,8.44
18,4,2,2,9,8.44
18,4,2,2,9,8.44
18,4,2,2,9,8.44
18,4,2,2,9,8.44
18,8,2,2,3,2.757
18,8,2,2,3,2.757
18,8,2,2,3,2.757
18,8,2,2,3,2.757
18,8,2,2,3,2.757
18,8,2,2,3,2.757
18,10,2,2,5,3.883
18,10,2,2,5,3.883
18,10,2,2,5,3.883
18,10,2,2,5,3.883
18,10,2,2,5,3.883
18,10,2,2,5,3.883
18,10,2,2,5,3.883
18,10,2,2,5,3.883
18,10,2,2,5,3.883
18,16,2,2,11,14.817
18,16,2,2,11,14.817
18,16,2,2,11,14.817
18,16,2,2,11,14.817
18,16,2,2,11,14.817
18,16,2,2,11,14.817
18,16,2,2,11,14.817
18,16,2,2,11,14.817
18,16,2,2,11,14.817
18,21,2,2,13,22.673
18,21,2,2,13,22.673
18,21,2,2,13,22.673
18,21,2,2,13,22.673
18,21,2,2,13,22.673
18,21,2,2,13,22.673
21,11,2,2,8,6.714
21,11,2,2,8,6.714
21,11,2,2,8,6.714
21,11,2,2,8,6.714
21,16,2,2,6,8.999
21,16,2,2,6,8.999
21,16,2,2,6,8.999
21,16,2,2,6,8.999
21,16,2,2,6,8.999
21,16,2,2,6,8.999
21,18,2,2,13,22.673
21,18,2,2,13,22.673
21,18,2,2,13,22.673
21,18,2,2,13,22.673
21,18,2,2,13,22.673
21,18,2,2,13,22.673
382,13,2,2,4,5.2
382,13,2,2,4,5.2
382,13,2,2,4,5.2
382,16,2,2,4,3.971
382,16,2,2,4,3.971
382,16,2,2,4,3.971
444,2,2,2,4,4.387
444,2,2,2,4,4.387
