nodeid,lat,lon,layer
1,50.68649,-2.11013,4
1,50.68649,-2.11013,5
2,50.72518,-2.01937,5
2,50.72518,-2.01937,2
3,50.69287,-2.11526,2
3,50.69287,-2.11526,5
4,50.71941,-1.98333,4
4,50.71941,-1.98333,2
4,50.71941,-1.98333,5
5,50.82217,-1.57182,4
5,50.82217,-1.57182,5
6,50.75732,-1.529,2
6,50.75732,-1.529,1
7,50.67996,-1.95002,5
7,50.67996,-1.95002,1
8,50.73107,-1.82511,5
8,50.73107,-1.82511,2
9,50.74237,-1.69615,4
9,50.74237,-1.69615,5
10,50.72758,-1.9192,4
10,50.72758,-1.9192,2
10,50.72758,-1.9192,5
11,50.7609,-1.53717,2
11,50.7609,-1.53717,5
12,50.71187,-1.98544,5
12,50.71187,-1.98544,1
13,50.7382,-1.78455,4
13,50.7382,-1.78455,2
13,50.7382,-1.78455,5
14,50.6834,-1.94872,5
14,50.6834,-1.94872,1
15,50.75623,-1.55046,4
15,50.75623,-1.55046,5
16,50.75574,-1.65781,4
16,50.75574,-1.65781,2
16,50.75574,-1.65781,5
17,50.7231,-1.94896,5
17,50.7231,-1.94896,2
18,50.72753,-1.86394,4
18,50.72753,-1.86394,2
18,50.72753,-1.86394,5
19,50.74488,-1.58634,4
19,50.74488,-1.58634,5
20,50.72527,-1.59149,4
20,50.72527,-1.59149,5
21,50.81683,-1.57354,5
21,50.81683,-1.57354,2
22,50.72894,-1.9396,4
22,50.72894,-1.9396,5
23,50.72234,-1.89978,4
23,50.72234,-1.89978,5
24,50.7774,-1.8333,0
24,50.7774,-1.8333,5
25,50.75905,-1.91171,5
26,50.7608,-1.91019,5
27,50.76129,-1.91113,5
28,50.75776,-1.91336,5
29,50.7583,-1.91262,5
30,50.76269,-1.91167,5
31,50.75847,-1.9114,5
32,50.76879,-1.91959,5
33,50.76644,-1.92185,5
34,50.76652,-1.92126,5
35,50.76902,-1.91986,5
36,50.74701,-1.86835,5
37,50.76202,-1.9279,5
38,50.71925,-1.78577,5
39,50.71977,-1.7865,5
40,50.72082,-1.78884,5
41,50.73472,-1.7342,5
42,50.74029,-1.89969,5
43,50.71209,-1.97654,5
44,50.75226,-1.6334,5
45,50.80614,-1.9109,5
46,50.80701,-1.90519,5
47,50.80537,-1.91681,5
48,50.80629,-1.91097,5
49,50.80921,-1.88763,5
50,50.80899,-1.88807,5
51,50.80666,-1.90676,5
52,50.80782,-1.89875,5
53,50.80962,-1.8843,5
54,50.80941,-1.88478,5
55,50.74531,-2.01182,5
56,50.74295,-2.0121,5
57,50.74285,-2.01225,5
58,50.72849,-1.93899,5
59,50.73327,-1.85911,5
60,50.73361,-1.85884,5
61,50.73412,-1.85793,5
62,50.7322,-1.86445,5
63,50.73189,-1.86084,5
64,50.73187,-1.86064,5
65,50.71704,-1.95017,5
66,50.7187,-1.95298,5
67,50.72137,-1.95545,5
68,50.71874,-1.95347,5
69,50.71527,-1.95398,5
70,50.71348,-1.95191,5
71,50.71878,-1.95284,5
72,50.71936,-1.95334,5
73,50.72299,-1.9537,5
74,50.72277,-1.95407,5
75,50.73234,-1.80976,5
76,50.74165,-1.73232,5
77,50.71242,-1.99089,5
78,50.71498,-1.98897,5
79,50.71525,-1.98759,5
80,50.71604,-1.98804,5
81,50.73698,-1.82993,5
82,50.73777,-1.83373,5
83,50.73768,-1.83469,5
84,50.73725,-1.83734,5
85,50.7383,-1.82219,5
86,50.73598,-1.82476,5
87,50.73586,-1.82493,5
88,50.73658,-1.82945,5
89,50.73738,-1.83689,5
90,50.73676,-1.84097,5
91,50.76158,-1.87421,5
92,50.75344,-2.07964,5
93,50.74459,-1.68909,5
94,50.72532,-1.91801,5
95,50.72471,-1.91031,5
96,50.72582,-1.91533,5
97,50.72472,-1.91087,5
98,50.71789,-1.97777,5
99,50.71789,-1.97785,5
100,50.71356,-1.99173,5
101,50.79866,-1.47466,5
102,50.7986,-1.47459,5
103,50.79565,-1.47829,5
104,50.79561,-1.47823,5
105,50.79239,-1.4792,5
106,50.79239,-1.47913,5
107,50.78791,-1.47912,5
108,50.7879,-1.47904,5
109,50.78276,-1.47958,5
110,50.78277,-1.47965,5
111,50.80261,-1.89907,5
112,50.73502,-2.08797,5
113,50.73908,-1.87954,5
114,50.74523,-1.87839,5
115,50.74481,-1.87832,5
116,50.74234,-1.87901,5
117,50.74211,-1.87892,5
118,50.73971,-1.87839,5
119,50.73971,-1.87884,5
120,50.70707,-1.90939,5
121,50.70784,-1.90959,5
122,50.71435,-1.9072,5
123,50.7139,-1.90656,5
124,50.71107,-1.90641,5
125,50.71096,-1.90621,5
126,50.70775,-1.90816,5
127,50.70962,-1.90706,5
128,50.7642,-1.90874,5
129,50.76838,-1.90376,5
130,50.76848,-1.90354,5
131,50.76593,-1.90699,5
132,50.76688,-1.90658,5
133,50.76409,-1.91586,5
134,50.7642,-1.91721,5
135,50.76321,-1.91413,5
136,50.76352,-1.91439,5
137,50.72755,-1.61424,5
138,50.73189,-1.62174,5
139,50.72377,-1.60123,5
140,50.72485,-1.60541,5
141,50.72395,-1.5971,5
142,50.72365,-1.60115,5
143,50.72589,-1.61009,5
144,50.7276,-1.61417,5
145,50.72485,-1.60576,5
146,50.72585,-1.60975,5
147,50.72914,-1.94361,5
148,50.71795,-1.97838,5
149,50.74635,-1.94407,5
150,50.72988,-1.9867,5
151,50.74841,-1.98386,5
152,50.7236,-1.7947,5
153,50.72558,-1.79363,5
154,50.7131,-1.97748,5
155,50.76372,-1.98457,5
156,50.71394,-1.98205,5
157,50.86806,-1.8694,5
158,50.86274,-1.87044,5
159,50.85745,-1.88043,5
160,50.8555,-1.88259,5
161,50.85541,-1.88281,5
162,50.8501,-1.88585,5
163,50.86004,-1.87461,5
164,50.86013,-1.87452,5
165,50.8575,-1.88048,5
166,50.80451,-1.95446,5
167,50.79535,-1.97794,5
168,50.80333,-1.98615,5
169,50.81601,-1.57863,5
170,50.7407,-1.87937,5
171,50.73697,-1.88004,5
172,50.80681,-1.95539,5
173,50.72204,-1.79511,5
174,50.72139,-1.79188,5
175,50.72109,-1.78895,5
176,50.72139,-1.79264,5
177,50.74536,-1.59058,5
178,50.74541,-1.59059,5
179,50.75751,-1.63945,5
180,50.75746,-1.63941,5
181,50.74282,-1.64694,5
182,50.74284,-1.64688,5
183,50.76607,-1.6743,5
184,50.7226,-1.86591,5
185,50.73096,-2.02154,5
186,50.72452,-2.03208,5
187,50.72187,-2.0813,5
188,50.73512,-2.02571,5
189,50.72344,-1.96227,5
190,50.72129,-1.9571,5
191,50.72122,-1.95723,5
192,50.74217,-1.99807,5
193,50.68867,-1.95636,1
194,50.71057,-1.94762,5
195,50.71183,-1.94966,5
196,50.68728,-1.94643,5
197,50.68773,-1.94202,5
198,50.69208,-1.93439,5
199,50.73532,-1.97181,5
200,50.71475,-1.90413,5
201,50.71084,-1.89845,5
202,50.74807,-1.85962,5
203,50.74796,-1.85857,5
204,50.8415,-1.57308,5
205,50.82761,-1.57156,5
206,50.84151,-1.57296,5
207,50.71373,-2.00446,5
208,50.71197,-2.00681,5
209,50.71182,-1.99578,5
210,50.71195,-1.99659,5
211,50.71311,-2.00025,5
212,50.71297,-2.01214,5
213,50.71413,-2.01931,5
214,50.73489,-1.85091,5
215,50.75403,-1.85655,5
216,50.74341,-1.86055,5
217,50.75212,-1.85216,5
218,50.73963,-1.85897,5
219,50.73528,-1.85067,5
220,50.72359,-1.90983,5
221,50.72351,-1.90988,5
222,50.72452,-1.91405,5
223,50.72433,-1.91359,5
224,50.72306,-1.92673,5
225,50.7234,-1.92608,5
226,50.72609,-1.92502,5
227,50.72621,-1.9249,5
228,50.72271,-1.93221,5
229,50.72263,-1.93176,5
230,50.8025,-1.47022,5
231,50.80253,-1.47012,5
232,50.80004,-1.47206,5
233,50.80008,-1.47208,5
234,50.80965,-1.4761,5
235,50.80963,-1.47621,5
236,50.80506,-1.47293,5
237,50.81335,-1.47568,5
238,50.81343,-1.47602,5
239,50.82475,-1.88892,5
240,50.73296,-1.78224,5
241,50.74707,-1.86903,5
242,50.74498,-1.86955,5
243,50.74039,-1.8694,5
244,50.73847,-1.86965,5
245,50.74096,-1.86912,5
246,50.7439,-1.86904,5
247,50.74257,-1.86872,5
248,50.74496,-1.86969,5
249,50.74382,-1.869,5
250,50.71631,-1.90824,5
251,50.71657,-1.90835,5
252,50.71762,-1.90927,5
253,50.71888,-1.909,5
254,50.72178,-1.90745,5
255,50.76207,-1.91317,5
256,50.76198,-1.91358,5
257,50.76321,-1.91107,5
258,50.76102,-1.91979,5
259,50.76106,-1.92032,5
260,50.76113,-1.91584,5
261,50.76076,-1.91682,5
262,50.7596,-1.92262,5
263,50.75956,-1.92245,5
264,50.72402,-1.59705,5
265,50.7289,-1.58824,5
266,50.72886,-1.58835,5
267,50.73227,-1.58934,5
268,50.73336,-1.58987,5
269,50.7395,-1.58857,5
270,50.73949,-1.58867,5
271,50.74334,-1.9859,5
272,50.73204,-1.98312,5
273,50.73481,-1.97694,5
274,50.73516,-1.9768,5
275,50.73692,-1.9764,5
276,50.73706,-1.97594,5
277,50.85477,-1.78157,5
278,50.85552,-1.76987,5
279,50.73058,-1.87476,5
280,50.75135,-1.84408,5
281,50.75593,-1.98344,5
282,50.75319,-1.98509,5
283,50.7554,-1.98718,5
284,50.75591,-1.98358,5
285,50.75456,-1.98364,5
286,50.75551,-1.98718,5
287,50.87836,-1.87962,5
288,50.86843,-1.86959,5
289,50.87134,-1.87449,5
290,50.87138,-1.87438,5
291,50.87394,-1.87669,5
292,50.87389,-1.87652,5
293,50.87569,-1.87933,5
294,50.87572,-1.8792,5
295,50.8784,-1.87949,5
296,50.76008,-1.88798,5
297,50.75977,-1.88762,5
298,50.75708,-1.88657,5
299,50.76441,-1.89207,5
300,50.76437,-1.89168,5
301,50.762,-1.88956,5
302,50.76268,-1.89024,5
303,50.76506,-1.89408,5
304,50.76516,-1.89405,5
305,50.76703,-1.89362,5
306,50.74576,-1.82076,5
307,50.78138,-1.88425,5
308,50.82858,-1.83904,5
309,50.71695,-1.97708,5
310,50.74192,-2.0056,5
311,50.74036,-2.00204,5
312,50.74024,-2.00102,5
313,50.74001,-1.99836,5
314,50.74064,-1.99671,5
315,50.74045,-1.99646,5
316,50.74347,-1.99933,5
317,50.74287,-2.00771,5
318,50.74159,-2.00492,5
319,50.73725,-2.02763,5
320,50.73764,-2.02343,5
321,50.73774,-2.02836,5
322,50.73542,-2.02588,5
323,50.84434,-1.80477,5
324,50.78158,-1.51178,5
325,50.73885,-1.9184,5
326,50.71618,-1.98258,5
327,50.7164,-1.98262,5
328,50.74193,-1.81346,5
329,50.74096,-1.8108,5
330,50.74565,-1.82089,5
331,50.74214,-1.81373,5
332,50.73677,-1.85871,5
333,50.73669,-1.85493,5
334,50.73676,-1.86408,5
335,50.7369,-1.86441,5
336,50.73664,-1.85618,5
337,50.73671,-1.85978,5
338,50.75502,-1.97637,5
339,50.75633,-1.97783,5
340,50.75594,-1.97546,5
341,50.7533,-1.97556,5
342,50.75299,-1.97579,5
343,50.75056,-1.97857,5
344,50.71804,-1.97885,5
345,50.71369,-1.95045,5
346,50.71368,-1.95001,5
347,50.71591,-1.94748,5
348,50.71613,-1.94733,5
349,50.71684,-1.94995,5
350,50.71801,-1.97872,5
351,50.7725,-1.525,5
352,50.77256,-1.5251,5
353,50.76779,-1.53289,5
354,50.76779,-1.53299,5
355,50.74104,-1.74406,5
356,50.76137,-1.64128,5
357,50.76142,-1.6412,5
358,50.75284,-1.65793,5
359,50.82159,-1.85309,5
360,50.71899,-1.86068,5
361,50.73286,-1.87222,5
362,50.73246,-1.87326,5
363,50.73418,-1.86966,5
364,50.73407,-1.87007,5
365,50.73535,-1.86733,5
366,50.73522,-1.86783,5
367,50.73614,-1.86576,5
368,50.73641,-1.8655,5
369,50.73854,-1.86394,5
370,50.73739,-1.86422,5
371,50.76863,-1.92511,5
372,50.81396,-1.87028,5
373,50.81915,-1.85749,5
374,50.80941,-1.87851,5
375,50.80942,-1.87804,5
376,50.74656,-1.78998,5
377,50.74428,-1.78723,5
378,50.74648,-1.79015,5
379,50.7426,-1.78582,5
380,50.74424,-1.78737,5
381,50.74668,-1.86501,5
382,50.75263,-1.71413,2
383,50.80845,-1.91873,5
384,50.75507,-1.86026,5
385,50.75643,-1.86321,5
386,50.75657,-1.86513,5
387,50.80399,-1.88609,5
388,50.75633,-2.03703,5
389,50.72234,-1.84095,5
390,50.72202,-1.8418,5
391,50.72015,-1.84325,5
392,50.76072,-1.92691,5
393,50.7769,-1.94476,5
394,50.78136,-1.95506,5
395,50.77504,-1.9388,5
396,50.78148,-1.95584,5
397,50.7659,-1.58603,5
398,50.76379,-1.59008,5
399,50.76591,-1.58597,5
400,50.76353,-1.59046,5
401,50.76295,-1.59943,5
402,50.76296,-1.60352,5
403,50.75218,-1.89761,5
404,50.75208,-1.89579,5
405,50.75208,-1.89187,5
406,50.75197,-1.89188,5
407,50.75179,-1.88742,5
408,50.75178,-1.88824,5
409,50.75263,-1.88587,5
410,50.75438,-1.88666,5
411,50.75468,-1.88677,5
412,50.75708,-1.8867,5
413,50.7196,-1.88701,5
414,50.73375,-1.76744,5
415,50.7174,-1.97701,5
416,50.8099,-1.96287,5
417,50.80992,-1.96301,5
418,50.80195,-1.97329,5
419,50.80191,-1.97342,5
420,50.80377,-1.97038,5
421,50.80385,-1.97038,5
422,50.80501,-1.97059,5
423,50.80493,-1.97067,5
424,50.80587,-1.97277,5
425,50.80582,-1.97294,5
426,50.74777,-2.00353,5
427,50.7471,-2.00217,5
428,50.74613,-2.00085,5
429,50.746,-2.00088,5
430,50.74547,-2.01167,5
431,50.74679,-2.00945,5
432,50.74777,-2.00695,5
433,50.74808,-2.00639,5
434,50.74406,-2.00001,5
435,50.72633,-1.9023,5
436,50.72661,-1.90255,5
437,50.72532,-1.89966,5
438,50.72537,-1.90019,5
439,50.72477,-1.89798,5
440,50.72483,-1.89778,5
441,50.72406,-1.89523,5
442,50.72415,-1.89503,5
443,50.73856,-1.69517,5
444,50.71139,-2.07786,2
445,50.73572,-1.96137,5
446,50.73588,-1.96161,5
447,50.74646,-1.98933,5
448,50.71519,-1.97261,5
449,50.71418,-1.9752,5
450,50.71379,-1.97235,5
451,50.7148,-1.98364,5
452,50.71461,-1.98373,5
453,50.79684,-1.72029,5
454,50.76158,-2.01436,5
455,50.79908,-1.94821,5
456,50.75071,-1.82671,5
457,50.75115,-1.8254,5
458,50.75296,-1.82583,5
459,50.75264,-1.82884,5
460,50.74915,-1.82965,5
461,50.75001,-1.83279,5
462,50.74991,-1.83326,5
