ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
37,149,2,2,4,3.363
37,149,2,2,4,3.363
37,149,2,2,4,3.363
37,149,2,2,4,3.363
149,37,2,2,2,3.363
149,37,2,2,2,3.363
149,37,2,2,2,3.363
149,37,2,2,2,3.363
149,200,2,2,6,4.734
149,200,2,2,6,4.734
149,200,2,2,6,4.734
149,200,2,2,6,4.734
149,201,2,2,4,3.288
149,201,2,2,4,3.288
149,201,2,2,4,3.288
149,201,2,2,4,3.288
180,200,2,2,5,4.956
180,200,2,2,5,4.956
180,200,2,2,5,4.956
180,200,2,2,5,4.956
196,340,2,2,6,6.294
196,340,2,2,6,6.294
196,340,2,2,6,6.294
196,340,2,2,6,6.294
200,149,2,2,6,4.734
200,149,2,2,6,4.734
200,149,2,2,6,4.734
200,149,2,2,6,4.734
200,180,2,2,6,4.956
200,180,2,2,6,4.956
200,180,2,2,6,4.956
200,180,2,2,6,4.956
201,149,2,2,4,3.288
201,149,2,2,4,3.288
201,149,2,2,4,3.288
201,149,2,2,4,3.288
201,340,2,2,2,2.021
201,340,2,2,2,2.021
201,340,2,2,2,2.021
201,340,2,2,2,2.021
340,196,2,2,6,6.294
340,196,2,2,6,6.294
340,196,2,2,6,6.294
340,196,2,2,6,6.294
340,201,2,2,3,2.021
340,201,2,2,3,2.021
340,201,2,2,3,2.021
340,201,2,2,3,2.021
1,207,5,5,1,1.039
1,214,5,5,1,0.268
2,265,5,5,1,0.422
2,512,5,5,1,0.305
3,31,5,5,1,0.262
3,32,5,5,1,0.244
4,110,5,5,1,0.195
4,121,5,5,1,0.529
4,181,5,5,1,0.235
4,456,5,5,1,0.172
5,322,5,5,3,2.877
5,323,5,5,1,0.633
6,7,5,5,1,0.618
6,138,5,5,1,0.871
7,6,5,5,1,0.618
7,8,5,5,1,0.424
8,7,5,5,1,0.424
8,9,5,5,1,0.652
9,8,5,5,1,0.652
9,244,5,5,1,0.523
10,11,5,5,1,0.682
10,40,5,5,3,2.854
10,148,5,5,1,0.7
10,164,5,5,1,0.504
11,10,5,5,1,0.682
11,12,5,5,1,0.624
11,148,5,5,1,0.14
12,11,5,5,1,0.624
12,13,5,5,1,0.419
13,11,5,5,3,1.029
13,12,5,5,1,0.419
13,14,5,5,1,0.866
13,203,5,5,3,1.033
14,13,5,5,1,0.866
14,15,5,5,1,0.629
14,26,5,5,9,3.851
15,14,5,5,1,0.629
15,105,5,5,1,0.624
16,206,5,5,1,0.215
16,402,5,5,1,0.412
17,40,5,5,2,0.985
17,169,5,5,1,0.42
17,186,5,5,1,0.16
17,351,5,5,1,0.204
18,161,5,5,1,0.682
18,322,5,5,1,0.573
19,290,5,5,1,0.383
19,293,5,5,1,0.276
19,471,5,5,1,0.384
20,97,5,5,12,3.809
20,195,5,5,1,1.073
20,378,5,5,1,0.711
21,379,5,5,1,0.461
21,415,5,5,1,0.299
21,508,5,5,1,0.207
22,149,5,5,1,0.515
22,149,5,5,1,0.515
22,331,5,5,1,0.802
23,179,5,5,1,0.551
23,332,5,5,1,0.402
24,137,5,5,1,0.896
24,314,5,5,1,0.572
24,638,5,5,1,1.021
