nodeid,lat,lon,layer
1,51.42525,-0.70519,5
2,51.39793,-0.77543,5
3,51.50856,-0.74149,5
4,51.41713,-0.735,5
5,51.47232,-0.76149,5
6,51.51523,-0.79169,5
7,51.51556,-0.78276,5
8,51.51617,-0.77669,5
9,51.51802,-0.76773,5
10,51.48334,-0.73258,5
11,51.47898,-0.73954,5
12,51.47379,-0.74303,5
13,51.47002,-0.74335,5
14,51.46222,-0.74311,5
15,51.45722,-0.74739,5
16,51.40419,-0.77215,5
17,51.49875,-0.70479,5
18,51.4553,-0.79137,5
19,51.51585,-0.74293,5
20,51.38012,-0.80551,5
21,51.42122,-0.77749,5
22,51.41088,-0.67629,5
23,51.3389,-0.71912,5
24,51.43169,-0.72329,5
25,51.47265,-0.6258,5
26,51.42785,-0.73556,5
27,51.40207,-0.84046,5
28,51.33295,-0.75843,5
29,51.50581,-0.73832,5
30,51.50929,-0.7353,5
31,51.50895,-0.74524,5
32,51.50654,-0.74007,5
33,51.5094,-0.75194,5
34,51.34473,-0.72714,5
35,51.3419,-0.70308,5
36,51.41796,-0.71322,5
37,51.39194,-0.63304,2
37,51.39194,-0.63304,5
38,51.51576,-0.75913,5
39,51.51323,-0.80867,5
40,51.50599,-0.71304,5
41,51.41178,-0.80865,5
42,51.41848,-0.84725,5
43,51.34109,-0.77767,5
44,51.39199,-0.77011,5
45,51.37944,-0.83246,5
46,51.44623,-0.75168,5
47,51.34205,-0.73765,5
48,51.39501,-0.73877,5
49,51.49868,-0.76457,5
50,51.41031,-0.63866,5
51,51.44886,-0.63348,5
52,51.44211,-0.6283,5
53,51.44271,-0.6411,5
54,51.4154,-0.78335,5
55,51.41669,-0.7685,5
56,51.40455,-0.85686,5
57,51.39711,-0.64207,5
58,51.4901,-0.68821,5
59,51.3741,-0.85957,5
60,51.33629,-0.73197,5
61,51.44829,-0.66614,5
62,51.35019,-0.78256,5
63,51.47803,-0.75736,5
64,51.41674,-0.76456,5
65,51.34562,-0.77625,5
66,51.34129,-0.74447,5
67,51.41934,-0.6448,5
68,51.404,-0.63854,5
69,51.40714,-0.63752,5
70,51.39829,-0.62148,5
71,51.39772,-0.63498,5
72,51.39863,-0.63039,5
73,51.3998,-0.73454,5
74,51.33551,-0.76277,5
75,51.43287,-0.65365,5
76,51.39469,-0.75827,5
77,51.41863,-0.82701,5
78,51.37352,-0.67371,5
79,51.35138,-0.7741,5
80,51.41428,-0.85668,5
81,51.40775,-0.84985,5
82,51.46823,-0.80356,5
83,51.46097,-0.80249,5
84,51.41937,-0.73748,5
85,51.43182,-0.77023,5
86,51.39257,-0.76494,5
87,51.52032,-0.74196,5
88,51.51917,-0.75409,5
89,51.39541,-0.77365,5
90,51.47879,-0.63337,5
91,51.37457,-0.66607,5
92,51.34666,-0.72053,5
93,51.50874,-0.71543,5
94,51.42125,-0.64127,5
95,51.39975,-0.73758,5
96,51.41762,-0.82454,5
97,51.41224,-0.82485,5
98,51.42041,-0.84269,5
99,51.39903,-0.74421,5
100,51.41637,-0.84752,5
101,51.40866,-0.73345,5
102,51.50372,-0.75472,5
103,51.35234,-0.77958,5
104,51.38437,-0.8642,5
