ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
42,56,2,2,4,1.043
42,56,2,2,4,1.043
42,56,2,2,4,1.043
42,56,2,2,4,1.043
42,194,2,2,3,2.005
42,194,2,2,3,2.005
56,42,2,2,2,1.043
56,42,2,2,2,1.043
56,42,2,2,2,1.043
56,42,2,2,2,1.043
194,42,2,2,2,2.005
194,42,2,2,2,2.005
1,1,5,5,1,0.0
1,30,5,5,1,0.327
1,68,5,5,2,0.892
1,156,5,5,1,0.313
1,199,5,5,2,0.716
1,202,5,5,1,0.482
1,203,5,5,1,0.487
2,66,5,5,10,1.025
2,68,5,5,1,0.306
2,147,5,5,1,0.305
2,191,5,5,1,0.147
2,204,5,5,1,0.436
3,4,5,5,1,0.26
3,149,5,5,2,0.784
4,3,5,5,1,0.26
4,78,5,5,1,0.341
5,6,5,5,1,0.182
5,8,5,5,1,0.187
6,5,5,5,1,0.182
6,149,5,5,1,0.192
7,8,5,5,1,0.204
7,91,5,5,1,0.326
8,5,5,5,1,0.187
8,7,5,5,1,0.204
9,56,5,5,1,0.649
9,56,5,5,1,0.649
9,149,5,5,1,0.328
10,11,5,5,1,0.29
10,13,5,5,1,0.354
10,84,5,5,1,0.311
11,10,5,5,1,0.29
11,14,5,5,1,0.389
11,86,5,5,1,0.219
12,150,5,5,1,0.161
12,174,5,5,1,0.135
13,10,5,5,1,0.354
13,150,5,5,1,0.328
14,11,5,5,1,0.389
14,98,5,5,1,0.196
15,96,5,5,1,0.246
15,109,5,5,1,0.142
16,17,5,5,1,0.137
16,94,5,5,1,0.282
17,16,5,5,1,0.137
17,20,5,5,1,0.275
18,19,5,5,1,0.089
18,20,5,5,1,0.303
19,18,5,5,1,0.089
19,22,5,5,1,0.206
20,17,5,5,1,0.275
20,173,5,5,1,0.16
21,93,5,5,3,0.796
21,154,5,5,1,0.613
22,19,5,5,1,0.206
22,152,5,5,1,0.121
23,77,5,5,1,0.162
23,138,5,5,1,0.402
24,25,5,5,1,0.3
24,27,5,5,1,0.409
25,24,5,5,1,0.3
25,32,5,5,1,0.311
26,27,5,5,1,0.32
26,29,5,5,1,1.121
27,24,5,5,1,0.409
27,26,5,5,1,0.32
27,165,5,5,1,0.253
28,29,5,5,1,0.915
28,31,5,5,1,0.338
29,26,5,5,1,1.121
29,28,5,5,1,0.915
30,1,5,5,1,0.327
30,30,5,5,1,0.0
30,171,5,5,2,0.458
30,202,5,5,1,0.158
31,28,5,5,1,0.338
31,81,5,5,1,1.164
32,24,5,5,1,0.611
32,25,5,5,1,0.311
32,33,5,5,1,0.574
32,141,5,5,1,0.436
33,32,5,5,1,0.574
33,142,5,5,1,0.354
34,80,5,5,1,0.314
35,37,5,5,1,0.548
35,163,5,5,1,0.719
36,135,5,5,1,0.354
36,161,5,5,1,0.241
37,35,5,5,1,0.548
37,36,5,5,1,0.581
37,135,5,5,1,0.227
38,72,5,5,1,0.049
38,120,5,5,1,0.199
39,40,5,5,1,0.121
39,150,5,5,1,0.165
40,39,5,5,1,0.121
40,133,5,5,1,0.137
41,68,5,5,2,0.566
42,55,5,5,2,0.851
42,55,5,5,2,0.851
42,85,5,5,3,0.81
42,85,5,5,3,0.81
43,44,5,5,1,0.219
43,53,5,5,1,0.327
44,43,5,5,1,0.219
44,45,5,5,1,0.229
45,44,5,5,1,0.229
45,125,5,5,1,0.123
46,46,5,5,1,0.0
46,47,5,5,1,0.301
46,132,5,5,1,0.495
47,46,5,5,1,0.301
47,48,5,5,1,0.234
48,47,5,5,1,0.234
48,49,5,5,1,0.282
49,48,5,5,1,0.282
49,50,5,5,1,0.263
50,49,5,5,1,0.263
50,124,5,5,1,0.285
50,180,5,5,1,0.229
51,52,5,5,1,0.229
51,142,5,5,1,0.241
52,51,5,5,1,0.229
52,124,5,5,1,0.211
53,43,5,5,1,0.327
53,190,5,5,1,0.15
54,92,5,5,1,0.175
54,134,5,5,1,1.03
54,163,5,5,1,0.27
55,42,5,5,2,0.851
55,42,5,5,2,0.851
55,100,5,5,2,0.767
56,9,5,5,1,0.649
56,9,5,5,1,0.649
56,56,5,5,1,0.0
56,56,5,5,1,0.0
56,56,5,5,1,0.0
56,56,5,5,1,0.0
56,74,5,5,4,1.258
56,74,5,5,4,1.258
56,85,5,5,1,0.593
56,85,5,5,1,0.593
56,87,5,5,4,1.473
56,87,5,5,4,1.473
56,91,5,5,1,0.809
56,91,5,5,1,0.809
56,97,5,5,5,1.662
56,97,5,5,5,1.662
56,98,5,5,2,0.829
56,98,5,5,2,0.829
56,103,5,5,1,0.792
56,103,5,5,1,0.792
56,121,5,5,1,0.614
56,121,5,5,1,0.614
56,122,5,5,1,0.901
56,122,5,5,1,0.901
56,167,5,5,1,0.306
56,167,5,5,1,0.306
56,186,5,5,1,0.58
56,186,5,5,1,0.58
56,188,5,5,1,0.537
56,188,5,5,1,0.537
56,197,5,5,2,0.742
56,197,5,5,2,0.742
