nodeid,lat,lon,layer
1,51.93839,0.62632,5
2,51.94345,0.63136,5
3,51.86021,0.55634,5
4,51.85896,0.55956,5
5,51.86509,0.5571,5
6,51.86661,0.55608,5
7,51.86558,0.56056,5
8,51.86396,0.55914,5
9,51.86999,0.55314,5
10,51.87542,0.57477,5
11,51.8773,0.57182,5
12,51.86901,0.57984,5
13,51.87297,0.57809,5
14,51.8796,0.56752,5
15,51.8829,0.57363,5
16,51.86044,0.52371,5
17,51.85941,0.52259,5
18,51.85446,0.52523,5
19,51.85365,0.52519,5
20,51.85704,0.52378,5
21,51.85346,0.59385,5
22,51.85183,0.52579,5
23,51.85176,0.56838,5
24,51.91091,0.57826,5
25,51.90851,0.57623,5
26,51.9156,0.58514,5
27,51.91416,0.58108,5
28,51.92446,0.61118,5
29,51.92033,0.59961,5
30,51.93599,0.62909,5
31,51.92613,0.61531,5
32,51.90602,0.57415,5
33,51.9051,0.5659,5
34,51.8444,0.52062,5
35,51.87377,0.48892,5
36,51.87499,0.50526,5
37,51.87411,0.4969,5
38,51.86435,0.53725,5
39,51.8719,0.58069,5
40,51.87257,0.58209,5
41,51.94895,0.63729,5
42,51.86943,0.56845,2
42,51.86943,0.56845,5
43,51.89325,0.54996,5
44,51.89127,0.55001,5
45,51.88923,0.55052,5
46,51.88928,0.55702,5
47,51.8918,0.55539,5
48,51.89377,0.55415,5
49,51.89624,0.55319,5
50,51.89858,0.55258,5
51,51.90417,0.55747,5
52,51.90273,0.55507,5
53,51.89618,0.54946,5
54,51.87634,0.47511,5
55,51.86639,0.57985,5
56,51.87541,0.5567,5
56,51.87541,0.5567,2
57,51.94005,0.65283,5
58,51.93985,0.59227,5
59,51.94823,0.6439,5
60,51.90197,0.53477,5
61,51.89762,0.54537,5
62,51.95042,0.64582,5
63,51.95493,0.64901,5
64,51.87578,0.51323,5
65,51.94221,0.6492,5
66,51.94317,0.64633,5
67,51.94494,0.64168,5
68,51.94394,0.63576,5
69,51.86181,0.53587,5
70,51.85937,0.53346,5
71,51.86591,0.53937,5
