ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
4,84,2,2,4,5.133
4,84,2,2,4,5.133
4,84,2,2,4,5.133
4,84,2,2,4,5.133
39,84,2,2,3,2.833
39,84,2,2,3,2.833
39,84,2,2,3,2.833
39,84,2,2,3,2.833
39,145,2,2,6,6.123
39,145,2,2,6,6.123
39,145,2,2,6,6.123
39,145,2,2,6,6.123
39,145,2,2,6,6.123
39,145,2,2,6,6.123
39,146,2,2,3,5.492
39,146,2,2,3,5.492
39,146,2,2,3,5.492
39,146,2,2,3,5.492
84,4,2,2,5,5.133
84,4,2,2,5,5.133
84,4,2,2,5,5.133
84,4,2,2,5,5.133
84,39,2,2,5,2.833
84,39,2,2,5,2.833
84,39,2,2,5,2.833
84,39,2,2,5,2.833
145,39,2,2,6,6.123
145,39,2,2,6,6.123
145,39,2,2,6,6.123
145,39,2,2,6,6.123
145,39,2,2,6,6.123
145,39,2,2,6,6.123
146,39,2,2,6,5.492
146,39,2,2,6,5.492
146,39,2,2,6,5.492
146,39,2,2,6,5.492
1,2,5,5,1,0.298
1,21,5,5,1,0.151
1,117,5,5,1,0.139
2,1,5,5,1,0.298
2,169,5,5,1,0.284
3,18,5,5,1,0.221
3,188,5,5,1,0.267
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,28,5,5,1,0.644
4,28,5,5,1,0.644
4,76,5,5,1,0.505
4,76,5,5,1,0.505
4,154,5,5,1,0.768
4,154,5,5,1,0.768
4,352,5,5,1,0.422
4,352,5,5,1,0.422
5,138,5,5,1,0.234
5,158,5,5,1,0.518
5,295,5,5,1,0.233
6,7,5,5,1,0.272
6,9,5,5,1,0.323
7,6,5,5,1,0.272
7,163,5,5,1,0.245
8,9,5,5,2,0.225
8,134,5,5,1,0.326
8,135,5,5,3,0.687
8,323,5,5,1,0.254
9,6,5,5,1,0.323
9,8,5,5,1,0.225
9,134,5,5,1,0.207
10,11,5,5,1,0.401
10,13,5,5,1,0.181
11,8,5,5,2,0.664
11,10,5,5,1,0.401
12,13,5,5,1,0.452
12,15,5,5,1,0.253
13,10,5,5,1,0.181
13,12,5,5,1,0.452
14,84,5,5,1,0.556
14,84,5,5,1,0.556
14,350,5,5,1,0.373
15,12,5,5,1,0.253
15,67,5,5,1,0.213
16,17,5,5,1,0.256
16,144,5,5,1,0.518
17,16,5,5,1,0.256
17,21,5,5,1,0.115
18,3,5,5,1,0.221
18,322,5,5,1,0.207
19,20,5,5,1,0.281
20,19,5,5,1,0.281
20,85,5,5,1,0.321
20,258,5,5,1,0.385
21,1,5,5,1,0.151
21,17,5,5,1,0.115
21,52,5,5,1,0.231
21,117,5,5,1,0.205
22,52,5,5,1,0.414
22,114,5,5,1,0.174
23,180,5,5,1,0.53
23,203,5,5,1,0.643
24,25,5,5,1,0.353
24,26,5,5,1,0.444
25,24,5,5,1,0.353
25,97,5,5,1,0.278
26,24,5,5,1,0.444
26,148,5,5,1,0.275
27,187,5,5,1,0.189
27,211,5,5,1,0.325
28,4,5,5,1,0.644
28,4,5,5,1,0.644
28,139,5,5,1,0.365
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,151,5,5,1,0.537
29,151,5,5,1,0.537
29,151,5,5,1,0.537
29,242,5,5,1,0.742
29,242,5,5,1,0.742
29,242,5,5,1,0.742
30,31,5,5,1,0.379
30,39,5,5,3,0.64
30,39,5,5,3,0.64
31,30,5,5,1,0.379
31,35,5,5,2,0.396
32,38,5,5,1,0.603
32,174,5,5,1,0.589
33,34,5,5,1,0.195
33,36,5,5,1,0.289
34,33,5,5,1,0.195
34,129,5,5,1,0.25
35,31,5,5,1,0.396
35,36,5,5,1,0.282
36,33,5,5,1,0.289
36,35,5,5,2,0.282
37,38,5,5,1,0.793
37,73,5,5,1,0.275
38,37,5,5,1,0.793
38,355,5,5,1,0.363
39,30,5,5,1,0.64
39,30,5,5,1,0.64
39,39,5,5,1,0.0
39,39,5,5,1,0.0
39,39,5,5,1,0.0
39,39,5,5,1,0.0
39,73,5,5,1,0.602
39,73,5,5,1,0.602
39,131,5,5,1,0.591
39,131,5,5,1,0.591
39,136,5,5,1,0.61
39,136,5,5,1,0.61
40,153,5,5,1,0.252
40,340,5,5,1,0.191
41,144,5,5,1,0.233
41,158,5,5,1,0.238
42,43,5,5,1,0.258
42,88,5,5,1,0.385
43,42,5,5,1,0.258
43,46,5,5,1,0.257
44,47,5,5,1,0.391
44,118,5,5,2,0.787
45,118,5,5,1,0.524
45,140,5,5,2,0.639
46,43,5,5,1,0.257
46,47,5,5,1,0.368
47,44,5,5,1,0.391
47,46,5,5,1,0.368
48,49,5,5,1,0.319
48,51,5,5,1,0.711
49,48,5,5,1,0.319
49,143,5,5,1,0.923
50,51,5,5,1,0.293
50,205,5,5,1,0.639
51,48,5,5,1,0.711
51,50,5,5,1,0.293
52,21,5,5,1,0.231
52,22,5,5,1,0.414
53,54,5,5,1,0.399
53,54,5,5,1,0.399
53,62,5,5,1,0.263
53,84,5,5,1,0.665
53,84,5,5,1,0.665
54,53,5,5,1,0.399
54,53,5,5,1,0.399
54,56,5,5,1,0.375
54,56,5,5,1,0.375
54,62,5,5,1,0.662
54,62,5,5,1,0.662
54,77,5,5,1,0.576
54,77,5,5,1,0.576
54,84,5,5,2,0.874
54,84,5,5,2,0.874
54,84,5,5,2,0.874
54,84,5,5,2,0.874
54,132,5,5,1,0.733
54,132,5,5,1,0.733
54,207,5,5,1,0.755
54,207,5,5,1,0.755
54,330,5,5,1,0.119
54,330,5,5,1,0.119
54,337,5,5,1,0.09
54,337,5,5,1,0.09
55,53,5,5,2,0.75
55,56,5,5,1,0.322
55,207,5,5,1,0.3
55,212,5,5,1,0.349
55,216,5,5,1,0.39
56,54,5,5,1,0.375
56,54,5,5,1,0.375
56,55,5,5,1,0.322
56,77,5,5,2,0.611
56,207,5,5,3,0.405
56,330,5,5,1,0.44
57,58,5,5,1,0.522
57,268,5,5,1,1.114
58,57,5,5,1,0.522
58,59,5,5,1,0.402
59,58,5,5,1,0.402
59,60,5,5,1,0.44
60,59,5,5,1,0.44
60,61,5,5,1,0.441
61,60,5,5,1,0.441
61,62,5,5,1,0.36
62,53,5,5,1,0.263
62,54,5,5,1,0.662
62,54,5,5,1,0.662
62,61,5,5,1,0.36
63,64,5,5,1,0.265
63,148,5,5,1,0.427
64,63,5,5,1,0.265
64,145,5,5,1,0.958
64,145,5,5,1,0.958
64,145,5,5,1,0.958
65,145,5,5,1,0.739
65,145,5,5,1,0.739
65,145,5,5,1,0.739
65,181,5,5,1,0.466
66,200,5,5,1,0.261
66,306,5,5,1,0.14
67,15,5,5,1,0.213
67,68,5,5,1,0.301
68,67,5,5,1,0.301
68,126,5,5,2,1.191
68,240,5,5,1,0.233
69,70,5,5,1,0.279
69,75,5,5,1,0.312
69,344,5,5,1,0.22
70,69,5,5,1,0.279
70,71,5,5,1,0.231
71,70,5,5,1,0.231
71,72,5,5,1,0.311
72,71,5,5,1,0.311
72,126,5,5,2,1.238
73,37,5,5,1,0.275
73,39,5,5,1,0.602
73,39,5,5,1,0.602
74,54,5,5,2,0.389
74,54,5,5,2,0.389
74,56,5,5,2,0.744
74,75,5,5,1,0.253
74,207,5,5,3,1.076
74,311,5,5,1,0.274
74,330,5,5,1,0.303
74,337,5,5,3,0.464
74,348,5,5,1,0.151
75,69,5,5,1,0.312
75,74,5,5,1,0.253
76,4,5,5,1,0.505
76,4,5,5,1,0.505
76,203,5,5,2,0.613
76,313,5,5,1,0.277
77,54,5,5,2,0.576
77,54,5,5,2,0.576
77,56,5,5,1,0.611
77,74,5,5,2,0.614
77,132,5,5,1,0.156
78,4,5,5,1,0.578
78,4,5,5,1,0.578
78,255,5,5,1,0.358
79,90,5,5,1,1.951
79,111,5,5,1,0.44
80,120,5,5,1,0.724
80,161,5,5,1,0.945
80,336,5,5,1,0.617
81,82,5,5,1,0.273
81,259,5,5,1,0.148
82,81,5,5,1,0.273
82,112,5,5,1,0.435
82,186,5,5,1,0.576
83,110,5,5,1,0.387
84,14,5,5,1,0.556
84,14,5,5,1,0.556
84,53,5,5,1,0.665
84,53,5,5,1,0.665
84,84,5,5,1,0.0
84,84,5,5,1,0.0
84,84,5,5,1,0.0
84,84,5,5,1,0.0
84,238,5,5,1,0.734
84,238,5,5,1,0.734
84,325,5,5,4,1.435
84,325,5,5,4,1.435
85,20,5,5,1,0.321
85,150,5,5,1,0.262
85,223,5,5,1,0.345
85,258,5,5,1,0.166
86,149,5,5,1,0.26
87,88,5,5,1,0.26
87,89,5,5,1,0.457
88,42,5,5,1,0.385
88,87,5,5,1,0.26
90,79,5,5,1,1.951
90,154,5,5,1,0.332
91,111,5,5,1,0.093
91,115,5,5,1,0.223
92,252,5,5,1,0.505
92,253,5,5,1,0.51
93,94,5,5,1,0.287
93,256,5,5,1,0.266
93,343,5,5,1,0.408
94,93,5,5,1,0.287
94,94,5,5,1,0.0
94,145,5,5,1,0.694
94,145,5,5,1,0.694
94,145,5,5,1,0.694
94,284,5,5,2,0.543
94,343,5,5,1,0.127
95,96,5,5,2,0.3
95,265,5,5,1,0.259
96,95,5,5,1,0.3
96,290,5,5,1,0.22
97,25,5,5,1,0.278
97,265,5,5,1,0.194
98,206,5,5,1,0.225
98,327,5,5,1,0.257
99,100,5,5,1,0.558
99,106,5,5,1,0.533
100,99,5,5,1,0.558
100,221,5,5,1,0.448
101,102,5,5,2,0.645
101,221,5,5,1,0.382
102,315,5,5,1,0.308
102,351,5,5,2,0.607
103,108,5,5,1,0.321
103,152,5,5,1,0.336
103,162,5,5,1,0.239
104,152,5,5,1,0.263
104,324,5,5,4,0.999
104,329,5,5,1,0.445
105,106,5,5,1,0.534
105,264,5,5,1,0.542
105,329,5,5,1,0.322
105,351,5,5,3,1.456
106,99,5,5,1,0.533
106,105,5,5,1,0.534
107,208,5,5,1,0.377
108,103,5,5,1,0.321
108,209,5,5,1,0.827
108,210,5,5,1,1.6
109,40,5,5,1,0.276
109,319,5,5,1,0.308
110,83,5,5,1,0.387
110,305,5,5,1,0.347
111,79,5,5,1,0.44
111,91,5,5,1,0.093
111,116,5,5,1,0.318
112,82,5,5,1,0.435
112,137,5,5,1,0.236
113,200,5,5,1,0.252
113,243,5,5,1,0.406
113,266,5,5,1,0.182
114,22,5,5,1,0.174
114,138,5,5,1,0.241
114,187,5,5,1,0.178
114,300,5,5,1,0.645
115,91,5,5,1,0.223
115,206,5,5,1,0.233
116,111,5,5,1,0.318
116,242,5,5,1,0.209
117,1,5,5,1,0.139
117,21,5,5,1,0.205
117,243,5,5,1,0.406
117,267,5,5,1,0.404
118,44,5,5,1,0.787
118,45,5,5,1,0.524
119,248,5,5,1,0.21
119,249,5,5,1,0.381
120,80,5,5,1,0.724
120,230,5,5,1,0.654
121,122,5,5,1,0.418
122,121,5,5,1,0.418
122,146,5,5,1,0.835
122,146,5,5,1,0.835
123,124,5,5,1,0.377
123,237,5,5,1,0.349
124,123,5,5,1,0.377
124,226,5,5,2,0.684
124,325,5,5,3,0.781
125,126,5,5,1,0.439
125,128,5,5,1,0.293
126,125,5,5,1,0.439
126,288,5,5,1,0.159
127,128,5,5,1,0.212
127,293,5,5,1,0.457
128,125,5,5,1,0.293
128,127,5,5,1,0.212
129,34,5,5,1,0.25
129,130,5,5,1,0.298
129,135,5,5,1,0.397
130,129,5,5,1,0.298
130,163,5,5,1,0.242
130,229,5,5,1,0.723
131,39,5,5,1,0.591
131,39,5,5,1,0.591
131,133,5,5,1,0.589
132,54,5,5,2,0.733
132,54,5,5,2,0.733
132,77,5,5,1,0.156
132,133,5,5,1,0.27
133,39,5,5,2,1.093
133,39,5,5,2,1.093
133,131,5,5,1,0.589
133,132,5,5,1,0.27
134,135,5,5,1,0.508
134,136,5,5,1,0.394
135,8,5,5,1,0.687
135,129,5,5,1,0.397
135,134,5,5,1,0.508
136,8,5,5,1,0.545
136,39,5,5,2,0.61
136,39,5,5,2,0.61
136,134,5,5,1,0.394
136,136,5,5,1,0.0
137,112,5,5,1,0.236
137,327,5,5,1,0.327
138,5,5,5,1,0.234
138,114,5,5,1,0.241
139,28,5,5,1,0.365
139,188,5,5,1,0.289
140,45,5,5,1,0.639
140,141,5,5,1,0.711
141,140,5,5,1,0.711
141,142,5,5,1,0.411
142,141,5,5,1,0.411
142,143,5,5,1,0.415
143,49,5,5,1,0.923
143,142,5,5,1,0.415
144,41,5,5,1,0.233
144,287,5,5,1,0.227
145,64,5,5,1,0.958
145,64,5,5,1,0.958
145,64,5,5,1,0.958
145,94,5,5,1,0.694
145,94,5,5,1,0.694
145,94,5,5,1,0.694
145,145,5,5,1,0.0
145,145,5,5,1,0.0
145,145,5,5,1,0.0
145,145,5,5,1,0.0
145,145,5,5,1,0.0
145,145,5,5,1,0.0
145,145,5,5,1,0.0
145,145,5,5,1,0.0
145,145,5,5,1,0.0
145,347,5,5,1,0.683
145,347,5,5,1,0.683
