nodeid,lat,lon,layer
1,51.60756,0.22336,5
2,51.60541,0.22596,5
3,51.60256,0.2474,5
4,51.59277,0.23314,5
4,51.59277,0.23314,2
5,51.60893,0.20775,5
6,51.62911,0.35098,5
7,51.62923,0.35493,5
8,51.62845,0.34471,5
9,51.63012,0.34658,5
10,51.6193,0.34041,5
11,51.62258,0.34285,5
12,51.61551,0.33526,5
13,51.61927,0.33778,5
14,51.60977,0.30477,5
15,51.61388,0.33268,5
16,51.61047,0.21869,5
17,51.60917,0.22177,5
18,51.60331,0.24443,5
19,51.58894,0.21133,5
20,51.59145,0.21071,5
21,51.60816,0.22138,5
22,51.60573,0.2129,5
23,51.59839,0.23224,5
24,51.63853,0.42208,5
25,51.6363,0.41841,5
26,51.64016,0.42797,5
27,51.60195,0.2103,5
28,51.59714,0.23929,5
29,51.55902,0.25089,5
29,51.55902,0.25089,2
29,51.55902,0.25089,3
30,51.63519,0.33602,5
31,51.63687,0.34081,5
32,51.6449,0.34338,5
33,51.63616,0.35432,5
34,51.63443,0.35382,5
35,51.63769,0.34641,5
36,51.63712,0.35041,5
37,51.63756,0.32729,5
38,51.64261,0.33544,5
39,51.63088,0.32985,2
39,51.63088,0.32985,5
40,51.60523,0.23488,5
41,51.61416,0.21455,5
42,51.65521,0.12643,5
43,51.65635,0.1297,5
44,51.65722,0.14428,5
45,51.65693,0.16332,5
46,51.65629,0.13344,5
47,51.65716,0.1386,5
48,51.63166,0.17495,5
49,51.63375,0.17177,5
50,51.62695,0.18734,5
51,51.628,0.18343,5
52,51.60746,0.21822,5
53,51.61959,0.29897,5
54,51.62091,0.30436,4
54,51.62091,0.30436,5
55,51.62634,0.29951,5
56,51.62407,0.30243,5
57,51.60974,0.2675,5
58,51.6118,0.27432,5
59,51.61353,0.27945,5
60,51.61534,0.28514,5
61,51.61711,0.29088,5
62,51.61873,0.29541,5
63,51.63815,0.42829,5
64,51.63614,0.4262,5
65,51.6225,0.41562,5
66,51.60712,0.24215,5
67,51.61405,0.3296,5
68,51.61217,0.32644,5
69,51.61551,0.31507,5
70,51.61356,0.31764,5
71,51.61203,0.31992,5
72,51.61059,0.32379,5
73,51.63546,0.32515,5
74,51.61855,0.30855,5
75,51.61743,0.31176,5
76,51.5973,0.23243,5
77,51.62382,0.31129,5
78,51.58827,0.22892,5
79,51.57377,0.25732,5
80,51.56559,0.30035,5
81,51.5593,0.26662,5
82,51.56175,0.26709,5
83,51.61374,0.18099,5
84,51.61361,0.29959,2
84,51.61361,0.29959,5
85,51.59392,0.21314,5
86,51.64665,0.43313,5
87,51.65164,0.11927,5
88,51.65261,0.12272,5
89,51.65522,0.11599,5
90,51.59051,0.24868,5
91,51.57026,0.25777,5
92,51.70659,0.28773,5
93,51.62913,0.40798,5
94,51.63154,0.40951,5
95,51.63731,0.41009,5
96,51.63914,0.40687,5
97,51.63609,0.41438,5
98,51.56859,0.26724,5
99,51.64381,0.27141,5
100,51.63993,0.27657,5
101,51.63917,0.27669,5
102,51.63943,0.26733,5
103,51.66403,0.27212,5
104,51.65888,0.26994,5
105,51.65236,0.26622,5
106,51.64755,0.26654,5
107,51.68907,0.25403,5
108,51.66657,0.26988,5
109,51.60375,0.2381,5
110,51.61694,0.18322,5
111,51.56983,0.25661,5
112,51.56567,0.26744,5
113,51.60955,0.23592,5
114,51.60512,0.21056,5
115,51.56965,0.26086,5
116,51.56702,0.25571,5
117,51.60869,0.22423,5
118,51.65721,0.15572,5
119,51.69288,0.32234,5
120,51.57208,0.29922,5
121,51.6764,0.39428,5
122,51.67363,0.39015,5
123,51.60141,0.2926,5
124,51.59887,0.28897,5
125,51.60235,0.34402,5
126,51.60508,0.33941,5
127,51.59831,0.34732,5
128,51.60012,0.3463,5
129,51.63324,0.3569,5
130,51.63159,0.36032,5
131,51.63053,0.32128,5
132,51.62468,0.31309,5
133,51.62656,0.31559,5
134,51.63138,0.34435,5
135,51.63319,0.35113,5
136,51.63159,0.33863,5
137,51.56775,0.26821,5
138,51.60687,0.20847,5
139,51.59901,0.24366,5
140,51.65423,0.17152,5
141,51.64812,0.1684,5
142,51.64493,0.16535,5
143,51.6412,0.1658,5
144,51.61509,0.21758,5
145,51.62889,0.41864,2
145,51.62889,0.41864,5
145,51.62889,0.41864,4
146,51.66705,0.38425,2
146,51.66705,0.38425,5
147,51.60066,0.23021,5
148,51.64151,0.43133,5
149,51.64434,0.43247,5
150,51.59624,0.21241,5
151,51.55747,0.25826,5
152,51.66102,0.27161,5
153,51.60428,0.23821,5
154,51.59138,0.24406,5
155,51.64128,0.30329,5
156,51.64357,0.3094,5
157,51.65308,0.35235,5
158,51.61288,0.21177,5
159,51.55946,0.28657,5
160,51.60228,0.22326,5
161,51.5577,0.29521,5
162,51.66299,0.27516,5
163,51.62976,0.35839,5
164,51.66106,0.30762,5
165,51.6637,0.30186,5
166,51.66147,0.30425,5
167,51.6743,0.30612,5
168,51.67163,0.30513,5
169,51.60329,0.22829,5
170,51.58483,0.22061,5
171,51.61218,0.22832,5
172,51.6067,0.23774,5
173,51.60316,0.2252,5
174,51.6496,0.34735,5
175,51.65434,0.35468,5
176,51.65612,0.35829,5
177,51.66053,0.36546,5
178,51.66451,0.37356,5
179,51.60058,0.2219,5
180,51.60064,0.23903,5
181,51.62308,0.40891,5
182,51.62135,0.40611,5
183,51.61856,0.40543,5
184,51.61582,0.40335,5
185,51.62422,0.40512,5
186,51.5653,0.27318,5
187,51.60361,0.20967,5
188,51.60015,0.24744,5
189,51.66594,0.28107,5
190,51.67272,0.29157,5
191,51.67388,0.2936,5
192,51.67496,0.29944,5
193,51.67653,0.29485,5
194,51.68008,0.29199,5
195,51.68019,0.30081,5
196,51.68358,0.30624,5
197,51.68779,0.30887,5
198,51.69151,0.31461,5
199,51.64254,0.43192,5
200,51.60868,0.2393,5
201,51.60459,0.22826,5
202,51.65061,0.25653,5
203,51.59586,0.22384,5
204,51.60242,0.24461,5
205,51.62146,0.18454,5
206,51.56884,0.26399,5
207,51.62768,0.30329,5
208,51.68567,0.25429,5
209,51.6731,0.2641,5
210,51.67979,0.2606,5
211,51.59911,0.21148,5
212,51.62803,0.29523,5
213,51.63443,0.29712,5
214,51.63463,0.28306,5
215,51.63187,0.28832,5
216,51.62978,0.2983,5
217,51.63382,0.29776,5
218,51.6343,0.29462,5
219,51.63413,0.29142,5
220,51.63554,0.29058,5
221,51.63687,0.28082,5
222,51.55792,0.27335,5
223,51.59688,0.21469,5
224,51.55778,0.26926,5
225,51.59169,0.28579,5
226,51.59329,0.28476,5
227,51.58289,0.29837,5
228,51.58916,0.2896,5
229,51.62825,0.36933,5
230,51.57796,0.29994,5
231,51.62778,0.38471,5
232,51.62772,0.37986,5
233,51.62694,0.39447,5
234,51.62756,0.3887,5
235,51.60478,0.2969,5
236,51.60236,0.29869,5
237,51.60416,0.29507,5
238,51.60714,0.29737,5
239,51.61396,0.31973,5
240,51.61367,0.32406,5
241,51.63782,0.4155,5
242,51.56539,0.25417,5
243,51.6093,0.23004,5
244,51.55172,0.29469,5
245,51.66372,0.27777,5
246,51.65457,0.30825,5
247,51.65857,0.31012,5
248,51.69242,0.31938,5
249,51.69394,0.32761,5
250,51.70381,0.30457,5
251,51.70111,0.30466,5
252,51.70985,0.28261,5
253,51.70658,0.29515,5
254,51.55724,0.26275,5
255,51.58697,0.22417,5
256,51.62683,0.40687,5
257,51.59801,0.21824,5
258,51.59336,0.21538,5
259,51.558,0.26611,5
260,51.63989,0.30174,5
261,51.65121,0.11785,5
262,51.56004,0.29416,5
263,51.617,0.21958,5
264,51.65718,0.26748,5
265,51.63526,0.41189,5
266,51.60843,0.23786,5
267,51.60979,0.22982,5
268,51.605,0.25326,5
269,51.64998,0.30987,5
270,51.57823,0.23522,5
271,51.60616,0.23305,5
272,51.64174,0.41039,5
273,51.68264,0.29096,5
274,51.63835,0.28533,5
275,51.63845,0.28967,5
276,51.63615,0.28967,5
277,51.70517,0.3012,5
278,51.62532,0.28985,5
279,51.57079,0.27074,5
280,51.63951,0.41979,5
281,51.63761,0.28186,5
282,51.57005,0.27411,5
283,51.63518,0.40064,5
284,51.63418,0.40286,5
285,51.57599,0.23669,5
286,51.5711,0.27271,5
287,51.6132,0.21886,5
288,51.60606,0.33771,5
289,51.56851,0.27031,5
290,51.64024,0.40954,5
291,51.64166,0.41725,5
292,51.6128,0.21975,5
293,51.59527,0.3518,5
294,51.60913,0.2061,5
295,51.61086,0.20909,5
296,51.62783,0.29013,5
297,51.62618,0.29106,5
298,51.56878,0.2763,5
299,51.66734,0.2977,5
300,51.60098,0.20399,5
301,51.56258,0.27087,5
302,51.60916,0.29018,5
303,51.63613,0.28541,5
304,51.69679,0.31333,5
305,51.62005,0.1826,5
306,51.60618,0.24351,5
307,51.63626,0.41252,5
308,51.59249,0.2194,5
309,51.69202,0.3212,5
310,51.63566,0.39797,5
311,51.61851,0.30457,5
312,51.67387,0.3849,5
313,51.5996,0.23086,5
314,51.64216,0.42121,5
315,51.63915,0.27179,5
316,51.66743,0.29968,5
317,51.67033,0.30885,5
318,51.61693,0.22108,5
319,51.6038,0.24257,5
320,51.61327,0.22326,5
321,51.61564,0.22233,5
322,51.60508,0.24348,5
323,51.62624,0.34373,5
324,51.6538,0.25796,5
325,51.60068,0.29992,5
326,51.62556,0.2885,5
327,51.57067,0.2689,5
328,51.57709,0.23976,5
329,51.65512,0.26767,5
330,51.62081,0.30608,5
331,51.61886,0.18249,5
332,51.69264,0.31734,5
333,51.60857,0.30557,5
334,51.60859,0.29211,5
335,51.60684,0.29535,5
336,51.5603,0.30312,5
337,51.62171,0.30414,5
338,51.61304,0.2229,5
339,51.5958,0.35048,5
340,51.60566,0.23219,5
341,51.60912,0.31001,5
342,51.63057,0.36052,5
343,51.63269,0.40947,5
344,51.61429,0.31759,5
345,51.65018,0.12199,5
346,51.65145,0.12403,5
347,51.62274,0.41835,5
348,51.61726,0.30928,5
349,51.56996,0.27696,5
350,51.60998,0.31018,5
351,51.64013,0.25858,5
352,51.589,0.23227,5
353,51.59905,0.22009,5
354,51.57112,0.23806,5
355,51.64367,0.34043,5
356,51.57468,0.23611,5
357,51.63014,0.29086,5
358,51.57267,0.2365,5
359,51.62553,0.41769,5
