ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,1,1,1,1,0.0
1,1,1,1,1,0.0
1,1,1,1,1,0.0
1,1,1,1,1,0.0
1,10,1,1,2,0.355
1,10,1,1,2,0.355
1,10,1,1,2,0.355
1,10,1,1,2,0.355
1,15,1,1,6,0.577
1,15,1,1,6,0.577
1,15,1,1,6,0.577
1,15,1,1,6,0.577
8,8,1,1,1,0.0
8,8,1,1,1,0.0
8,8,1,1,1,0.0
8,8,1,1,1,0.0
8,9,1,1,2,0.356
8,9,1,1,2,0.356
8,9,1,1,2,0.356
8,9,1,1,2,0.356
9,8,1,1,3,0.356
9,8,1,1,3,0.356
9,8,1,1,3,0.356
9,8,1,1,3,0.356
9,9,1,1,1,0.0
9,9,1,1,1,0.0
9,9,1,1,1,0.0
9,9,1,1,1,0.0
9,11,1,1,4,0.383
9,11,1,1,4,0.383
9,11,1,1,4,0.383
9,11,1,1,4,0.383
10,1,1,1,3,0.355
10,1,1,1,3,0.355
10,1,1,1,3,0.355
10,1,1,1,3,0.355
10,20,1,1,5,0.831
10,20,1,1,5,0.831
10,20,1,1,5,0.831
10,20,1,1,5,0.831
10,20,1,1,5,0.831
10,20,1,1,5,0.831
11,9,1,1,3,0.383
11,9,1,1,3,0.383
11,9,1,1,3,0.383
11,9,1,1,3,0.383
11,15,1,1,5,0.716
11,15,1,1,5,0.716
11,15,1,1,5,0.716
11,15,1,1,5,0.716
11,18,1,1,10,0.753
11,18,1,1,10,0.753
11,18,1,1,10,0.753
11,18,1,1,10,0.753
15,1,1,1,7,0.577
15,1,1,1,7,0.577
15,1,1,1,7,0.577
15,1,1,1,7,0.577
15,11,1,1,5,0.716
15,11,1,1,5,0.716
15,11,1,1,5,0.716
15,11,1,1,5,0.716
15,18,1,1,5,0.43
15,18,1,1,5,0.43
15,18,1,1,5,0.43
15,18,1,1,5,0.43
18,11,1,1,10,0.753
18,11,1,1,10,0.753
18,11,1,1,10,0.753
18,11,1,1,10,0.753
18,15,1,1,3,0.43
18,15,1,1,3,0.43
18,15,1,1,3,0.43
18,15,1,1,3,0.43
20,10,1,1,5,0.831
20,10,1,1,5,0.831
20,10,1,1,5,0.831
20,10,1,1,5,0.831
20,10,1,1,5,0.831
20,10,1,1,5,0.831
2,22,2,2,3,2.084
2,22,2,2,3,2.084
2,22,2,2,3,2.084
2,22,2,2,3,2.084
2,24,2,2,4,3.15
2,24,2,2,4,3.15
2,24,2,2,4,3.15
2,24,2,2,4,3.15
3,6,2,2,3,1.711
3,6,2,2,3,1.711
3,6,2,2,3,1.711
3,6,2,2,3,1.711
3,12,2,2,8,8.137
3,12,2,2,8,8.137
3,12,2,2,8,8.137
3,12,2,2,8,8.137
3,20,2,2,10,7.672
3,20,2,2,10,7.672
3,20,2,2,10,7.672
3,20,2,2,10,7.672
3,20,2,2,10,7.672
3,20,2,2,10,7.672
3,144,2,2,4,1.955
3,144,2,2,4,1.955
4,14,2,2,5,10.012
4,14,2,2,5,10.012
4,14,2,2,5,10.012
4,14,2,2,5,10.012
4,19,2,2,2,1.204
4,19,2,2,2,1.204
4,19,2,2,2,1.204
4,19,2,2,2,1.204
5,23,2,2,2,0.722
5,23,2,2,2,0.722
5,23,2,2,2,0.722
5,23,2,2,2,0.722
5,24,2,2,2,0.971
5,24,2,2,2,0.971
5,24,2,2,2,0.971
5,24,2,2,2,0.971
6,3,2,2,3,1.711
6,3,2,2,3,1.711
6,3,2,2,3,1.711
6,3,2,2,3,1.711
6,7,2,2,3,4.163
6,7,2,2,3,4.163
6,7,2,2,3,4.163
6,7,2,2,3,4.163
6,20,2,2,7,6.331
6,20,2,2,7,6.331
6,20,2,2,7,6.331
6,20,2,2,7,6.331
6,20,2,2,7,6.331
6,20,2,2,7,6.331
6,144,2,2,3,2.33
6,144,2,2,3,2.33
7,6,2,2,4,4.163
7,6,2,2,4,4.163
7,6,2,2,4,4.163
7,6,2,2,4,4.163
7,16,2,2,1,1.061
7,16,2,2,1,1.061
7,16,2,2,1,1.061
7,16,2,2,1,1.061
7,20,2,2,5,2.291
7,20,2,2,5,2.291
7,20,2,2,5,2.291
7,20,2,2,5,2.291
7,20,2,2,5,2.291
7,20,2,2,5,2.291
7,23,2,2,3,1.556
7,23,2,2,3,1.556
7,23,2,2,3,1.556
7,23,2,2,3,1.556
12,3,2,2,8,8.137
12,3,2,2,8,8.137
12,3,2,2,8,8.137
12,3,2,2,8,8.137
14,4,2,2,6,10.012
14,4,2,2,6,10.012
14,4,2,2,6,10.012
14,4,2,2,6,10.012
14,19,2,2,8,11.073
14,19,2,2,8,11.073
14,19,2,2,8,11.073
14,19,2,2,8,11.073
14,20,2,2,11,12.176
14,20,2,2,11,12.176
14,20,2,2,11,12.176
14,20,2,2,11,12.176
14,20,2,2,11,12.176
14,20,2,2,11,12.176
16,6,2,2,4,5.212
16,6,2,2,4,5.212
16,6,2,2,4,5.212
16,6,2,2,4,5.212
16,7,2,2,1,1.061
16,7,2,2,1,1.061
16,7,2,2,1,1.061
16,7,2,2,1,1.061
16,20,2,2,2,1.527
16,20,2,2,2,1.527
16,20,2,2,2,1.527
16,20,2,2,2,1.527
16,20,2,2,2,1.527
16,20,2,2,2,1.527
17,1567,2,2,6,5.689
17,1567,2,2,6,5.689
19,4,2,2,2,1.204
19,4,2,2,2,1.204
19,4,2,2,2,1.204
19,4,2,2,2,1.204
19,14,2,2,8,11.073
19,14,2,2,8,11.073
19,14,2,2,8,11.073
19,14,2,2,8,11.073
19,20,2,2,3,1.341
19,20,2,2,3,1.341
19,20,2,2,3,1.341
19,20,2,2,3,1.341
19,20,2,2,3,1.341
19,20,2,2,3,1.341
20,3,2,2,8,7.672
20,3,2,2,8,7.672
20,3,2,2,8,7.672
20,3,2,2,8,7.672
20,3,2,2,8,7.672
20,3,2,2,8,7.672
20,4,2,2,2,2.535
20,4,2,2,2,2.535
20,4,2,2,2,2.535
20,4,2,2,2,2.535
20,4,2,2,2,2.535
20,4,2,2,2,2.535
20,6,2,2,5,6.331
20,6,2,2,5,6.331
20,6,2,2,5,6.331
20,6,2,2,5,6.331
20,6,2,2,5,6.331
20,6,2,2,5,6.331
20,7,2,2,2,2.291
20,7,2,2,2,2.291
20,7,2,2,2,2.291
20,7,2,2,2,2.291
20,7,2,2,2,2.291
20,7,2,2,2,2.291
20,14,2,2,6,12.176
20,14,2,2,6,12.176
20,14,2,2,6,12.176
20,14,2,2,6,12.176
20,14,2,2,6,12.176
20,14,2,2,6,12.176
20,16,2,2,2,1.527
20,16,2,2,2,1.527
20,16,2,2,2,1.527
20,16,2,2,2,1.527
20,16,2,2,2,1.527
20,16,2,2,2,1.527
20,19,2,2,2,1.341
20,19,2,2,2,1.341
20,19,2,2,2,1.341
20,19,2,2,2,1.341
20,19,2,2,2,1.341
20,19,2,2,2,1.341
20,21,2,2,5,6.867
20,21,2,2,5,6.867
20,21,2,2,5,6.867
20,21,2,2,5,6.867
20,21,2,2,5,6.867
20,21,2,2,5,6.867
21,20,2,2,6,6.867
21,20,2,2,6,6.867
21,20,2,2,6,6.867
21,20,2,2,6,6.867
21,20,2,2,6,6.867
21,20,2,2,6,6.867
22,2,2,2,4,2.084
22,2,2,2,4,2.084
22,2,2,2,4,2.084
22,2,2,2,4,2.084
22,25,2,2,3,2.259
22,25,2,2,3,2.259
22,25,2,2,3,2.259
22,25,2,2,3,2.259
23,5,2,2,2,0.722
23,5,2,2,2,0.722
23,5,2,2,2,0.722
23,5,2,2,2,0.722
23,7,2,2,2,1.556
23,7,2,2,2,1.556
23,7,2,2,2,1.556
23,7,2,2,2,1.556
24,2,2,2,4,3.15
24,2,2,2,4,3.15
24,2,2,2,4,3.15
24,2,2,2,4,3.15
24,5,2,2,2,0.971
24,5,2,2,2,0.971
24,5,2,2,2,0.971
24,5,2,2,2,0.971
25,22,2,2,3,2.259
25,22,2,2,3,2.259
25,22,2,2,3,2.259
25,22,2,2,3,2.259
25,1567,2,2,3,1.395
25,1567,2,2,3,1.395
144,3,2,2,3,1.955
144,3,2,2,3,1.955
144,6,2,2,2,2.33
144,6,2,2,2,2.33
144,20,2,2,12,8.622
144,20,2,2,12,8.622
144,20,2,2,12,8.622
144,1657,2,2,5,5.603
1567,17,2,2,7,5.689
1567,17,2,2,7,5.689
1567,25,2,2,3,1.395
1567,25,2,2,3,1.395
1657,144,2,2,7,5.603
