ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,2,2,2,3,1.913
1,2,2,2,3,1.913
1,2,2,2,3,1.913
1,2,2,2,3,1.913
1,2,2,2,3,1.913
1,2,2,2,3,1.913
1,2,2,2,3,1.913
1,2,2,2,3,1.913
1,2,2,2,3,1.913
1,17,2,2,5,3.484
1,17,2,2,5,3.484
1,17,2,2,5,3.484
1,17,2,2,5,3.484
1,17,2,2,5,3.484
1,17,2,2,5,3.484
2,1,2,2,3,1.913
2,1,2,2,3,1.913
2,1,2,2,3,1.913
2,1,2,2,3,1.913
2,1,2,2,3,1.913
2,1,2,2,3,1.913
2,1,2,2,3,1.913
2,1,2,2,3,1.913
2,1,2,2,3,1.913
2,6,2,2,8,3.066
2,6,2,2,8,3.066
2,6,2,2,8,3.066
2,6,2,2,8,3.066
2,6,2,2,8,3.066
2,6,2,2,8,3.066
3,4,2,2,5,2.632
3,4,2,2,5,2.632
3,4,2,2,5,2.632
3,4,2,2,5,2.632
3,4,2,2,5,2.632
3,4,2,2,5,2.632
3,9,2,2,1,2.193
3,9,2,2,1,2.193
3,9,2,2,1,2.193
3,9,2,2,1,2.193
4,3,2,2,4,2.632
4,3,2,2,4,2.632
4,3,2,2,4,2.632
4,3,2,2,4,2.632
4,3,2,2,4,2.632
4,3,2,2,4,2.632
4,7,2,2,8,8.696
4,7,2,2,8,8.696
4,7,2,2,8,8.696
4,7,2,2,8,8.696
4,7,2,2,8,8.696
4,7,2,2,8,8.696
4,10,2,2,2,1.407
4,10,2,2,2,1.407
4,10,2,2,2,1.407
4,10,2,2,2,1.407
4,10,2,2,2,1.407
4,10,2,2,2,1.407
4,15,2,2,8,7.201
4,15,2,2,8,7.201
4,15,2,2,8,7.201
4,15,2,2,8,7.201
4,15,2,2,8,7.201
4,15,2,2,8,7.201
4,15,2,2,8,7.201
4,15,2,2,8,7.201
4,15,2,2,8,7.201
4,17,2,2,10,9.345
4,17,2,2,10,9.345
4,17,2,2,10,9.345
4,17,2,2,10,9.345
4,17,2,2,10,9.345
4,17,2,2,10,9.345
4,18,2,2,7,6.853
4,18,2,2,7,6.853
4,18,2,2,7,6.853
4,18,2,2,7,6.853
4,18,2,2,7,6.853
4,18,2,2,7,6.853
5,22,2,2,4,3.168
5,22,2,2,4,3.168
5,22,2,2,4,3.168
5,22,2,2,4,3.168
6,2,2,2,5,3.066
6,2,2,2,5,3.066
6,2,2,2,5,3.066
6,2,2,2,5,3.066
6,2,2,2,5,3.066
6,2,2,2,5,3.066
7,4,2,2,8,8.696
7,4,2,2,8,8.696
7,4,2,2,8,8.696
7,4,2,2,8,8.696
7,4,2,2,8,8.696
7,4,2,2,8,8.696
9,3,2,2,3,2.193
9,3,2,2,3,2.193
9,3,2,2,3,2.193
9,3,2,2,3,2.193
9,18,2,2,1,2.323
9,18,2,2,1,2.323
9,18,2,2,1,2.323
9,18,2,2,1,2.323
10,4,2,2,3,1.407
10,4,2,2,3,1.407
10,4,2,2,3,1.407
10,4,2,2,3,1.407
10,4,2,2,3,1.407
10,4,2,2,3,1.407
10,372,2,2,3,2.415
10,372,2,2,3,2.415
15,4,2,2,7,7.201
15,4,2,2,7,7.201
15,4,2,2,7,7.201
15,4,2,2,7,7.201
15,4,2,2,7,7.201
15,4,2,2,7,7.201
15,4,2,2,7,7.201
15,4,2,2,7,7.201
15,4,2,2,7,7.201
15,19,2,2,6,3.721
15,19,2,2,6,3.721
15,19,2,2,6,3.721
15,19,2,2,6,3.721
15,19,2,2,6,3.721
15,19,2,2,6,3.721
15,372,2,2,5,4.307
15,372,2,2,5,4.307
15,372,2,2,5,4.307
16,17,2,2,2,0.891
16,17,2,2,2,0.891
16,17,2,2,2,0.891
16,17,2,2,2,0.891
16,18,2,2,3,1.669
16,18,2,2,3,1.669
16,18,2,2,3,1.669
16,18,2,2,3,1.669
17,1,2,2,3,3.484
17,1,2,2,3,3.484
17,1,2,2,3,3.484
17,1,2,2,3,3.484
17,1,2,2,3,3.484
17,1,2,2,3,3.484
17,6,2,2,14,7.989
17,6,2,2,14,7.989
17,6,2,2,14,7.989
17,6,2,2,14,7.989
17,16,2,2,2,0.891
17,16,2,2,2,0.891
17,16,2,2,2,0.891
17,16,2,2,2,0.891
18,3,2,2,4,4.475
18,3,2,2,4,4.475
18,3,2,2,4,4.475
18,3,2,2,4,4.475
18,4,2,2,7,6.853
18,4,2,2,7,6.853
18,4,2,2,7,6.853
18,4,2,2,7,6.853
18,4,2,2,7,6.853
18,4,2,2,7,6.853
18,9,2,2,3,2.323
18,9,2,2,3,2.323
18,9,2,2,3,2.323
18,9,2,2,3,2.323
18,16,2,2,3,1.669
18,16,2,2,3,1.669
18,16,2,2,3,1.669
18,16,2,2,3,1.669
18,17,2,2,5,2.56
18,17,2,2,5,2.56
18,17,2,2,5,2.56
18,17,2,2,5,2.56
19,15,2,2,6,3.721
19,15,2,2,6,3.721
19,15,2,2,6,3.721
19,15,2,2,6,3.721
19,15,2,2,6,3.721
19,15,2,2,6,3.721
19,22,2,2,4,3.427
19,22,2,2,4,3.427
19,22,2,2,4,3.427
19,22,2,2,4,3.427
22,5,2,2,4,3.168
22,5,2,2,4,3.168
22,5,2,2,4,3.168
22,5,2,2,4,3.168
22,19,2,2,4,3.427
22,19,2,2,4,3.427
22,19,2,2,4,3.427
22,19,2,2,4,3.427
372,10,2,2,3,2.415
372,10,2,2,3,2.415
372,15,2,2,5,4.307
372,15,2,2,5,4.307
372,15,2,2,5,4.307
1,2,4,4,5,1.913
1,2,4,4,5,1.913
1,2,4,4,5,1.913
1,2,4,4,5,1.913
1,2,4,4,5,1.913
1,2,4,4,5,1.913
1,2,4,4,5,1.913
1,2,4,4,5,1.913
1,2,4,4,5,1.913
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
1,499,4,4,12,4.062
2,1,4,4,6,1.913
2,1,4,4,6,1.913
2,1,4,4,6,1.913
2,1,4,4,6,1.913
2,1,4,4,6,1.913
2,1,4,4,6,1.913
2,1,4,4,6,1.913
2,1,4,4,6,1.913
2,1,4,4,6,1.913
2,1595,4,4,5,3.937
2,1595,4,4,5,3.937
2,1595,4,4,5,3.937
2,1595,4,4,5,3.937
2,1595,4,4,5,3.937
2,1595,4,4,5,3.937
4,15,4,4,15,7.201
4,15,4,4,15,7.201
4,15,4,4,15,7.201
4,15,4,4,15,7.201
4,15,4,4,15,7.201
4,15,4,4,15,7.201
4,15,4,4,15,7.201
4,15,4,4,15,7.201
4,15,4,4,15,7.201
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
4,499,4,4,10,9.335
15,4,4,4,15,7.201
15,4,4,4,15,7.201
15,4,4,4,15,7.201
15,4,4,4,15,7.201
15,4,4,4,15,7.201
15,4,4,4,15,7.201
15,4,4,4,15,7.201
15,4,4,4,15,7.201
15,4,4,4,15,7.201
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,1,4,4,5,4.062
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
499,4,4,4,15,9.335
1595,2,4,4,7,3.937
1595,2,4,4,7,3.937
1595,2,4,4,7,3.937
1595,2,4,4,7,3.937
1595,2,4,4,7,3.937
1595,2,4,4,7,3.937
1,2,5,5,4,1.913
1,2,5,5,4,1.913
1,2,5,5,4,1.913
1,2,5,5,4,1.913
1,2,5,5,4,1.913
1,2,5,5,4,1.913
1,2,5,5,4,1.913
1,2,5,5,4,1.913
1,2,5,5,4,1.913
1,78,5,5,3,1.438
1,78,5,5,3,1.438
1,78,5,5,3,1.438
1,420,5,5,1,0.36
1,420,5,5,1,0.36
1,420,5,5,1,0.36
1,906,5,5,5,1.086
1,906,5,5,5,1.086
1,906,5,5,5,1.086
1,1039,5,5,3,0.691
1,1039,5,5,3,0.691
1,1039,5,5,3,0.691
1,1480,5,5,1,0.337
1,1480,5,5,1,0.337
1,1480,5,5,1,0.337
2,1,5,5,5,1.913
2,1,5,5,5,1.913
2,1,5,5,5,1.913
2,1,5,5,5,1.913
2,1,5,5,5,1.913
2,1,5,5,5,1.913
2,1,5,5,5,1.913
2,1,5,5,5,1.913
2,1,5,5,5,1.913
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,61,5,5,1,0.455
2,61,5,5,1,0.455
2,61,5,5,1,0.455
2,62,5,5,4,0.712
2,62,5,5,4,0.712
2,62,5,5,4,0.712
2,150,5,5,5,1.057
2,150,5,5,5,1.057
2,150,5,5,5,1.057
2,816,5,5,1,0.346
2,816,5,5,1,0.346
2,816,5,5,1,0.346
2,1040,5,5,1,0.314
2,1040,5,5,1,0.314
2,1040,5,5,1,0.314
2,1394,5,5,2,0.385
2,1394,5,5,2,0.385
2,1394,5,5,2,0.385
2,1395,5,5,1,0.43
2,1395,5,5,1,0.43
2,1395,5,5,1,0.43
2,1399,5,5,1,0.409
2,1399,5,5,1,0.409
2,1399,5,5,1,0.409
2,1695,5,5,1,0.462
2,1695,5,5,1,0.462
2,1695,5,5,1,0.462
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,508,5,5,1,0.341
3,508,5,5,1,0.341
3,581,5,5,1,0.294
3,581,5,5,1,0.294
