nodeid,lat,lon,layer
1,53.82455,-2.23695,4
1,53.82455,-2.23695,2
1,53.82455,-2.23695,5
2,53.83502,-2.21376,4
2,53.83502,-2.21376,2
2,53.83502,-2.21376,5
3,53.77215,-2.3459,5
3,53.77215,-2.3459,2
4,53.7532,-2.37001,4
4,53.7532,-2.37001,2
4,53.7532,-2.37001,5
5,53.82425,-2.41226,2
5,53.82425,-2.41226,5
6,53.85485,-2.18117,5
6,53.85485,-2.18117,2
7,53.78498,-2.24887,2
7,53.78498,-2.24887,5
8,53.73253,-2.15466,5
9,53.78176,-2.31669,5
9,53.78176,-2.31669,2
10,53.75035,-2.39091,5
10,53.75035,-2.39091,2
11,53.73301,-2.14493,5
12,53.7325,-2.14035,5
13,53.72736,-2.12795,5
14,53.72708,-2.12194,5
15,53.74653,-2.47913,4
15,53.74653,-2.47913,2
15,53.74653,-2.47913,5
16,53.79125,-2.25801,2
16,53.79125,-2.25801,5
17,53.79352,-2.24497,2
17,53.79352,-2.24497,5
18,53.7867,-2.28227,5
18,53.7867,-2.28227,2
19,53.78005,-2.47875,2
19,53.78005,-2.47875,5
20,53.73135,-2.15243,5
21,53.73163,-2.15001,5
22,53.80498,-2.44791,5
22,53.80498,-2.44791,2
23,53.73138,-2.13301,5
24,53.72987,-2.13026,5
25,53.73231,-2.13849,5
26,53.83002,-2.61745,5
27,53.77622,-2.25528,5
28,53.76067,-2.46445,5
29,53.75895,-2.46609,5
30,53.76242,-2.46285,5
31,53.76224,-2.4637,5
32,53.76141,-2.46147,5
33,53.76236,-2.45913,5
34,53.76238,-2.45944,5
35,53.76092,-2.46019,5
36,53.76089,-2.46042,5
37,53.79087,-2.35208,5
38,53.79547,-2.34044,5
39,53.78924,-2.35704,5
40,53.79068,-2.35273,5
41,53.80082,-2.32345,5
42,53.7867,-2.35948,5
43,53.79885,-2.30813,5
44,53.79881,-2.3086,5
45,53.79534,-2.27341,5
46,53.78522,-2.20681,5
47,53.79231,-2.23258,5
48,53.79738,-2.23927,5
49,53.77452,-2.5238,5
50,53.84909,-2.22831,5
51,53.854,-2.21314,5
52,53.85552,-2.21047,5
53,53.84878,-2.21726,5
54,53.85051,-2.21671,5
55,53.85072,-2.21645,5
56,53.85236,-2.21614,5
57,53.85598,-2.21043,5
58,53.85853,-2.20833,5
59,53.81507,-2.51424,5
60,53.75492,-2.47308,5
61,53.83126,-2.21096,5
62,53.82957,-2.20802,5
63,53.82845,-2.21511,5
64,53.83104,-2.21144,5
65,53.83212,-2.20867,5
66,53.82892,-2.20532,5
67,53.74333,-2.6185,5
68,53.84517,-2.21937,5
69,53.77093,-2.19346,5
70,53.84368,-2.2212,5
71,53.83546,-2.2283,5
72,53.75836,-2.37569,5
73,53.74653,-2.38443,5
74,53.74969,-2.37055,5
75,53.80979,-2.23452,5
76,53.80599,-2.23385,5
77,53.81242,-2.23518,5
78,53.81166,-2.23472,5
79,53.80357,-2.23488,5
80,53.80136,-2.23574,5
81,53.80604,-2.23409,5
82,53.80361,-2.23454,5
83,53.80171,-2.23606,5
84,53.79965,-2.23769,5
85,53.81257,-2.20208,5
86,53.75357,-2.38941,5
87,53.77649,-2.38331,5
88,53.7774,-2.38885,5
89,53.7714,-2.38139,5
90,53.74828,-2.5107,5
91,53.74566,-2.504,5
92,53.74185,-2.10924,5
93,53.92221,-2.18279,5
94,53.78016,-2.27233,5
95,53.78267,-2.38239,5
96,53.77398,-2.2588,5
97,53.77481,-2.26374,5
98,53.78113,-2.27419,5
99,53.74267,-2.28353,5
100,53.79777,-2.28133,5
101,53.74345,-2.2831,5
102,53.7936,-2.2649,5
103,53.8185,-2.54522,5
104,53.7628,-2.46243,5
105,53.76065,-2.46426,5
106,53.7586,-2.45792,5
107,53.75877,-2.45782,5
108,53.75909,-2.46004,5
109,53.75927,-2.45993,5
110,53.78992,-2.30893,5
111,53.80117,-2.31375,5
112,53.7973,-2.33227,5
113,53.79572,-2.33981,5
114,53.79886,-2.32527,5
115,53.79798,-2.32939,5
116,53.79991,-2.32261,5
117,53.79972,-2.32277,5
118,53.80186,-2.31763,5
119,53.801,-2.32002,5
120,53.79084,-2.25097,5
121,53.81098,-2.22742,5
122,53.76139,-2.38276,5
123,53.85222,-2.21594,5
124,53.85782,-2.18222,5
125,53.84513,-2.13536,5
126,53.84967,-2.1384,5
127,53.8534,-2.14029,5
128,53.85716,-2.14247,5
129,53.84839,-2.21761,5
130,53.84667,-2.21833,5
131,53.80623,-2.61897,5
132,53.80861,-2.22392,5
133,53.80834,-2.22408,5
134,53.80313,-2.22773,5
135,53.86018,-2.14148,5
136,53.91163,-2.1805,5
137,53.78202,-2.29426,5
138,53.77727,-2.25267,5
139,53.82606,-2.21292,5
140,53.81945,-2.22209,5
141,53.83975,-2.19231,5
142,53.83804,-2.19432,5
143,53.82799,-2.21617,5
144,53.84357,-2.23763,5
145,53.85745,-2.16858,5
146,53.85925,-2.16763,5
147,53.85941,-2.1677,5
148,53.85743,-2.16867,5
149,53.77112,-2.25839,5
150,53.8302,-2.19983,5
151,53.75409,-2.507,5
152,53.75427,-2.50225,5
153,53.82968,-2.26935,5
154,53.83391,-2.26083,5
155,53.83638,-2.25526,5
156,53.83672,-2.25473,5
157,53.83392,-2.26061,5
158,53.83549,-2.25767,5
159,53.84268,-2.24509,5
160,53.84368,-2.23766,5
161,53.75338,-2.19108,5
162,53.79532,-2.34165,5
163,53.76618,-2.34879,5
164,53.79004,-2.47466,5
165,53.82779,-2.56152,5
166,53.80642,-2.61882,5
167,53.75687,-2.3932,5
168,53.765,-2.37917,5
169,53.7927,-2.46561,5
170,53.79579,-2.45868,5
171,53.76355,-2.47283,5
172,53.76599,-2.47833,5
173,53.77174,-2.47257,5
174,53.7641,-2.47435,5
175,53.77054,-2.48855,5
176,53.77173,-2.48568,5
177,53.81691,-2.42011,5
178,53.81803,-2.41215,5
179,53.74308,-2.49307,5
180,53.85517,-2.18586,5
181,53.83447,-2.59185,5
182,53.84993,-2.18975,5
183,53.8644,-2.16488,5
184,53.86168,-2.16271,5
185,53.79573,-2.31347,5
186,53.79888,-2.31164,5
187,53.79628,-2.31382,5
188,53.79025,-2.30417,5
189,53.80169,-2.31769,5
190,53.78982,-2.30899,5
191,53.76553,-2.34123,5
192,53.85398,-2.20957,5
193,53.80372,-2.22377,5
194,53.8489,-2.22886,5
195,53.82957,-2.21361,5
196,53.79191,-2.26696,5
197,53.79514,-2.27275,5
198,53.79456,-2.26204,5
199,53.79358,-2.26398,5
200,53.79342,-2.2641,5
201,53.79606,-2.27495,5
202,53.79635,-2.27682,5
203,53.79661,-2.29409,5
204,53.80026,-2.22813,5
205,53.78777,-2.2047,5
206,53.75358,-2.47378,5
207,53.75377,-2.47419,5
208,53.75306,-2.47109,5
209,53.75298,-2.47133,5
210,53.75257,-2.47287,5
211,53.75258,-2.47318,5
212,53.75443,-2.47259,5
213,53.85904,-2.15019,5
214,53.85876,-2.15008,5
215,53.84213,-2.22855,5
216,53.84232,-2.22721,5
217,53.78645,-2.27097,5
218,53.76534,-2.41613,5
219,53.78056,-2.41092,5
220,53.92323,-2.17758,5
221,53.81007,-2.22964,5
222,53.80659,-2.44495,5
223,53.75117,-2.41627,5
224,53.81151,-2.22273,5
225,53.81773,-2.23591,5
226,53.78731,-2.47651,5
227,53.76395,-2.49688,5
228,53.76517,-2.50197,5
229,53.76533,-2.50213,5
230,53.76126,-2.49305,5
231,53.76141,-2.49283,5
232,53.79923,-2.31182,5
233,53.7992,-2.31128,5
234,53.80022,-2.31327,5
235,53.80101,-2.31965,5
236,53.80504,-2.31622,5
237,53.81118,-2.2451,5
238,53.79214,-2.28478,5
239,53.76425,-2.34664,5
240,53.77457,-2.31376,5
241,53.78476,-2.23027,5
242,53.82894,-2.40427,5
243,53.81581,-2.42357,5
244,53.79838,-2.4981,5
245,53.83695,-2.40247,5
246,53.77658,-2.37335,5
247,53.76631,-2.34911,5
248,53.7675,-2.33588,5
249,53.76939,-2.35279,5
250,53.74009,-2.6154,5
251,53.73994,-2.61448,5
252,53.80336,-2.23633,5
253,53.77068,-2.48872,5
254,53.7662,-2.4745,5
255,53.77088,-2.47496,5
256,53.76608,-2.47463,5
257,53.7712,-2.47944,5
258,53.771,-2.47487,5
259,53.76887,-2.47708,5
260,53.77184,-2.47254,5
261,53.78449,-2.20427,5
262,53.7564,-2.19557,5
263,53.77034,-2.22663,5
264,53.78733,-2.20945,5
265,53.82714,-2.21419,5
266,53.84043,-2.21406,5
267,53.81538,-2.42765,5
268,53.83339,-2.41674,5
269,53.83099,-2.40444,5
270,53.81111,-2.43277,5
271,53.75583,-2.35674,5
272,53.74596,-2.18163,5
273,53.74462,-2.17876,5
274,53.73887,-2.16592,5
275,53.75861,-2.19781,5
276,53.75447,-2.1934,5
277,53.79197,-2.31371,5
278,53.79391,-2.31442,5
279,53.80867,-2.23994,5
280,53.80934,-2.61353,5
281,53.81489,-2.42587,5
282,53.74764,-2.38721,5
283,53.79769,-2.33029,5
284,53.72302,-2.19771,5
285,53.76338,-2.46377,5
286,53.76348,-2.46357,5
287,53.7591,-2.46621,5
288,53.78222,-2.29681,5
289,53.79645,-2.29723,5
290,53.79108,-2.28984,5
291,53.79715,-2.28944,5
292,53.79747,-2.28545,5
293,53.79731,-2.28533,5
294,53.79663,-2.28136,5
295,53.80712,-2.23949,5
296,53.75444,-2.47229,5
297,53.86215,-2.13045,5
298,53.85924,-2.14566,5
299,53.85931,-2.14742,5
300,53.86224,-2.13211,5
301,53.86213,-2.13318,5
302,53.86208,-2.15557,5
303,53.86203,-2.15566,5
304,53.85884,-2.16308,5
305,53.86021,-2.15451,5
306,53.77563,-2.54765,5
307,53.77592,-2.24896,5
308,53.79388,-2.28681,5
309,53.78064,-2.41107,5
310,53.81261,-2.19982,5
311,53.79869,-2.63492,5
312,53.7852,-2.21573,5
313,53.78044,-2.23512,5
314,53.79486,-2.23292,5
315,53.8063,-2.22289,5
316,53.77391,-2.2307,5
317,53.78466,-2.20535,5
318,53.811,-2.21535,5
319,53.85206,-2.18373,5
320,53.77881,-2.26795,5
321,53.7876,-2.1906,5
322,53.78939,-2.28115,5
323,53.84201,-2.21604,5
324,53.74889,-2.27017,5
325,53.78634,-2.21029,5
326,53.754,-2.47515,5
327,53.75974,-2.48345,5
328,53.75974,-2.48266,5
329,53.75999,-2.47776,5
330,53.76119,-2.47804,5
331,53.75569,-2.47022,5
332,53.79199,-2.28454,5
333,53.79363,-2.29584,5
