ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
18,132,4,4,10,5.216
18,132,4,4,10,5.216
18,132,4,4,10,5.216
18,132,4,4,10,5.216
65,76,4,4,5,1.207
65,76,4,4,5,1.207
65,76,4,4,5,1.207
65,76,4,4,5,1.207
65,179,4,4,5,1.717
65,179,4,4,5,1.717
65,179,4,4,5,1.717
65,179,4,4,5,1.717
76,65,4,4,5,1.207
76,65,4,4,5,1.207
76,65,4,4,5,1.207
76,65,4,4,5,1.207
76,217,4,4,10,4.613
76,217,4,4,10,4.613
76,217,4,4,10,4.613
76,217,4,4,10,4.613
132,65,4,4,5,1.39
132,65,4,4,5,1.39
132,65,4,4,5,1.39
132,65,4,4,5,1.39
179,18,4,4,10,4.916
179,18,4,4,10,4.916
179,18,4,4,10,4.916
179,18,4,4,10,4.916
217,76,4,4,10,4.613
217,76,4,4,10,4.613
217,76,4,4,10,4.613
217,76,4,4,10,4.613
1,60,5,5,1,0.199
1,171,5,5,1,0.514
1,219,5,5,1,0.32
2,68,5,5,1,0.22
2,98,5,5,1,0.268
3,177,5,5,1,0.177
3,209,5,5,1,0.131
4,82,5,5,1,0.353
4,161,5,5,1,0.4
5,163,5,5,1,0.454
5,168,5,5,1,0.314
6,164,5,5,1,0.25
6,165,5,5,1,0.224
6,189,5,5,1,0.439
7,70,5,5,1,0.239
7,86,5,5,1,1.344
7,124,5,5,2,1.472
8,144,5,5,1,0.45
8,145,5,5,1,0.591
9,65,5,5,1,0.311
9,65,5,5,1,0.311
9,148,5,5,1,0.191
10,11,5,5,1,0.16
10,219,5,5,1,0.125
11,10,5,5,1,0.16
11,14,5,5,1,0.147
12,66,5,5,1,0.29
12,104,5,5,1,0.288
13,68,5,5,1,0.211
13,194,5,5,1,0.18
14,11,5,5,1,0.147
14,98,5,5,1,0.128
15,51,5,5,1,0.253
15,129,5,5,1,0.391
15,199,5,5,1,0.123
15,222,5,5,1,0.46
16,124,5,5,1,0.509
16,174,5,5,1,0.147
16,222,5,5,1,0.44
17,134,5,5,1,0.333
17,143,5,5,1,0.531
