nodeid,lat,lon,layer
1,52.78701,-1.57553,5
2,52.77971,-1.58535,5
3,52.71393,-1.57601,5
4,52.72041,-1.57677,5
5,52.78381,-1.51737,5
6,52.76555,-1.52667,5
7,52.75519,-1.59948,5
8,52.82272,-1.60277,5
9,52.77708,-1.55725,5
10,52.78406,-1.57994,5
11,52.78267,-1.57927,5
12,52.78307,-1.58488,5
13,52.77808,-1.5801,5
14,52.78148,-1.58024,5
15,52.76964,-1.57269,5
16,52.76936,-1.58392,5
17,52.74685,-1.49166,5
18,52.7471,-1.47167,4
18,52.7471,-1.47167,5
19,52.74816,-1.47957,5
20,52.7464,-1.47528,5
21,52.74611,-1.47967,5
22,52.76893,-1.5544,5
23,52.77094,-1.55411,5
24,52.77002,-1.55928,5
25,52.76656,-1.55776,5
26,52.82806,-1.58226,5
27,52.82624,-1.59176,5
28,52.74598,-1.51619,5
29,52.79941,-1.57433,5
30,52.76519,-1.56662,5
31,52.76504,-1.56815,5
32,52.76227,-1.58988,5
33,52.76811,-1.59299,5
34,52.75968,-1.57336,5
35,52.76518,-1.55928,5
36,52.77586,-1.53857,5
37,52.77163,-1.53709,5
38,52.77239,-1.53103,5
39,52.7742,-1.52871,5
40,52.72591,-1.58867,5
41,52.72416,-1.6028,5
42,52.76061,-1.56432,5
43,52.76332,-1.55934,5
44,52.73588,-1.56415,5
45,52.74221,-1.5518,5
46,52.74105,-1.53766,5
47,52.73683,-1.5344,5
48,52.73809,-1.53175,5
49,52.73982,-1.52759,5
50,52.74152,-1.52352,5
51,52.76812,-1.57551,5
52,52.7786,-1.55376,5
53,52.77403,-1.56843,5
54,52.77306,-1.57485,5
55,52.78093,-1.56295,5
56,52.7992,-1.58681,5
57,52.79506,-1.57857,5
58,52.72626,-1.47038,5
59,52.74102,-1.48198,5
60,52.78525,-1.57613,5
61,52.78728,-1.57912,5
62,52.75581,-1.58205,5
63,52.78702,-1.55667,5
64,52.78466,-1.56128,5
65,52.77447,-1.55896,4
65,52.77447,-1.55896,5
66,52.78417,-1.58096,5
67,52.74064,-1.47334,5
68,52.77819,-1.58324,5
69,52.78173,-1.54882,5
70,52.75308,-1.59873,5
71,52.77955,-1.54438,5
72,52.77962,-1.54876,5
73,52.78563,-1.56659,5
74,52.78283,-1.57123,5
75,52.78392,-1.57017,5
76,52.78354,-1.56887,4
76,52.78354,-1.56887,5
77,52.77956,-1.55073,5
78,52.77757,-1.5518,5
79,52.78318,-1.56295,5
80,52.7852,-1.56396,5
81,52.73187,-1.55178,5
82,52.71725,-1.57743,5
83,52.73706,-1.5621,5
84,52.73796,-1.55939,5
85,52.7334,-1.56926,5
86,52.76691,-1.59446,5
87,52.77986,-1.55961,5
88,52.7492,-1.46375,5
89,52.76738,-1.50835,5
90,52.78203,-1.54713,5
91,52.72818,-1.5785,5
92,52.78319,-1.54942,5
93,52.78845,-1.51859,5
94,52.7906,-1.51354,5
95,52.77517,-1.52759,5
96,52.74428,-1.5181,5
97,52.7462,-1.51716,5
98,52.78104,-1.58201,5
99,52.73911,-1.55549,5
100,52.75865,-1.57615,5
101,52.77903,-1.59073,5
102,52.77889,-1.57161,5
103,52.77942,-1.57233,5
104,52.78081,-1.58701,5
105,52.77777,-1.57407,5
106,52.78033,-1.57392,5
107,52.78264,-1.57328,5
108,52.75971,-1.5866,5
109,52.75057,-1.48431,5
110,52.75333,-1.48757,5
111,52.7564,-1.49042,5
112,52.74434,-1.47443,5
113,52.74021,-1.48079,5
114,52.74553,-1.46251,5
115,52.74841,-1.46746,5
116,52.75112,-1.45666,5
117,52.73495,-1.5645,5
118,52.746,-1.59054,5
119,52.82881,-1.57952,5
120,52.74626,-1.51082,5
121,52.72828,-1.46644,5
122,52.73264,-1.46576,5
123,52.77511,-1.5247,5
124,52.76736,-1.59075,5
125,52.76689,-1.5729,5
126,52.76853,-1.55928,5
127,52.77252,-1.55949,5
128,52.77115,-1.5507,5
129,52.77122,-1.56748,5
130,52.77415,-1.55425,5
131,52.77404,-1.55227,5
132,52.76931,-1.54009,4
132,52.76931,-1.54009,5
133,52.76948,-1.54528,5
134,52.74593,-1.49638,5
135,52.74743,-1.59448,5
136,52.74744,-1.59922,5
137,52.82734,-1.58436,5
138,52.76688,-1.51837,5
139,52.78421,-1.56856,5
140,52.76654,-1.55448,5
141,52.74998,-1.4853,5
142,52.73847,-1.46674,5
143,52.74601,-1.48388,5
144,52.82607,-1.59899,5
145,52.81828,-1.60765,5
146,52.78421,-1.55258,5
147,52.7823,-1.56636,5
148,52.7788,-1.55735,5
149,52.7801,-1.5572,5
150,52.78571,-1.56066,5
151,52.78267,-1.56065,5
