ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,2,2,2,3,3.225
1,2,2,2,3,3.225
1,2,2,2,3,3.225
1,2,2,2,3,3.225
1,3,2,2,4,2.935
1,3,2,2,4,2.935
1,3,2,2,4,2.935
1,3,2,2,4,2.935
2,1,2,2,4,3.225
2,1,2,2,4,3.225
2,1,2,2,4,3.225
2,1,2,2,4,3.225
3,1,2,2,3,2.935
3,1,2,2,3,2.935
3,1,2,2,3,2.935
3,1,2,2,3,2.935
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,316,5,5,1,0.252
1,316,5,5,1,0.252
1,357,5,5,1,0.267
1,357,5,5,1,0.267
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,109,5,5,1,0.378
2,109,5,5,1,0.378
2,180,5,5,1,0.739
2,180,5,5,1,0.739
2,460,5,5,1,0.318
2,460,5,5,1,0.318
2,486,5,5,1,0.344
2,486,5,5,1,0.344
2,512,5,5,1,0.705
2,512,5,5,1,0.705
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,10,5,5,1,0.348
3,10,5,5,1,0.348
3,13,5,5,3,0.558
3,13,5,5,3,0.558
3,57,5,5,1,0.459
3,57,5,5,1,0.459
3,153,5,5,1,0.422
3,153,5,5,1,0.422
3,230,5,5,1,0.411
3,230,5,5,1,0.411
3,304,5,5,1,0.711
3,304,5,5,1,0.711
3,529,5,5,1,0.431
3,529,5,5,1,0.431
3,537,5,5,1,0.504
3,537,5,5,1,0.504
4,375,5,5,1,0.334
5,516,5,5,1,0.273
6,547,5,5,1,0.297
7,552,5,5,1,0.428
8,495,5,5,1,0.371
9,189,5,5,1,0.376
10,438,5,5,1,0.067
11,3,5,5,2,0.35
11,3,5,5,2,0.35
12,241,5,5,1,0.55
13,87,5,5,2,0.135
13,237,5,5,1,0.191
14,36,5,5,1,0.149
15,312,5,5,2,0.631
16,329,5,5,1,0.187
17,442,5,5,1,0.291
