nodeid,lat,lon,layer
1,52.68618,-2.02215,5
1,52.68618,-2.02215,2
2,52.65714,-2.02065,2
2,52.65714,-2.02065,5
3,52.70973,-2.00232,5
3,52.70973,-2.00232,2
4,52.70776,-1.93917,5
5,52.69972,-2.03572,5
6,52.69889,-2.03503,5
7,52.72559,-2.04119,5
8,52.68984,-1.98945,5
9,52.68937,-1.99075,5
10,52.71204,-2.00582,5
11,52.71213,-2.00571,5
12,52.70757,-1.93859,5
13,52.71469,-2.00372,5
14,52.69136,-1.93354,5
15,52.69198,-1.93369,5
16,52.69387,-2.03002,5
17,52.68971,-2.03514,5
18,52.70379,-1.93324,5
19,52.68257,-2.02922,5
20,52.69784,-1.99424,5
21,52.69484,-2.0414,5
22,52.69526,-2.02163,5
23,52.67667,-2.02946,5
24,52.72558,-2.0417,5
25,52.69224,-1.99535,5
26,52.71517,-1.99745,5
27,52.71539,-1.9971,5
28,52.68965,-1.99482,5
29,52.70306,-2.01373,5
30,52.70326,-2.01382,5
31,52.70799,-2.01835,5
32,52.70815,-2.01846,5
33,52.69936,-2.02159,5
34,52.69917,-2.02217,5
35,52.68992,-1.93376,5
36,52.69001,-1.93356,5
37,52.6727,-1.97342,5
38,52.71788,-2.00773,5
39,52.71793,-2.00798,5
40,52.69292,-2.04391,5
41,52.69292,-2.04362,5
42,52.71121,-2.02029,5
43,52.68179,-2.03356,5
44,52.68185,-2.03315,5
45,52.68916,-1.9814,5
46,52.68951,-1.98182,5
47,52.69003,-1.99657,5
48,52.68982,-1.99689,5
49,52.66181,-2.0312,5
50,52.70297,-2.01499,5
51,52.70256,-2.01598,5
52,52.69803,-2.02674,5
53,52.69807,-2.02699,5
54,52.67591,-2.05011,5
55,52.68309,-1.94445,5
56,52.68337,-1.94538,5
57,52.70709,-1.99705,5
58,52.70676,-1.99722,5
59,52.71711,-2.00684,5
60,52.66167,-2.03469,5
61,52.71143,-2.04071,5
62,52.71167,-2.04106,5
63,52.68107,-2.03571,5
64,52.68105,-2.0355,5
65,52.68739,-1.97846,5
66,52.71778,-1.99771,5
67,52.71748,-1.99685,5
68,52.66664,-2.03022,5
69,52.66685,-2.03095,5
70,52.66221,-2.0115,5
71,52.66198,-2.01159,5
72,52.69331,-1.98688,5
