ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
2,4,2,2,3,2.405
2,4,2,2,3,2.405
2,4,2,2,3,2.405
2,4,2,2,3,2.405
2,4,2,2,3,2.405
2,4,2,2,3,2.405
2,9,2,2,3,3.5
2,9,2,2,3,3.5
2,9,2,2,3,3.5
2,9,2,2,3,3.5
3,8,2,2,4,4.966
3,8,2,2,4,4.966
3,8,2,2,4,4.966
3,8,2,2,4,4.966
3,8,2,2,4,4.966
3,8,2,2,4,4.966
4,2,2,2,3,2.405
4,2,2,2,3,2.405
4,2,2,2,3,2.405
4,2,2,2,3,2.405
4,2,2,2,3,2.405
4,2,2,2,3,2.405
4,9,2,2,5,5.905
4,9,2,2,5,5.905
4,9,2,2,5,5.905
4,9,2,2,5,5.905
4,9,2,2,5,5.905
4,9,2,2,5,5.905
8,3,2,2,5,4.966
8,3,2,2,5,4.966
8,3,2,2,5,4.966
8,3,2,2,5,4.966
8,3,2,2,5,4.966
8,3,2,2,5,4.966
9,2,2,2,3,3.5
9,2,2,2,3,3.5
9,2,2,2,3,3.5
9,2,2,2,3,3.5
9,4,2,2,5,5.905
9,4,2,2,5,5.905
9,4,2,2,5,5.905
9,4,2,2,5,5.905
9,4,2,2,5,5.905
9,4,2,2,5,5.905
1,4,4,4,7,5.421
1,4,4,4,7,5.421
1,4,4,4,7,5.421
1,4,4,4,7,5.421
1,4,4,4,7,5.421
1,4,4,4,7,5.421
1,6,4,4,3,1.16
1,6,4,4,3,1.16
1,6,4,4,3,1.16
1,6,4,4,3,1.16
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,63,4,4,10,1.295
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
3,419,4,4,5,3.095
4,1,4,4,6,5.421
4,1,4,4,6,5.421
4,1,4,4,6,5.421
4,1,4,4,6,5.421
4,1,4,4,6,5.421
4,1,4,4,6,5.421
6,1,4,4,3,1.16
6,1,4,4,3,1.16
6,1,4,4,3,1.16
6,1,4,4,3,1.16
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
63,3,4,4,10,1.295
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
419,3,4,4,10,3.095
1,2,5,5,5,3.019
1,2,5,5,5,3.019
1,2,5,5,5,3.019
1,2,5,5,5,3.019
1,85,5,5,1,0.107
1,85,5,5,1,0.107
1,126,5,5,9,5.009
1,126,5,5,9,5.009
1,183,5,5,4,0.519
1,183,5,5,4,0.519
1,233,5,5,1,0.375
1,233,5,5,1,0.375
1,258,5,5,1,0.305
1,258,5,5,1,0.305
1,302,5,5,1,0.404
1,302,5,5,1,0.404
1,384,5,5,4,1.656
1,384,5,5,4,1.656
1,403,5,5,2,0.773
1,403,5,5,2,0.773
1,411,5,5,3,0.396
1,411,5,5,3,0.396
2,1,5,5,5,3.019
2,1,5,5,5,3.019
2,1,5,5,5,3.019
2,1,5,5,5,3.019
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,126,5,5,4,2.146
2,126,5,5,4,2.146
2,152,5,5,1,0.583
2,152,5,5,1,0.583
2,233,5,5,5,2.831
2,233,5,5,5,2.831
2,383,5,5,1,0.521
2,383,5,5,1,0.521
2,465,5,5,1,0.513
2,465,5,5,1,0.513
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,60,5,5,1,0.368
3,60,5,5,1,0.368
3,60,5,5,1,0.368
3,98,5,5,2,0.91
3,98,5,5,2,0.91
3,98,5,5,2,0.91
3,171,5,5,2,1.121
3,171,5,5,2,1.121
3,171,5,5,2,1.121
3,205,5,5,1,0.285
3,205,5,5,1,0.285
3,205,5,5,1,0.285
3,225,5,5,1,0.278
3,225,5,5,1,0.278
3,225,5,5,1,0.278
3,254,5,5,1,1.206
3,254,5,5,1,1.206
3,254,5,5,1,1.206
3,485,5,5,2,0.962
3,485,5,5,2,0.962
3,485,5,5,2,0.962
3,486,5,5,1,0.961
3,486,5,5,1,0.961
3,486,5,5,1,0.961
3,488,5,5,3,0.977
3,488,5,5,3,0.977
3,488,5,5,3,0.977
3,553,5,5,1,1.215
3,553,5,5,1,1.215
3,553,5,5,1,1.215
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,19,5,5,1,0.587
4,19,5,5,1,0.587
4,19,5,5,1,0.587
4,358,5,5,1,0.379
4,358,5,5,1,0.379
4,358,5,5,1,0.379
5,5,5,5,1,0.0
5,339,5,5,1,1.011
5,344,5,5,8,1.173
5,477,5,5,2,0.862
5,489,5,5,2,1.006
5,517,5,5,1,0.055
5,520,5,5,1,0.381
6,251,5,5,1,0.212
6,251,5,5,1,0.212
6,284,5,5,1,0.509
