nodeid,lat,lon,layer
1,51.36559,1.11045,4
1,51.36559,1.11045,5
2,51.36033,1.06771,2
2,51.36033,1.06771,5
3,51.28427,1.07531,5
3,51.28427,1.07531,2
3,51.28427,1.07531,4
4,51.35758,1.0333,5
4,51.35758,1.0333,2
4,51.35758,1.0333,4
5,51.26273,1.10134,5
6,51.3712,1.12457,4
6,51.3712,1.12457,5
7,51.34179,1.11992,5
8,51.26136,1.13672,2
8,51.26136,1.13672,5
9,51.36459,1.11774,5
9,51.36459,1.11774,2
10,51.35223,1.05158,5
11,51.34966,1.01023,5
12,51.27643,1.08166,5
13,51.27745,1.0904,5
14,51.29966,1.07017,5
15,51.35811,1.14841,5
16,51.26511,1.09978,5
17,51.26523,1.09935,5
18,51.33834,1.11973,5
19,51.35587,1.04132,5
20,51.32003,1.11824,5
21,51.35834,1.13879,5
22,51.35151,1.13621,5
23,51.356,1.13668,5
24,51.35709,1.13599,5
25,51.32209,1.0277,5
26,51.2763,1.08135,5
27,51.27625,1.08121,5
28,51.27627,1.08116,5
29,51.33575,1.06895,5
30,51.34851,1.00659,5
31,51.35517,1.02467,5
32,51.28327,1.05012,5
33,51.34743,1.16489,5
34,51.25454,1.08531,5
35,51.27114,1.06652,5
36,51.36434,1.10558,5
37,51.34403,1.12328,5
38,51.2743,1.08334,5
39,51.35044,1.02022,5
40,51.29223,1.05775,5
41,51.27403,1.10157,5
42,51.35574,1.05203,5
43,51.29216,1.06618,5
44,51.28521,1.03134,5
45,51.27861,1.0854,5
46,51.27437,1.09944,5
47,51.27674,1.08823,5
48,51.27623,1.08734,5
49,51.26812,1.09347,5
50,51.29892,1.06886,5
51,51.3576,1.14424,5
52,51.35608,1.04037,5
53,51.27849,1.12281,5
54,51.27849,1.13172,5
55,51.34308,1.00072,5
56,51.36999,1.16807,5
57,51.3562,1.02439,5
58,51.27638,1.08151,5
59,51.36175,1.17011,5
60,51.28097,1.07594,5
61,51.36378,1.04936,5
62,51.35059,1.04634,5
63,51.29447,1.06624,4
63,51.29447,1.06624,4
63,51.29447,1.06624,5
63,51.29447,1.06624,5
64,51.26976,1.09042,5
65,51.2826,1.06648,5
66,51.28278,1.04564,5
67,51.35319,1.1659,5
68,51.23975,1.13308,5
69,51.356,1.04492,5
70,51.26075,1.0877,5
71,51.34385,0.99613,5
72,51.29251,1.0579,5
73,51.35271,1.0242,5
74,51.35541,1.16749,5
75,51.35701,1.15816,5
76,51.35718,1.15819,5
77,51.37103,1.15676,5
78,51.3662,1.14834,5
79,51.26977,1.06009,5
80,51.28514,1.08561,5
81,51.34624,1.00252,5
82,51.35043,1.04576,5
83,51.27426,1.09809,5
