ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,8,2,2,2,1.194
1,8,2,2,2,1.194
1,8,2,2,2,1.194
1,8,2,2,2,1.194
1,22,2,2,8,8.671
1,22,2,2,8,8.671
1,22,2,2,8,8.671
1,22,2,2,8,8.671
1,22,2,2,8,8.671
1,22,2,2,8,8.671
2,5,2,2,3,4.098
2,5,2,2,3,4.098
2,5,2,2,3,4.098
2,5,2,2,3,4.098
2,5,2,2,3,4.098
2,5,2,2,3,4.098
2,41,2,2,3,0.968
2,41,2,2,3,0.968
2,41,2,2,3,0.968
2,41,2,2,3,0.968
2,41,2,2,3,0.968
2,41,2,2,3,0.968
3,3,2,2,1,0.0
3,3,2,2,1,0.0
3,3,2,2,1,0.0
3,3,2,2,1,0.0
3,15,2,2,3,1.342
3,15,2,2,3,1.342
3,15,2,2,3,1.342
3,15,2,2,3,1.342
3,50,2,2,2,1.021
3,50,2,2,2,1.021
3,50,2,2,2,1.021
3,50,2,2,2,1.021
4,11,2,2,4,2.336
4,11,2,2,4,2.336
4,11,2,2,4,2.336
4,11,2,2,4,2.336
4,23,2,2,2,1.5
4,23,2,2,2,1.5
4,23,2,2,2,1.5
4,23,2,2,2,1.5
5,2,2,2,4,4.098
5,2,2,2,4,4.098
5,2,2,2,4,4.098
5,2,2,2,4,4.098
5,2,2,2,4,4.098
5,2,2,2,4,4.098
5,5101,2,2,2,1.589
5,5101,2,2,2,1.589
6,21,2,2,5,2.877
6,21,2,2,5,2.877
6,21,2,2,5,2.877
6,21,2,2,5,2.877
6,32,2,2,4,2.099
6,32,2,2,4,2.099
6,32,2,2,4,2.099
6,32,2,2,4,2.099
7,8,2,2,9,15.238
7,8,2,2,9,15.238
7,8,2,2,9,15.238
7,8,2,2,9,15.238
7,8,2,2,9,15.238
7,8,2,2,9,15.238
7,12,2,2,9,7.519
7,12,2,2,9,7.519
7,12,2,2,9,7.519
7,12,2,2,9,7.519
7,12,2,2,9,7.519
7,12,2,2,9,7.519
7,12,2,2,9,7.519
7,12,2,2,9,7.519
7,12,2,2,9,7.519
7,27,2,2,13,17.75
7,27,2,2,13,17.75
7,27,2,2,13,17.75
7,27,2,2,13,17.75
7,27,2,2,13,17.75
7,27,2,2,13,17.75
7,27,2,2,13,17.75
7,27,2,2,13,17.75
7,27,2,2,13,17.75
8,1,2,2,1,1.194
8,1,2,2,1,1.194
8,1,2,2,1,1.194
8,1,2,2,1,1.194
8,7,2,2,10,15.238
8,7,2,2,10,15.238
8,7,2,2,10,15.238
8,7,2,2,10,15.238
8,7,2,2,10,15.238
8,7,2,2,10,15.238
9,41,2,2,3,1.669
9,41,2,2,3,1.669
9,41,2,2,3,1.669
9,41,2,2,3,1.669
10,19,2,2,3,1.8
10,19,2,2,3,1.8
10,19,2,2,3,1.8
10,19,2,2,3,1.8
10,38,2,2,5,3.03
10,38,2,2,5,3.03
10,38,2,2,5,3.03
10,38,2,2,5,3.03
11,4,2,2,3,2.336
11,4,2,2,3,2.336
11,4,2,2,3,2.336
11,4,2,2,3,2.336
11,24,2,2,4,3.052
11,24,2,2,4,3.052
11,24,2,2,4,3.052
11,24,2,2,4,3.052
11,27,2,2,4,1.205
11,27,2,2,4,1.205
11,27,2,2,4,1.205
11,27,2,2,4,1.205
11,27,2,2,4,1.205
11,27,2,2,4,1.205
12,7,2,2,9,7.519
12,7,2,2,9,7.519
12,7,2,2,9,7.519
12,7,2,2,9,7.519
12,7,2,2,9,7.519
12,7,2,2,9,7.519
12,7,2,2,9,7.519
12,7,2,2,9,7.519
12,7,2,2,9,7.519
12,4250,2,2,4,4.596
12,4250,2,2,4,4.596
12,4250,2,2,4,4.596
13,31,2,2,2,1.461
13,31,2,2,2,1.461
13,31,2,2,2,1.461
13,31,2,2,2,1.461
13,58,2,2,3,1.696
13,58,2,2,3,1.696
13,58,2,2,3,1.696
13,58,2,2,3,1.696
14,29,2,2,2,0.732
14,29,2,2,2,0.732
14,29,2,2,2,0.732
14,29,2,2,2,0.732
14,35,2,2,2,0.697
14,35,2,2,2,0.697
14,35,2,2,2,0.697
14,35,2,2,2,0.697
15,3,2,2,3,1.342
15,3,2,2,3,1.342
15,3,2,2,3,1.342
15,3,2,2,3,1.342
15,41,2,2,4,3.876
15,41,2,2,4,3.876
15,41,2,2,4,3.876
15,41,2,2,4,3.876
15,53,2,2,2,1.846
15,53,2,2,2,1.846
15,53,2,2,2,1.846
15,53,2,2,2,1.846
16,44,2,2,2,1.384
16,44,2,2,2,1.384
16,44,2,2,2,1.384
16,44,2,2,2,1.384
16,56,2,2,3,2.59
16,56,2,2,3,2.59
16,56,2,2,3,2.59
16,56,2,2,3,2.59
17,27,2,2,5,1.528
17,27,2,2,5,1.528
17,27,2,2,5,1.528
17,27,2,2,5,1.528
17,27,2,2,5,1.528
17,27,2,2,5,1.528
17,35,2,2,3,2.349
17,35,2,2,3,2.349
17,35,2,2,3,2.349
17,35,2,2,3,2.349
18,31,2,2,4,2.108
18,31,2,2,4,2.108
18,31,2,2,4,2.108
18,31,2,2,4,2.108
18,49,2,2,8,2.491
18,49,2,2,8,2.491
18,49,2,2,8,2.491
18,49,2,2,8,2.491
18,49,2,2,8,2.491
18,49,2,2,8,2.491
19,10,2,2,4,1.8
19,10,2,2,4,1.8
19,10,2,2,4,1.8
19,10,2,2,4,1.8
19,58,2,2,4,3.603
19,58,2,2,4,3.603
19,58,2,2,4,3.603
19,58,2,2,4,3.603
21,6,2,2,5,2.877
21,6,2,2,5,2.877
21,6,2,2,5,2.877
21,6,2,2,5,2.877
21,30,2,2,8,5.117
21,30,2,2,8,5.117
21,30,2,2,8,5.117
21,30,2,2,8,5.117
22,1,2,2,6,8.671
22,1,2,2,6,8.671
22,1,2,2,6,8.671
