nodeid,lat,lon,layer
1,51.58478,-2.76059,2
1,51.58478,-2.76059,5
2,51.4889,-3.17869,4
2,51.4889,-3.17869,2
2,51.4889,-3.17869,5
3,51.52155,-3.1992,5
3,51.52155,-3.1992,2
4,51.44599,-3.1891,5
4,51.44599,-3.1891,2
5,51.50853,-3.22891,5
5,51.50853,-3.22891,2
6,51.60584,-3.09223,5
6,51.60584,-3.09223,2
7,51.58974,-2.99865,4
7,51.58974,-2.99865,2
7,51.58974,-2.99865,5
8,51.58467,-2.7779,5
8,51.58467,-2.7779,2
9,51.46711,-3.16643,2
9,51.46711,-3.16643,5
10,51.66072,-3.32281,2
10,51.66072,-3.32281,5
11,51.46703,-3.18907,2
11,51.46703,-3.18907,5
12,51.65658,-3.01622,4
12,51.65658,-3.01622,2
12,51.65658,-3.01622,5
13,51.68133,-3.37636,2
13,51.68133,-3.37636,5
14,51.49391,-3.23385,5
14,51.49391,-3.23385,2
15,51.51611,-3.18185,2
15,51.51611,-3.18185,5
16,51.64741,-3.22414,5
16,51.64741,-3.22414,2
17,51.47644,-3.20141,2
17,51.47644,-3.20141,5
18,51.70193,-3.41374,2
18,51.70193,-3.41374,5
19,51.64471,-3.327,2
19,51.64471,-3.327,5
20,51.4812,-3.18179,4
20,51.4812,-3.18179,5
21,51.6209,-3.12619,2
21,51.6209,-3.12619,5
22,51.64017,-2.67191,4
22,51.64017,-2.67191,2
22,51.64017,-2.67191,5
23,51.43764,-3.20615,5
23,51.43764,-3.20615,2
24,51.44005,-3.18061,2
24,51.44005,-3.18061,5
25,51.52065,-3.22218,5
25,51.52065,-3.22218,2
26,51.75884,-3.28931,5
26,51.75884,-3.28931,2
27,51.47603,-3.17931,4
27,51.47603,-3.17931,2
27,51.47603,-3.17931,5
28,51.43166,-3.21836,2
28,51.43166,-3.21836,5
29,51.50051,-3.23393,2
29,51.50051,-3.23393,5
30,51.66581,-3.14291,2
30,51.66581,-3.14291,5
31,51.68649,-3.3959,2
31,51.68649,-3.3959,5
32,51.59561,-3.06663,5
32,51.59561,-3.06663,2
33,51.71242,-3.34676,2
33,51.71242,-3.34676,5
34,51.72501,-3.36233,5
34,51.72501,-3.36233,2
35,51.4882,-3.22966,5
35,51.4882,-3.22966,2
36,51.57157,-3.21849,5
36,51.57157,-3.21849,2
37,51.39241,-3.27338,2
37,51.39241,-3.27338,5
38,51.68664,-3.33659,2
38,51.68664,-3.33659,5
39,51.39678,-3.285,5
39,51.39678,-3.285,2
40,51.69231,-3.22969,5
40,51.69231,-3.22969,2
41,51.48196,-3.1702,2
41,51.48196,-3.1702,5
42,51.60325,-3.23306,2
42,51.60325,-3.23306,5
43,51.75714,-3.19611,2
43,51.75714,-3.19611,5
44,51.64093,-3.24131,5
44,51.64093,-3.24131,2
45,51.74459,-3.37729,4
45,51.74459,-3.37729,2
45,51.74459,-3.37729,5
46,51.68425,-3.22658,2
46,51.68425,-3.22658,5
47,51.57496,-3.22984,2
47,51.57496,-3.22984,5
48,51.43589,-3.17447,5
48,51.43589,-3.17447,2
49,51.71506,-3.4431,4
49,51.71506,-3.4431,2
49,51.71506,-3.4431,5
50,51.52118,-3.21398,5
50,51.52118,-3.21398,2
51,51.54457,-3.18561,5
51,51.54457,-3.18561,2
52,51.74663,-3.27897,2
52,51.74663,-3.27897,5
53,51.53274,-3.18199,5
53,51.53274,-3.18199,2
54,51.7003,-3.13521,2
54,51.7003,-3.13521,5
55,51.40244,-3.26072,2
55,51.40244,-3.26072,5
56,51.67045,-3.23011,2
56,51.67045,-3.23011,5
57,51.5408,-3.26295,2
57,51.5408,-3.26295,5
58,51.66992,-3.35996,2
58,51.66992,-3.35996,5
59,51.52037,-3.23154,2
59,51.52037,-3.23154,5
60,51.65781,-3.16947,5
61,51.43383,-3.19179,5
62,51.66483,-3.19573,5
63,51.52844,-3.11679,5
64,51.48643,-3.16087,5
65,51.48463,-3.16558,5
66,51.48991,-3.15718,5
67,51.4961,-3.145,5
68,51.4975,-3.15104,5
69,51.4979,-3.15371,5
70,51.68171,-3.16019,5
71,51.68203,-3.15065,5
72,51.7312,-3.48167,5
73,51.49147,-3.14124,5
74,51.49013,-3.14274,5
75,51.49102,-3.13294,5
76,51.48895,-3.13175,5
77,51.49273,-3.13993,5
78,51.49193,-3.13796,5
79,51.48818,-3.14264,5
80,51.48435,-3.14103,5
81,51.50184,-3.227,5
82,51.41091,-3.25858,5
83,51.41263,-3.26719,5
84,51.51083,-3.22805,5
85,51.64141,-3.22302,5
86,51.64137,-3.22163,5
87,51.64326,-3.21978,5
88,51.6433,-3.21989,5
89,51.73109,-3.47761,5
90,51.51753,-3.21278,5
91,51.68381,-2.60942,5
92,51.67854,-2.6171,5
93,51.68721,-2.60216,5
94,51.68367,-2.60935,5
95,51.66905,-2.62843,5
96,51.66196,-2.63563,5
97,51.67859,-2.6172,5
98,51.66887,-2.62839,5
99,51.66189,-2.63583,5
100,51.65768,-2.64148,5
101,51.72089,-3.35425,5
102,51.74174,-3.37631,5
103,51.60263,-3.07764,5
104,51.58285,-3.24545,5
105,51.58292,-3.24545,5
106,51.57859,-3.22891,5
107,51.57226,-3.22796,5
108,51.40397,-3.29138,5
109,51.40801,-3.28784,5
110,51.40607,-3.28664,5
111,51.40566,-3.2862,5
112,51.40461,-3.28618,5
113,51.40128,-3.24454,5
114,51.43423,-3.21939,5
115,51.43667,-3.19056,5
116,51.39909,-3.27963,5
117,51.43436,-3.17857,5
118,51.61772,-2.95973,5
