nodeid,lat,lon,layer
1,54.89647,-2.93617,5
2,54.89521,-2.89894,5
3,54.87817,-2.96896,5
4,54.88445,-2.94801,5
5,54.8772,-2.91127,5
6,54.89438,-2.92312,5
7,54.88756,-2.9008,5
8,54.88775,-2.92437,5
9,54.88726,-2.87268,5
10,54.89579,-2.88249,5
11,54.87685,-2.88737,5
12,54.89982,-2.86299,5
13,54.92242,-2.89697,5
14,54.8926,-2.97489,5
15,54.87442,-2.89694,5
16,54.87061,-2.93277,5
17,54.84986,-2.92851,5
18,54.87627,-2.92481,5
19,54.8774,-2.97382,5
20,54.8774,-2.90702,5
21,54.89443,-2.91696,5
22,54.88364,-2.89538,5
23,54.8944,-2.91307,5
24,54.89562,-2.92901,5
25,54.91738,-2.91151,5
26,54.89065,-2.93381,5
26,54.89065,-2.93381,2
26,54.89065,-2.93381,4
27,54.91396,-2.91875,5
28,54.87931,-2.96185,5
29,54.88228,-2.94849,5
30,54.87287,-2.89749,5
31,54.88934,-2.92304,5
32,54.88087,-2.93082,5
33,54.87288,-2.92199,5
34,54.89085,-2.91841,5
35,54.89451,-2.90563,5
36,54.89397,-2.94864,5
37,54.89147,-2.95344,5
38,54.91119,-2.95071,5
39,54.8934,-2.89365,5
40,54.8904,-2.87799,5
41,54.92747,-2.92446,5
42,54.92576,-2.92425,5
43,54.89524,-2.95654,5
44,54.89608,-2.97584,5
45,54.92687,-2.94807,5
46,54.90543,-2.93898,5
47,54.88396,-2.92647,5
48,54.88713,-2.94974,5
49,54.88451,-2.9662,5
50,54.8941,-2.98773,5
51,54.9348,-2.96255,5
52,54.92324,-2.94485,5
53,54.90568,-2.92976,5
54,54.87798,-2.95658,5
55,54.93016,-2.96149,5
56,54.89723,-2.877,5
57,54.86488,-2.93033,5
58,54.86022,-2.92881,5
59,54.85389,-2.92844,5
60,54.92086,-2.90332,5
61,54.87253,-2.90484,5
62,54.89475,-2.96202,5
63,54.90155,-2.93763,5
64,54.88842,-2.94589,5
65,54.87536,-2.959,5
66,54.8891,-2.95873,5
67,54.88602,-2.98025,5
68,54.92552,-2.96708,5
69,54.88989,-2.90353,5
70,54.88735,-2.96289,5
71,54.91029,-2.92225,5
72,54.88859,-2.97042,5
73,54.8885,-2.96011,5
74,54.89144,-2.94438,5
75,54.9092,-2.94307,5
76,54.87221,-2.91897,5
77,54.87919,-2.92725,5
78,54.90671,-2.93236,5
